adcode,city,province,any_response,all_responses,central_response
220700,松原,吉林,1.1266065204257798,1.1298319963690364,1.128492119062125
220800,白城,吉林,1.1269463495989749,1.1289413551369591,1.1280625782452594
222400,延边,吉林,1.1241974077425243,1.1262317398132768,1.125286140219374
230100,哈尔滨,黑龙江,1.1268250054247908,1.1309774867517632,1.1293675127023304
230200,齐齐哈尔,黑龙江,1.128927257770293,1.1328888919116264,1.1313997770539512
230300,鸡西,黑龙江,1.1264937291620594,1.1300405302035226,1.1286409870153344
230400,鹤岗,黑龙江,1.1277788809329616,1.1313547822250791,1.1299823744481552
230500,双鸭山,黑龙江,1.1274186102654373,1.1318187218452866,1.1301541107297626
230600,大庆,黑龙江,1.1280830853747124,1.1322159704189458,1.1306214331663154
230700,伊春,黑龙江,1.1277760341407266,1.131278602323957,1.1299440409358568
230800,佳木斯,黑龙江,1.1279261935207199,1.1323636112619562,1.13069470514408
230900,七台河,黑龙江,1.1274752109390518,1.1319071374561525,1.1302181332901813
231000,牡丹江,黑龙江,1.1253870422974759,1.1291960737907862,1.1276693836657292
231100,黑河,黑龙江,1.1288973599477647,1.133126803350488,1.1315336362129926
231200,绥化,黑龙江,1.1282690104668966,1.1330457680351935,1.1312540231138326
232700,大兴安岭,黑龙江,1.131145029664183,1.1382596386970105,1.1355970262270307
310000,上海,上海,1.0968298576603577,1.1110835754267487,1.1019282486271713
320100,南京,江苏,1.0962993225958322,1.111371370659199,1.1016225714535286
320200,无锡,江苏,1.0959782417822947,1.1112352000364754,1.1014073186187299
320300,徐州,江苏,1.09908225741583,1.113079870289357,1.1040435263233204
320400,常州,江苏,1.0945758830878778,1.1105377540489758,1.10023176752653
320500,苏州,江苏,1.0948486951366472,1.110387664755047,1.1003638604522963
320600,南通,江苏,1.0972028551696822,1.1116538613039622,1.1023340207169399
320700,连云港,江苏,1.1011033518833373,1.1136355313026463,1.105609815920671
320800,淮安,江苏,1.0982576470992675,1.1125101987974726,1.1033307841334654
320900,盐城,江苏,1.0994009601576398,1.112952188344271,1.1042163845864994
321000,扬州,江苏,1.0963181305544347,1.1115783076260846,1.1017133480643493
321100,镇江,江苏,1.095124716364831,1.1109475968652072,1.1007035641716116
321200,泰州,江苏,1.0966274016759838,1.1116514704926244,1.1019413042458617
321300,宿迁,江苏,1.0993880713520023,1.1130162342416516,1.1042526692745078
330100,杭州,浙江,1.0860979157888873,1.1061548350838932,1.0931002420340683
330200,宁波,浙江,1.093962641547479,1.108942521632587,1.0993166507806131
330300,温州,浙江,1.0852626400730652,1.1052789380814292,1.092261410738923
330400,嘉兴,浙江,1.09272467388271,1.1095067127151237,1.098629044429537
330500,湖州,浙江,1.0909380028405906,1.108673677570371,1.0971917575025645
330600,绍兴,浙江,1.0874359885402627,1.1063060024624134,1.0940501007689265
330700,金华,浙江,1.083353678446683,1.10511653011351,1.090876182141196
330800,衢州,浙江,1.0829337948333986,1.1048943517859786,1.0905635270572476
330900,舟山,浙江,1.1044903026585808,1.1127172117866666,1.107645966494485
331000,台州,浙江,1.088863936468921,1.1065523618939541,1.0950990446632667
331100,丽水,浙江,1.0816542210275384,1.1041305940820398,1.089435019109514
340100,合肥,安徽,1.0933924136320643,1.109855180552622,1.0991779307019425
340200,芜湖,安徽,1.0916211861043885,1.1093208056697543,1.0978099720550174
340300,蚌埠,安徽,1.096355624719622,1.1113217930908443,1.1016725830743195
340400,淮南,安徽,1.0940388571717157,1.1103104520741132,1.0997762378210605
340500,马鞍山,安徽,1.0964300535251907,1.1113074004114463,1.1016839177031301
340600,淮北,安徽,1.0965761130580554,1.111826816281665,1.1019794365635667
340700,铜陵,安徽,1.0892732791289914,1.1083058786877336,1.095893373463965
340800,安庆,安徽,1.0891047493019224,1.1079388315431058,1.0956943759833346
341000,黄山,安徽,1.0853834705813048,1.1060824980259458,1.0925984960511326
341100,滁州,安徽,1.0966193319695883,1.111469375902868,1.1018820060133352
341200,阜阳,安徽,1.0942245193980185,1.1106721084581752,1.0999924857514358
341300,宿州,安徽,1.0975450743563733,1.112280744382124,1.102766671210419
341500,六安,安徽,1.089923667552479,1.1083352762653094,1.096348132867396
341600,亳州,安徽,1.0953426708287044,1.1113332700202356,1.1009625327272117
341700,池州,安徽,1.0878109228098511,1.1074961118963398,1.094665169464631
341800,宣城,安徽,1.0885366758680683,1.107847845206932,1.0952792323469331
350100,福州,福建,1.0827667631850333,1.10356969499712,1.0901181824677655
350200,厦门,福建,1.0803382262705854,1.1034916164856432,1.0884497366956112
350300,莆田,福建,1.0865441306268622,1.1050745578193253,1.093159186582186
350400,三明,福建,1.0773861632087778,1.1020628097455343,1.0859616116316197
350500,泉州,福建,1.0830989017251762,1.1039812164440101,1.0904698304707183
350600,漳州,福建,1.0773489817742634,1.102152188670977,1.0859716304745421
350700,南平,福建,1.0774350279599338,1.1026053576833366,1.0861121627547354
350800,龙岩,福建,1.0780926520022736,1.1022147006178473,1.0864646437845789
350900,宁德,福建,1.0778491329570363,1.1019867817716047,1.0862593582950288
360100,南昌,江西,1.0847395955381716,1.1060421590269243,1.092177508457634
360200,景德镇,江西,1.082629353773586,1.1050771600971403,1.0903933897249694
360300,萍乡,江西,1.0799973531831315,1.1036052913791985,1.0881736658150822
360400,九江,江西,1.085848152736321,1.1063954058890884,1.093038383187628
360500,新余,江西,1.0798171652719657,1.1032781311577748,1.08794129202483
360600,鹰潭,江西,1.0792445240232498,1.1033875159637152,1.0875815216930358
360700,赣州,江西,1.0802320453547445,1.1034122609266523,1.088278096872595
360800,吉安,江西,1.080855616605238,1.1036509316375458,1.0887601285959567
360900,宜春,江西,1.0814445506183796,1.1042091432507293,1.089345400454233
361000,抚州,江西,1.0780548294247676,1.102528033794377,1.0865347111546084
361100,上饶,江西,1.0825319299644602,1.1050026339005294,1.0903210719619938
370100,济南,山东,1.1024594992193573,1.1152128800996388,1.1069403039503558
370200,青岛,山东,1.1110522948745294,1.1184484981088036,1.1137831096187965
370300,淄博,山东,1.102754450337054,1.1153605536935802,1.107196110949785
370400,枣庄,山东,1.1000008231639382,1.1135755775503873,1.1048324499028455
370500,东营,山东,1.1067202322683183,1.1171816920853332,1.1104527046035038
370600,烟台,山东,1.1116487807903712,1.1185765067841835,1.114215411846451
370700,潍坊,山东,1.1060986211552275,1.116588836440709,1.1098508992538587
370800,济宁,山东,1.1002683127029735,1.113980028050141,1.1051232450433397
370900,泰安,山东,1.1013719334463976,1.1147272402856545,1.1060691310728654
371000,威海,山东,1.1144711938722052,1.1195815782637355,1.1164630675337652
371100,日照,山东,1.1074802180398997,1.1167083664032025,1.1108541713281692
371300,临沂,山东,1.1024229951657678,1.114550206848156,1.106748850780856
371400,德州,山东,1.1030213245873832,1.1157218493071153,1.1074695994999209
371500,聊城,山东,1.1005211799944654,1.1145295696748754,1.1054247011224463
371600,滨州,山东,1.1044915684591285,1.1163410311439408,1.108671830817031
371700,菏泽,山东,1.0989501697375408,1.1132461379520333,1.1039937876722863
410100,郑州,河南,1.095619643391158,1.1118690456509415,1.101263679474923
410200,开封,河南,1.0976382085951073,1.1127042766228687,1.1029168537901322
410300,洛阳,河南,1.0938278530305396,1.1108963697510577,1.0996808183565228
410400,平顶山,河南,1.091783442443903,1.1098086567080725,1.0980102118095116
410500,安阳,河南,1.0985450985298288,1.1134320211343378,1.103691902004496
410600,鹤壁,河南,1.0987238466928742,1.1134271758894316,1.1038209466068776
410700,新乡,河南,1.0990269432023085,1.1134543628218145,1.1040505229439612
410800,焦作,河南,1.097420825365175,1.1126486144789955,1.1026754492844693
410900,濮阳,河南,1.098141302571826,1.1132903115861912,1.103390399220493
411000,许昌,河南,1.093817259319774,1.1111021890141186,1.099821867119659
411100,漯河,河南,1.0933526142127041,1.1106754630236657,1.09940072183555
411200,三门峡,河南,1.0964213383977068,1.1121499951844767,1.1018446450638806
411300,南阳,河南,1.091851159465694,1.1094708779393951,1.0979338905309088
411400,商丘,河南,1.0968265595264564,1.1121446004010684,1.1022126890009816
411500,信阳,河南,1.0922622150791206,1.1093554167564774,1.0982558343646023
411600,周口,河南,1.094885884218906,1.1113953016705898,1.1006649133401245
411700,驻马店,河南,1.0935295302645447,1.1102815750816055,1.0993984646190933
420100,武汉,湖北,1.0882720398193029,1.107632555422731,1.0950262785595857
420200,黄石,湖北,1.0864395364883452,1.1064872212765828,1.0934649888248815
420300,十堰,湖北,1.0914482058618917,1.1084572697503776,1.0974080801727872
420500,宜昌,湖北,1.0865068859336495,1.1060973546271915,1.093303607005111
420600,襄阳,湖北,1.0908279491383157,1.108906932373453,1.0970878733678053
420700,鄂州,湖北,1.0868653672305721,1.1065973764657133,1.0937707888235313
420800,荆门,湖北,1.0910711049871162,1.108745500233888,1.0972468131480442
420900,孝感,湖北,1.0907926252434978,1.1088753529703095,1.0970936805367486
421000,荆州,湖北,1.0870391588632016,1.1065917371596674,1.0938659623187015
