adcode,city,province,thermal_target_gain_pp,bandgap_target_gain_pp,corner_interaction_pp,target_capacity_gain_pct,target_positive,start_capacity_gain_pct,joint_capacity_gain_pct,joint_change_pp,group,plot_start_x,plot_target_x
420300,十堰,湖北,1.9689669121485731,0.7814575603055061,-0.003008899764179,0.643958849260895,1,-2.105120585373688,0.643958849260895,2.749079434634583,Above c-Si,0.0,1.0
420500,宜昌,湖北,2.290140926345181,0.7690534742517982,0.0051702615304849,0.8669513019857744,1,-2.190895266825421,0.8669513019857744,3.0578465688111955,Above c-Si,0.0,1.0
420600,襄阳,湖北,2.138821682687353,0.737659347965791,-0.0020070198402439,0.7217365782868912,1,-2.153450345794305,0.7217365782868912,2.8751869240811962,Above c-Si,0.0,1.0
420700,鄂州,湖北,2.30634995000476,0.7574603250006177,0.0023085532479982,0.8402585685501229,1,-2.2226165471671555,0.8402585685501229,3.0628751157172784,Above c-Si,0.0,1.0
420800,荆门,湖北,2.038139549494455,0.7630407483970555,0.0021665035449647,0.6069868055640137,1,-2.1931004661482456,0.6069868055640137,2.8000872717122594,Above c-Si,0.0,1.0
420900,孝感,湖北,2.1057970073274848,0.7462335736943918,-0.0005718472476989,0.6586922615985813,1,-2.1923915248269865,0.6586922615985813,2.851083786425568,Above c-Si,0.0,1.0
421000,荆州,湖北,2.2536568182096706,0.771936576407343,0.0053602644143557,0.791844412126963,1,-2.2326597610539456,0.791844412126963,3.0245041731809086,Above c-Si,0.0,1.0
421100,黄冈,湖北,2.174580915124828,0.7519040170337185,-0.000419871727586,0.7267669486518136,1,-2.198873279278546,0.7267669486518136,2.9256402279303595,Above c-Si,0.0,1.0
421200,咸宁,湖北,2.5439138270838844,0.7345585341027768,0.0035627511017266,1.0294708807297992,1,-2.248233576352998,1.0294708807297992,3.2777044570827973,Above c-Si,0.0,1.0
421300,随州,湖北,1.9555297480136515,0.7614431451543243,-0.003386301370889,0.5499496762298106,1,-2.166780948243352,0.5499496762298106,2.7167306244731626,Above c-Si,0.0,1.0
422800,恩施,湖北,2.28300508121817,0.8281699415784974,0.0063015172813485,0.9560985639934128,1,-2.1539082754358785,0.9560985639934128,3.1100068394292912,Above c-Si,0.0,1.0
430100,长沙,湖南,2.5343350453549665,0.7509278799041583,0.0074691885457389,1.0436822467330575,1,-2.240669851700672,1.0436822467330575,3.2843520984337293,Above c-Si,0.0,1.0
430200,株洲,湖南,2.6813838796036165,0.7508506401760632,0.0061169067943844,1.1472076484803084,1,-2.284118424858206,1.1472076484803084,3.4313260733385142,Above c-Si,0.0,1.0
430300,湘潭,湖南,2.489406680371001,0.7644945786621374,0.0068774632686063,1.0026985184674375,1,-2.250500025656832,1.0026985184674375,3.2531985441242695,Above c-Si,0.0,1.0
430400,衡阳,湖南,2.657218465679249,0.7672358982835803,0.0100973759894595,1.1145800408500106,1,-2.309041446055893,1.1145800408500106,3.4236214869059034,Above c-Si,0.0,1.0
430500,邵阳,湖南,2.645806574028231,0.7868736444065642,0.0099873762635427,1.1304957796938409,1,-2.3015081779796054,1.1304957796938409,3.4320039576734462,Above c-Si,0.0,1.0
430600,岳阳,湖南,2.2948678273804792,0.7728171746388327,0.0088877674932819,0.8404446230158236,1,-2.226279658975816,0.8404446230158236,3.0667242819916396,Above c-Si,0.0,1.0
430700,常德,湖南,2.3151398148377784,0.7911949674085705,0.0069703566123235,0.8670519604137006,1,-2.2380101403707497,0.8670519604137006,3.1050621007844503,Above c-Si,0.0,1.0
430800,张家界,湖南,2.226808214726217,0.8286213664554879,0.0068739273773377,0.8371127932234712,1,-2.2175259219469945,0.8371127932234712,3.0546387151704657,Above c-Si,0.0,1.0
430900,益阳,湖南,2.409803381434365,0.7916528990332757,0.0085239724919028,0.9400164132440604,1,-2.260310234862506,0.9400164132440604,3.200326648106566,Above c-Si,0.0,1.0
431000,郴州,湖南,2.577523918155415,0.7951921037118023,0.0076826803361078,1.0798980142853187,1,-2.291899695565036,1.0798980142853187,3.371797709850355,Above c-Si,0.0,1.0
431100,永州,湖南,2.8031178103344696,0.7622255021230484,0.0093573252840095,1.2704577572530296,1,-2.2938856352334835,1.2704577572530296,3.564343392486513,Above c-Si,0.0,1.0
431200,怀化,湖南,2.2536059152195587,0.8424341540123059,0.0098066489376602,0.8386838334881519,1,-2.2566383434240445,0.8386838334881519,3.0953221769121964,Above c-Si,0.0,1.0
431300,娄底,湖南,2.55703368292729,0.7921782657833462,0.0084489918305563,1.0695546335439454,1,-2.279032796088154,1.0695546335439454,3.3485874296320994,Above c-Si,0.0,1.0
433100,湘西,湖南,2.3359496788345075,0.8380799411735677,0.0103934052415599,0.934395996234194,1,-2.2385930476304217,0.934395996234194,3.1729890438646158,Above c-Si,0.0,1.0
440100,广州,广东,2.909582312725615,0.7588224001952174,0.0152548271657004,1.2969182588568715,1,-2.370753229551348,1.2969182588568715,3.667671488408219,Above c-Si,0.0,1.0
440200,韶关,广东,2.8270526521151558,0.7565157039150913,0.0089266749149552,1.287131943326414,1,-2.294863087821564,1.287131943326414,3.581995031147978,Above c-Si,0.0,1.0
440300,深圳,广东,2.7257868644449865,0.791396805902241,0.0167223347874556,1.0778421872664312,1,-2.4384601775378267,1.0778421872664312,3.516302364804258,Above c-Si,0.0,1.0
440400,珠海,广东,2.5689239986049737,0.8118949412296961,0.015959094295237,0.9165916725100364,1,-2.463414168255884,0.9165916725100364,3.3800058407659206,Above c-Si,0.0,1.0
440500,汕头,广东,2.3702760858713625,0.8190211510064457,0.0143750125249253,0.7701848001625766,1,-2.4184521732863007,0.7701848001625766,3.1886369734488773,Above c-Si,0.0,1.0
440600,佛山,广东,2.884172979432646,0.7710739871504909,0.0154669496514436,1.2903681018499036,1,-2.364282143932228,1.2903681018499036,3.6546502457821317,Above c-Si,0.0,1.0
440700,江门,广东,2.842452663095981,0.7952471605721508,0.0178978365544368,1.2231655758117022,1,-2.4136538236594007,1.2231655758117022,3.636819399471103,Above c-Si,0.0,1.0
440800,湛江,广东,2.885309714205786,0.7773721520350829,0.0176325154551348,1.1674432126499656,1,-2.4942644213126752,1.1674432126499656,3.661707633962641,Above c-Si,0.0,1.0
440900,茂名,广东,2.7992072017599905,0.7889886747001826,0.0186813052081786,1.1605249775060056,1,-2.426826124028492,1.1605249775060056,3.5873511015344977,Above c-Si,0.0,1.0
441200,肇庆,广东,2.914358181595944,0.7587152011727216,0.0150837239234706,1.3404180526410905,1,-2.3317860898024345,1.3404180526410905,3.672204142443525,Above c-Si,0.0,1.0
441300,惠州,广东,2.9699174181929284,0.7512111251433918,0.0168387948236587,1.3145588173097522,1,-2.405512672406596,1.3145588173097522,3.7200714897163483,Above c-Si,0.0,1.0
441400,梅州,广东,2.8445494575012,0.7629399139578238,0.0110958939523291,1.25393969256411,1,-2.352058343133689,1.25393969256411,3.605998035697799,Above c-Si,0.0,1.0
441500,汕尾,广东,2.361807464398861,0.8179479976164231,0.0119914816704036,0.7576044849355812,1,-2.4213559203968726,0.7576044849355812,3.178960405332454,Above c-Si,0.0,1.0
441600,河源,广东,2.8069939258963466,0.7565177218804194,0.013915069977255,1.2156874264667383,1,-2.34640803929117,1.2156874264667383,3.5620954657579085,Above c-Si,0.0,1.0
441700,阳江,广东,2.7161278737514585,0.8096766163426693,0.0189126186425196,1.1061419713016774,1,-2.418749731289971,1.1061419713016774,3.524891702591648,Above c-Si,0.0,1.0
441800,清远,广东,2.912722429783388,0.7510568256289966,0.0131244081740145,1.3527745561833004,1,-2.309931687287148,1.3527745561833004,3.6627062434704483,Above c-Si,0.0,1.0
441900,东莞,广东,2.9048486039096155,0.7570181582270594,0.0159739113646191,1.2594436422991295,1,-2.4017447014344278,1.2594436422991295,3.6611883437335573,Above c-Si,0.0,1.0
442000,中山,广东,2.733217187493745,0.7887869917521956,0.0161909456392606,1.094069889492455,1,-2.42697522440729,1.094069889492455,3.521045113899745,Above c-Si,0.0,1.0
445100,潮州,广东,2.702966534501383,0.7772707078173271,0.014575676719275,1.0765670428901195,1,-2.402632793957382,1.0765670428901195,3.479199836847502,Above c-Si,0.0,1.0
445200,揭阳,广东,2.753950732738105,0.7830517909020599,0.0147927854915463,1.1256258124169083,1,-2.4104472449691383,1.1256258124169083,3.5360730573860466,Above c-Si,0.0,1.0
445300,云浮,广东,2.8846630932108117,0.7700666261324188,0.0142390823205773,1.2891001970005034,1,-2.3645744122760326,1.2891001970005034,3.653674609276536,Above c-Si,0.0,1.0
450100,南宁,广西,2.818497045383417,0.7989664781640425,0.013366001591109,1.2501859668644588,1,-2.3667922934607954,1.2501859668644588,3.6169782603252543,Above c-Si,0.0,1.0
450200,柳州,广西,2.63346177584182,0.8118696103003714,0.0093573465221319,1.1334646419610015,1,-2.3106974037156003,1.1334646419610015,3.4441620456766016,Above c-Si,0.0,1.0
450300,桂林,广西,2.694742380844454,0.7930225813039075,0.0096904026518629,1.2020962681643876,1,-2.284515834953582,1.2020962681643876,3.4866121031179698,Above c-Si,0.0,1.0
450400,梧州,广西,2.790754287818217,0.7658294509600353,0.0131068961126912,1.2171034218898091,1,-2.3383738489415995,1.2171034218898091,3.5554772708314086,Above c-Si,0.0,1.0
450500,北海,广西,2.666357353600113,0.8045783874862322,0.0140598369615663,0.9566988666551924,1,-2.513032309473706,0.9566988666551924,3.4697311761288985,Above c-Si,0.0,1.0
450600,防城港,广西,2.6473641541089923,0.8348827940450404,0.0161304080108508,0.9830651196713668,1,-2.498411751664253,0.9830651196713668,3.48147687133562,Above c-Si,0.0,1.0
450700,钦州,广西,2.762258107640369,0.8106652980324238,0.0157225173346819,1.1063861802587782,1,-2.465481538050718,1.1063861802587782,3.571867718309496,Above c-Si,0.0,1.0
450800,贵港,广西,2.781721977341237,0.7809663181530274,0.0138161648407848,1.226150962726824,1,-2.335274848045965,1.226150962726824,3.561425810772789,Above c-Si,0.0,1.0
450900,玉林,广西,2.8485984693234414,0.7779752389029615,0.0148625865056262,1.2202427370874291,1,-2.4050717163234703,1.2202427370874291,3.6253144534108994,Above c-Si,0.0,1.0
451000,百色,广西,2.624293617400116,0.8097011073641099,0.0071368450631825,1.1029486942609967,1,-2.3303063958785897,1.1029486942609967,3.4332550901395864,Above c-Si,0.0,1.0
451100,贺州,广西,2.832037059718969,0.7595468759814353,0.010824038438395,1.3073205581749514,1,-2.2827038931655386,1.3073205581749514,3.59002445134049,Above c-Si,0.0,1.0
451200,河池,广西,2.506003482916619,0.8412982584402893,0.0096384023071216,1.028535973107414,1,-2.31788646445914,1.028535973107414,3.346422437566554,Above c-Si,0.0,1.0
