adcode,province,single_capacity_pct,baseline_capacity_viable,baseline_best_npv_usd_per_kwp
210400,辽宁,1.6168490201640573,True,125.54034359035643
210500,辽宁,1.7897648536339794,True,124.23174406681801
210600,辽宁,1.882242294007885,True,125.26994020885536
210700,辽宁,1.7310501543341683,True,177.87767080964989
210800,辽宁,1.7738551298039251,True,174.0183355995648
210900,辽宁,1.6885428575138084,True,182.38912238016326
211000,辽宁,1.863960124125685,True,155.9219109989417
211100,辽宁,1.702710590757106,True,178.2986376450964
211200,辽宁,1.5004580305117088,True,147.09139635788745
211300,辽宁,1.7891525678137563,True,199.83393896573682
211400,辽宁,1.7885012367424125,True,194.82453599789972
220100,吉林,1.1401140589768044,True,167.9750753458361
220200,吉林,1.3302159750838705,True,133.98400245405549
220300,吉林,1.3623589362732336,True,162.17306444506767
220400,吉林,1.327076366564106,True,137.50759851820305
220500,吉林,1.4319006254496225,True,119.40471054914951
220600,吉林,1.4586342777119343,True,135.39891668601854
220700,吉林,1.07128944036885,True,190.20583906342063
220800,吉林,1.109794408839626,True,220.01289909761317
222400,吉林,1.3593628858525886,True,129.92065785666557
230100,黑龙江,0.9930187923819168,True,126.53704950956183
230200,黑龙江,0.8115383286078082,True,162.55345064090955
230300,黑龙江,1.0581358698257717,True,139.15779957913117
230400,黑龙江,0.9381641039361456,True,133.99940224947034
230500,黑龙江,0.9228164587866016,True,117.80543987593171
230600,黑龙江,0.8809459242627549,True,170.04029213846377
230700,黑龙江,0.9415860899366856,True,126.40779775609462
230800,黑龙江,0.8745726484134408,True,131.20223685793587
230900,黑龙江,0.9170880456179198,True,135.62501342877647
231000,黑龙江,1.145193972391656,True,115.0994078204584
231100,黑龙江,0.7996871505650649,True,128.15449730492492
231200,黑龙江,0.8245683539110038,True,139.53248993842806
232700,黑龙江,0.4389203334818958,True,109.22976885622427
310000,上海,3.507644329078752,True,63.865188752096856
320100,江苏,3.536429352439185,True,61.15195882321518
320200,江苏,3.556633486905625,True,72.85325369075917
320300,江苏,3.309417503209411,True,101.57065765748177
320400,江苏,3.667266286102855,True,62.31096403739298
320500,江苏,3.654804423514091,True,53.03139624237417
320600,江苏,3.469580994827326,True,72.32691868686823
320700,江苏,3.163012679169941,True,91.10568053291661
320800,江苏,3.376115137239233,True,94.22413325843002
320900,江苏,3.2931909247960744,True,98.23018094546887
321000,江苏,3.527870497113139,True,84.38343882847482
321100,江苏,3.622837340399476,True,70.88877725308373
321200,江苏,3.5064497720525223,True,79.20154254295551
321300,江苏,3.289818887738849,True,92.6714893321423
330100,浙江,4.343575901243768,False,-13.487802861660384
330200,浙江,3.7534780295037873,True,5.121882887471543
330300,浙江,4.42364088128997,True,9.414000999884138
330400,浙江,3.81851345285169,True,60.53869176129592
330500,浙江,3.954474875015901,True,35.479151928293845
330600,浙江,4.252957415558156,False,-21.77240774340237
330700,浙江,4.556294512377712,True,3.5048200810964545
330800,浙江,4.586331988840864,False,-7.569697176601608
330900,浙江,2.973275126994501,True,26.89317240023479
331000,浙江,4.15308845975737,False,-19.22187182766811
331100,浙江,4.694626085592946,False,-8.438301323566066
340100,安徽,3.766726584700142,True,52.73645105995581
340200,安徽,3.896034157673811,True,51.000451088093314
340300,安徽,3.531743775804164,True,56.8511433290073
340400,安徽,3.7102884254211377,True,69.54643186046178
340500,安徽,3.530705339780371,True,50.98940579314967
340600,安徽,3.502942570753098,True,96.08941061815028
340700,安徽,4.077712087959018,True,50.96826818934983
340800,安徽,4.096623310629166,True,37.31585328783126
341000,安徽,4.391552579825864,True,3.4115600317737744
341100,安徽,3.512066701148231,True,63.56683883390883
341200,安徽,3.6899310078284175,True,78.013982047416
341300,安徽,3.429048830425252,True,94.75410960967622
341500,安徽,4.034576187884076,True,32.7933255541916
341600,安徽,3.5985641176207173,True,95.71498896815297
341700,安徽,4.194482798739108,True,39.40236891738937
341800,安徽,4.136036464578474,True,35.45153629738206
350100,福建,4.628889665735136,False,-5.943710973992438
350200,福建,4.789409480357953,True,81.10261691986932
350300,福建,4.337878955076735,True,17.724909315161426
350400,福建,5.029521142932469,False,-5.0538248697178005
350500,福建,4.595238255500056,True,31.650522894623805
350600,福建,5.028534557989239,True,52.32457048997969
350700,福建,5.014976174291297,True,4.645287992238423
350800,福建,4.980883217494747,True,11.818647700451152
350900,福建,5.000603791227998,False,-13.38304035185945
360100,江西,4.431846475664458,True,28.359536156099693
360200,江西,4.60266190229579,True,10.334845227951178
360300,江西,4.8160770110159845,False,-4.497001266430971
360400,江西,4.349592425924564,True,30.926553834430138
360500,江西,4.8384389643292725,False,-15.606079600480825
360600,江西,4.873095204016775,False,-15.442201393595838
360700,江西,4.805964223087056,True,4.022296196199022
360800,江西,4.759585136552502,False,-12.368570796485301
360900,江西,4.70331958220751,False,-5.139896215330168
361000,江西,4.974140720884579,False,-28.476359476757125
361100,江西,4.609605868726563,True,6.601525232540439
370100,山东,3.039118053042933,True,143.95994584526477
370200,山东,2.406039591870379,True,166.3060581077408
370300,山东,3.0152920068830857,True,129.43347082603088
370400,山东,3.2356542916443187,True,104.91737246332798
370500,山东,2.7132123554419074,True,178.85328274360097
370600,山东,2.366314969072892,True,155.28806036664162
370700,山东,2.7688654153682046,True,137.42937368995968
370800,山东,3.2085403046655525,True,120.19641215126887
370900,山东,3.1202751461802736,True,141.44132131334777
371000,山东,2.1602639239928223,True,165.3438116054275
371100,山东,2.6760319784089104,True,131.76934402418465
371300,山东,3.056907477815085,True,102.9023894001266
371400,山东,2.989907800531255,True,168.14713307064676
371500,山东,3.180442796285776,True,160.8862606817729
371600,山东,2.878208274550964,True,161.2856580428678
371700,山东,3.314130408422145,True,98.17342975359986
410100,河南,3.570330278804956,True,109.22289646305558
410200,河南,3.4150615788449024,True,123.28590580962191
410300,河南,3.7193985178436417,True,93.6019821664745
410400,河南,3.8772052072914898,True,77.60309919918143
410500,河南,3.342488425762369,True,137.64402756332413
410600,河南,3.3304039686582687,True,132.08554798657883
410700,河南,3.308886837522662,True,123.08172492129961
410800,河南,3.4377277360335023,True,110.3319623735058
410900,河南,3.370678133666827,True,135.07346925455522
411000,河南,3.706093547111644,True,116.8329289822135
411100,河南,3.745781931758829,True,106.39927752164601
411200,河南,3.5156904139605816,True,111.00752926121561
411300,河南,3.884375199983081,True,64.86611354688284
411400,河南,3.4810742188796207,True,91.40767039766206
411500,河南,3.853862292954657,True,34.677279395197274
411600,河南,3.626600088670884,True,105.8602061842978
411700,河南,3.745962007989912,True,70.68526267284824
420100,湖北,4.160161543364471,True,35.09595688243962
420200,湖北,4.308860879211407,False,-1.211605488445798
420300,湖北,3.934029516252613,False,-12.128055324781258
420500,湖北,4.324258129331593,False,-15.535817363434262
420600,湖北,3.964438267730963,True,39.37507751553085
420700,湖北,4.279710046751051,False,-0.40752711027141686
420800,湖北,3.949360813065339,True,41.58057622165802
420900,湖北,3.963871168036448,True,53.07657864680061
421000,湖北,4.270638738119792,True,8.761179919852225
421100,湖北,4.082805211968932,True,23.368138861211833
421200,湖北,4.516473652499453,True,13.18148735792738
421300,湖北,3.835394283746485,True,39.900885088728046
422800,湖北,4.566378778612745,False,-102.38162341335124
430100,湖南,4.6403101788022205,False,-12.057381904910358
430200,湖南,4.806277782166912,False,-16.58598353847674
430300,湖南,4.636092047551288,False,-16.969516877440924
430400,湖南,4.8460201942252645,False,-24.274932258376452
430500,湖南,4.915413668118562,False,-49.097605420874515
430600,湖南,4.399483916733948,False,-5.083593141513916
430700,湖南,4.440113899145337,False,-32.426840429756
430800,湖南,4.474129046160802,False,-79.64705878004384
430900,湖南,4.595803446474944,False,-37.87394457091477
431000,湖南,4.868463252337629,False,-51.029877165127346
431100,湖南,5.046024220777601,False,-40.42646939425276
431200,湖南,4.615202928346118,False,-76.4976355942265
431300,湖南,4.824072485123598,False,-53.54562793062871
433100,湖南,4.682385502159647,False,-88.7337054224347
440100,广东,5.156007377171412,True,23.765589232365528
440200,广东,5.063142520136399,False,-20.255375800346314
440300,广东,4.994348351454048,True,56.69098098975917
440400,广东,4.875687387048111,True,63.31058959481015
440500,广东,4.629668927558006,True,68.57955147050552
440600,广东,5.192600516485624,True,6.373007232266218
440700,广东,5.228223916217289,True,11.43162295728564
440800,广东,5.119502580914914,True,80.42234327087715
440900,广东,5.140130310305313,True,37.22043198427036
441200,广东,5.197381652956423,False,-5.4302087079487364
441300,广东,5.1718012871821095,True,47.90256631016689
441400,广东,5.04279860360326,True,19.767770313630308
441500,广东,4.594204945761904,True,69.53789713546428
441600,广东,4.994123553605578,True,27.06100262773691
441700,广东,5.126633166449368,True,17.589881171537854
441800,广东,5.168611677202195,False,-11.844750878961577
441900,广东,5.117681080352154,True,52.060986334833615
442000,广东,5.029061329697337,True,47.3710061114283
445100,广东,4.900080967410325,True,63.963822134822976
445200,广东,4.986821551735243,True,48.36578998226446
445300,广东,5.177965518012706,True,8.069613543630112
450100,广西,5.177248810488799,False,-32.155546038467946
450200,广西,4.976468556093572,False,-63.81622887091521
450300,广西,5.023411532518063,False,-65.00256111416275
450400,广西,5.027239709347198,False,-1.8481306886711764
450500,广西,4.862557467684847,True,75.46902740541577
450600,广西,5.00920567042169,True,19.78786149101188
450700,广西,5.08626416633744,True,20.537270910691518
450800,广西,5.080845647281396,False,-27.38024704141003
