context,policy,technology,adcode,degradation_fraction,cost_ceiling_usd_kwdc,central_cost_usd_kwdc,positive_cost_possible
cap,No subsidy,SJ,430600,0.0,428.17898632447594,385.0,True
cap,No subsidy,SJ,430700,0.0,408.54066475282724,385.0,True
cap,No subsidy,SJ,430800,0.0,374.62641079202666,385.0,True
cap,No subsidy,SJ,430900,0.0,404.6284746010624,385.0,True
cap,No subsidy,SJ,431000,0.0,395.17969069706794,385.0,True
cap,No subsidy,SJ,431100,0.0,402.7952138046432,385.0,True
cap,No subsidy,SJ,431200,0.0,376.8883727541994,385.0,True
cap,No subsidy,SJ,431300,0.0,393.3728415687904,385.0,True
cap,No subsidy,SJ,433100,0.0,368.1002477913377,385.0,True
cap,No subsidy,SJ,440100,0.0,448.89889258012414,385.0,True
cap,No subsidy,SJ,440200,0.0,417.28238931357754,385.0,True
cap,No subsidy,SJ,440300,0.0,450.13710184002053,385.0,True
cap,No subsidy,SJ,440400,0.0,449.7844455885447,385.0,True
cap,No subsidy,SJ,440500,0.0,448.82186548799285,385.0,True
cap,No subsidy,SJ,440600,0.0,436.40728488340056,385.0,True
cap,No subsidy,SJ,440700,0.0,440.0404569521054,385.0,True
cap,No subsidy,SJ,440800,0.0,451.3026193197614,385.0,True
cap,No subsidy,SJ,440900,0.0,450.25548007442364,385.0,True
cap,No subsidy,SJ,441200,0.0,427.9300419367216,385.0,True
cap,No subsidy,SJ,441300,0.0,450.6725218187531,385.0,True
cap,No subsidy,SJ,441400,0.0,446.0276003490399,385.0,True
cap,No subsidy,SJ,441500,0.0,448.6857933553977,385.0,True
cap,No subsidy,SJ,441600,0.0,449.3829817597811,385.0,True
cap,No subsidy,SJ,441700,0.0,444.46340839813706,385.0,True
cap,No subsidy,SJ,441800,0.0,423.3230235909738,385.0,True
cap,No subsidy,SJ,441900,0.0,450.5504522499057,385.0,True
cap,No subsidy,SJ,442000,0.0,450.0487087258416,385.0,True
cap,No subsidy,SJ,445100,0.0,449.9078287636461,385.0,True
cap,No subsidy,SJ,445200,0.0,449.89321153251865,385.0,True
cap,No subsidy,SJ,445300,0.0,437.62581244056383,385.0,True
cap,No subsidy,SJ,450100,0.0,408.73551236695806,385.0,True
cap,No subsidy,SJ,450200,0.0,385.996345212187,385.0,True
cap,No subsidy,SJ,450300,0.0,385.14430398101524,385.0,True
cap,No subsidy,SJ,450400,0.0,430.5027429511895,385.0,True
cap,No subsidy,SJ,450500,0.0,450.0252110536981,385.0,True
cap,No subsidy,SJ,450600,0.0,446.0420301275521,385.0,True
cap,No subsidy,SJ,450700,0.0,446.5802669732839,385.0,True
cap,No subsidy,SJ,450800,0.0,412.16520220285827,385.0,True
cap,No subsidy,SJ,450900,0.0,439.9088440132505,385.0,True
cap,No subsidy,SJ,451000,0.0,405.5052074561348,385.0,True
cap,No subsidy,SJ,451100,0.0,408.10023001623676,385.0,True
cap,No subsidy,SJ,451200,0.0,377.98370813004624,385.0,True
cap,No subsidy,SJ,451300,0.0,410.94777305106726,385.0,True
cap,No subsidy,SJ,451400,0.0,398.48503210556976,385.0,True
cap,No subsidy,SJ,460100,0.0,451.4781777931989,385.0,True
cap,No subsidy,SJ,460200,0.0,452.4653410387607,385.0,True
cap,No subsidy,SJ,460300,0.0,451.99052660493874,385.0,True
cap,No subsidy,SJ,460400,0.0,451.14810981357925,385.0,True
cap,No subsidy,SJ,500000,0.0,357.115991973615,385.0,True
cap,No subsidy,SJ,510100,0.0,376.15193818930385,385.0,True
cap,No subsidy,SJ,510300,0.0,357.4645516265113,385.0,True
cap,No subsidy,SJ,510400,0.0,449.7317280503737,385.0,True
cap,No subsidy,SJ,510500,0.0,322.6520453948125,385.0,True
cap,No subsidy,SJ,510600,0.0,371.5608365672694,385.0,True
cap,No subsidy,SJ,510700,0.0,389.25442182529406,385.0,True
cap,No subsidy,SJ,510800,0.0,378.2626303210525,385.0,True
cap,No subsidy,SJ,510900,0.0,379.1663788640929,385.0,True
cap,No subsidy,SJ,511000,0.0,372.0004033388174,385.0,True
cap,No subsidy,SJ,511100,0.0,327.2495126845774,385.0,True
cap,No subsidy,SJ,511300,0.0,371.98712011391,385.0,True
cap,No subsidy,SJ,511400,0.0,364.75666592362995,385.0,True
cap,No subsidy,SJ,511500,0.0,318.21672672539563,385.0,True
cap,No subsidy,SJ,511600,0.0,338.8856805529808,385.0,True
cap,No subsidy,SJ,511700,0.0,366.490320919011,385.0,True
cap,No subsidy,SJ,511800,0.0,392.7467672844538,385.0,True
cap,No subsidy,SJ,511900,0.0,364.52015316506925,385.0,True
cap,No subsidy,SJ,512000,0.0,373.8785556484001,385.0,True
cap,No subsidy,SJ,513200,0.0,437.199567380112,385.0,True
cap,No subsidy,SJ,513300,0.0,435.6841521779194,385.0,True
cap,No subsidy,SJ,513400,0.0,443.67859430981093,385.0,True
cap,No subsidy,SJ,520100,0.0,340.6112154030229,385.0,True
cap,No subsidy,SJ,520200,0.0,368.6919422439028,385.0,True
cap,No subsidy,SJ,520300,0.0,307.6014078731489,385.0,True
cap,No subsidy,SJ,520400,0.0,351.52637242213945,385.0,True
cap,No subsidy,SJ,520500,0.0,353.56034673848285,385.0,True
cap,No subsidy,SJ,520600,0.0,340.27870916212777,385.0,True
cap,No subsidy,SJ,522300,0.0,381.74382260977217,385.0,True
cap,No subsidy,SJ,522600,0.0,362.6988504054453,385.0,True
cap,No subsidy,SJ,522700,0.0,364.1471327840381,385.0,True
cap,No subsidy,SJ,530100,0.0,443.1232280137461,385.0,True
cap,No subsidy,SJ,530300,0.0,436.3117390878621,385.0,True
cap,No subsidy,SJ,530400,0.0,444.74729901338566,385.0,True
cap,No subsidy,SJ,530500,0.0,447.7824284224587,385.0,True
cap,No subsidy,SJ,530600,0.0,359.93278227052923,385.0,True
cap,No subsidy,SJ,530700,0.0,444.2455938212154,385.0,True
cap,No subsidy,SJ,530800,0.0,448.8133281039787,385.0,True
cap,No subsidy,SJ,530900,0.0,448.4726361239704,385.0,True
cap,No subsidy,SJ,532300,0.0,444.7913909120809,385.0,True
cap,No subsidy,SJ,532500,0.0,445.7436212067863,385.0,True
cap,No subsidy,SJ,532600,0.0,430.54558142573205,385.0,True
cap,No subsidy,SJ,532800,0.0,453.32966379462675,385.0,True
cap,No subsidy,SJ,532900,0.0,445.7610749171905,385.0,True
cap,No subsidy,SJ,533100,0.0,449.65779466967007,385.0,True
cap,No subsidy,SJ,533300,0.0,444.7800684635797,385.0,True
cap,No subsidy,SJ,533400,0.0,439.06789427405243,385.0,True
cap,No subsidy,SJ,540100,0.0,433.98599098467787,385.0,True
cap,No subsidy,SJ,540200,0.0,434.531416931236,385.0,True
cap,No subsidy,SJ,540300,0.0,434.3782091412693,385.0,True
cap,No subsidy,SJ,540400,0.0,391.8595564614706,385.0,True
cap,No subsidy,SJ,540500,0.0,435.5065024331817,385.0,True
cap,No subsidy,SJ,540600,0.0,432.37292233435574,385.0,True
cap,No subsidy,SJ,542500,0.0,432.4648506820666,385.0,True
cap,No subsidy,SJ,610100,0.0,446.53320900943066,385.0,True
cap,No subsidy,SJ,610200,0.0,444.25022810529845,385.0,True
cap,No subsidy,SJ,610300,0.0,442.92812578297224,385.0,True
cap,No subsidy,SJ,610400,0.0,444.96218188288503,385.0,True
cap,No subsidy,SJ,610500,0.0,444.88766647105166,385.0,True
cap,No subsidy,SJ,610600,0.0,440.4596759908501,385.0,True
cap,No subsidy,SJ,610700,0.0,398.6222920900653,385.0,True
cap,No subsidy,SJ,610800,0.0,437.9400142739217,385.0,True
cap,No subsidy,SJ,610900,0.0,399.79530628233954,385.0,True
cap,No subsidy,SJ,611000,0.0,441.96039466814926,385.0,True
cap,No subsidy,SJ,620100,0.0,437.545619270915,385.0,True
