adcode,city,province,province_en,display_group,display_row,best_build_npv_kusd,nonviable,class_id,class_roman,paired_class,lon,lat,matched_new_viable,support_class,priority_rank,display_y,display_y_center
511800,雅安,四川,Sichuan,四川,3,-54.41733704868989,True,4,V,None viable / c-Si,102.65786666400096,29.905265707469404,1,At 20%,44,3.161567946893456,3.0
511900,巴中,四川,Sichuan,四川,3,-93.7184192292749,True,4,V,None viable / c-Si,107.02325154097925,32.02122501780514,0,Added at 30%,64,3.0,3.0
512000,资阳,四川,Sichuan,四川,3,-80.6883284248737,True,4,V,None viable / c-Si,105.11132022779724,30.108946613358125,0,Added at 30%,56,3.423634876684112,3.0
513200,阿坝,四川,Sichuan,四川,3,183.6221645243997,False,2,III,c-Si / 2T tandem,102.59442002247803,32.38700674377925,0,Initially viable,0,3.0,3.0
513300,甘孜,四川,Sichuan,四川,3,271.95083543721205,False,2,III,c-Si / 2T tandem,100.00732691936872,30.929096203230124,0,Initially viable,0,3.0,3.0
513400,凉山,四川,Sichuan,四川,3,58.10641083406722,False,1,II,Single junction / c-Si,102.07161966740183,27.896356962425507,0,Initially viable,0,3.0,3.0
450100,南宁,广西,Guangxi,广西,4,-32.155546038467946,True,4,V,None viable / c-Si,108.4574886304225,23.046913824617626,1,At 20%,31,3.828777873081151,4.0
450200,柳州,广西,Guangxi,广西,4,-63.81622887091521,True,4,V,None viable / c-Si,109.38015380413836,24.956793566605995,1,At 20%,47,4.216850365305746,4.0
450300,桂林,广西,Guangxi,广西,4,-65.00256111416275,True,4,V,None viable / c-Si,110.51740707363804,25.360477878556143,1,At 20%,48,4.0,4.0
450400,梧州,广西,Guangxi,广西,4,-1.8481306886711764,True,4,V,None viable / c-Si,110.97357565534556,23.484065050404407,1,At 20%,4,4.0,4.0
450500,北海,广西,Guangxi,广西,4,75.46902740541577,False,1,II,Single junction / c-Si,109.32855292930148,21.707048950201408,0,Initially viable,0,4.0,4.0
450600,防城港,广西,Guangxi,广西,4,19.78786149101188,False,1,II,Single junction / c-Si,107.99814765638456,21.892185526240954,0,Initially viable,0,4.0,4.0
450700,钦州,广西,Guangxi,广西,4,20.53727091069152,False,1,II,Single junction / c-Si,109.01862986636117,22.19521392981769,0,Initially viable,0,4.218677294323491,4.0
450800,贵港,广西,Guangxi,广西,4,-27.38024704141003,True,4,V,None viable / c-Si,109.99963834182338,23.29611968339777,1,At 20%,28,4.0,4.0
450900,玉林,广西,Guangxi,广西,4,11.248372819522388,False,1,II,Single junction / c-Si,110.17378582548568,22.42845926980278,0,Initially viable,0,4.0,4.0
451000,百色,广西,Guangxi,广西,4,-36.65323315856142,True,4,V,None viable / c-Si,106.29787421847932,23.975077119569125,1,At 20%,35,4.0,4.0
451100,贺州,广西,Guangxi,广西,4,-33.04007592816606,True,4,V,None viable / c-Si,111.3541460043354,24.35348482306777,1,At 20%,33,4.189911549240911,4.0
451200,河池,广西,Guangxi,广西,4,-74.97255485165545,True,4,V,None viable / c-Si,107.84276587533672,24.64127625230265,1,At 20%,52,4.0,4.0
451300,来宾,广西,Guangxi,广西,4,-29.07532399754848,True,4,V,None viable / c-Si,109.41333059559224,23.84669339684809,1,At 20%,30,3.630227460203031,4.0
451400,崇左,广西,Guangxi,广西,4,-46.42771362610017,True,4,V,None viable / c-Si,107.25539967702085,22.50025516084972,1,At 20%,40,4.0,4.0
360100,南昌,江西,Jiangxi,江西,5,28.359536156099693,False,1,II,Single junction / c-Si,116.02952184602192,28.668597554154868,0,Initially viable,0,5.0,5.0
360200,景德镇,江西,Jiangxi,江西,5,10.334845227951178,False,1,II,Single junction / c-Si,117.27230197442697,29.31820781295709,0,Initially viable,0,4.895789195729314,5.0
360300,萍乡,江西,Jiangxi,江西,5,-4.497001266430971,True,4,V,None viable / c-Si,113.89699714190976,27.505598909869367,1,At 20%,5,5.218996064713636,5.0
360400,九江,江西,Jiangxi,江西,5,30.926553834430138,False,1,II,Single junction / c-Si,115.458607135197,29.332864296046274,0,Initially viable,0,5.205301744520078,5.0
360500,新余,江西,Jiangxi,江西,5,-15.606079600480824,True,4,V,None viable / c-Si,114.84283188446244,27.83558127570148,1,At 20%,21,5.0,5.0
360600,鹰潭,江西,Jiangxi,江西,5,-15.442201393595838,True,4,V,None viable / c-Si,117.12067942083884,28.20258057928756,1,At 20%,19,5.219824579698006,5.0
360700,赣州,江西,Jiangxi,江西,5,4.022296196199022,False,1,II,Single junction / c-Si,115.27347321157691,25.699969719157384,0,Initially viable,0,5.0,5.0
360800,吉安,江西,Jiangxi,江西,5,-12.3685707964853,True,4,V,None viable / c-Si,114.82503838277124,26.97606319689813,1,At 20%,16,4.803817881374634,5.0
360900,宜春,江西,Jiangxi,江西,5,-5.139896215330168,True,4,V,None viable / c-Si,114.98471189570157,28.30765746881316,1,At 20%,8,5.0,5.0
361000,抚州,江西,Jiangxi,江西,5,-28.476359476757125,True,4,V,None viable / c-Si,116.43432465389984,27.4990974130398,1,At 20%,29,5.0,5.0
361100,上饶,江西,Jiangxi,江西,5,6.601525232540439,False,1,II,Single junction / c-Si,117.4818188053809,28.762899042947247,0,Initially viable,0,5.205157709004816,5.0
330100,杭州,浙江,Zhejiang,浙江,6,-13.487802861660384,True,4,V,None viable / c-Si,119.46524425761396,29.9001305294611,1,At 20%,18,6.0,6.0
330200,宁波,浙江,Zhejiang,浙江,6,5.121882887471543,False,1,II,Single junction / c-Si,121.45632616830407,29.725669570092226,0,Initially viable,0,6.214215052976449,6.0
330300,温州,浙江,Zhejiang,浙江,6,9.414000999884138,False,1,II,Single junction / c-Si,120.42922204403536,27.901868828824927,0,Initially viable,0,5.875509952203572,6.0
330400,嘉兴,浙江,Zhejiang,浙江,6,60.53869176129592,False,1,II,Single junction / c-Si,120.74985034705176,30.647097526016235,0,Initially viable,0,6.0,6.0
330500,湖州,浙江,Zhejiang,浙江,6,35.479151928293845,False,1,II,Single junction / c-Si,119.86526800034116,30.741982715331403,0,Initially viable,0,6.0,6.0
330600,绍兴,浙江,Zhejiang,浙江,6,-21.77240774340237,True,4,V,None viable / c-Si,120.64410248845552,29.719492302874897,1,At 20%,26,6.0,6.0
330700,金华,浙江,Zhejiang,浙江,6,3.5048200810964545,False,1,II,Single junction / c-Si,119.96223421626954,29.11332051976485,0,Initially viable,0,6.0,6.0
330800,衢州,浙江,Zhejiang,浙江,6,-7.569697176601608,True,4,V,None viable / c-Si,118.6854573202324,28.93347887190028,1,At 20%,11,5.875909436771707,6.0
330900,舟山,浙江,Zhejiang,浙江,6,26.89317240023479,False,1,II,Single junction / c-Si,122.203237,29.987981,0,Initially viable,0,6.0,6.0
331000,台州,浙江,Zhejiang,浙江,6,-19.22187182766811,True,4,V,None viable / c-Si,121.08315310854728,28.804220742270985,1,At 20%,24,6.20549490774367,6.0
331100,丽水,浙江,Zhejiang,浙江,6,-8.438301323566066,True,4,V,None viable / c-Si,119.52216733600336,28.198354657432184,1,At 20%,12,6.1560793373803975,6.0
420100,武汉,湖北,Hubei,湖北,7,35.09595688243962,False,1,II,Single junction / c-Si,114.34665330528776,30.638454657111605,0,Initially viable,0,7.0,7.0
420200,黄石,湖北,Hubei,湖北,7,-1.211605488445798,True,4,V,None viable / c-Si,115.02680219274264,29.946315369173963,1,At 20%,2,7.0,7.0
420300,十堰,湖北,Hubei,湖北,7,-12.128055324781258,True,4,V,None viable / c-Si,110.42941497726304,32.45260121007458,1,At 20%,15,7.193450386159704,7.0
420500,宜昌,湖北,Hubei,湖北,7,-15.535817363434262,True,4,V,None viable / c-Si,111.13062429523922,30.74645814595156,1,At 20%,20,7.0,7.0
420600,襄阳,湖北,Hubei,湖北,7,39.37507751553085,False,1,II,Single junction / c-Si,111.92081411541652,31.9302427205404,0,Initially viable,0,7.176413487340362,7.0
420700,鄂州,湖北,Hubei,湖北,7,-0.4075271102714168,True,4,V,None viable / c-Si,114.76422383622958,30.34979939374324,1,At 20%,1,7.218494534064455,7.0
420800,荆门,湖北,Hubei,湖北,7,41.58057622165802,False,1,II,Single junction / c-Si,112.5936863364385,31.071866846961893,0,Initially viable,0,6.623057474124288,7.0
420900,孝感,湖北,Hubei,湖北,7,53.07657864680061,False,1,II,Single junction / c-Si,113.86801197964112,31.12318866546647,0,Initially viable,0,7.0,7.0
421000,荆州,湖北,Hubei,湖北,7,8.761179919852225,False,1,II,Single junction / c-Si,112.51837714095382,30.007329235906017,0,Initially viable,0,7.0,7.0
421100,黄冈,湖北,Hubei,湖北,7,23.36813886121184,False,1,II,Single junction / c-Si,115.34409042534688,30.721932134110144,0,Initially viable,0,7.0,7.0
421200,咸宁,湖北,Hubei,湖北,7,13.18148735792738,False,1,II,Single junction / c-Si,114.17495590468506,29.63849355654693,0,Initially viable,0,7.1731075334013354,7.0
421300,随州,湖北,Hubei,湖北,7,39.900885088728046,False,1,II,Single junction / c-Si,113.40770488418002,31.83551120574616,0,Initially viable,0,6.836818665998258,7.0
422800,恩施,湖北,Hubei,湖北,7,-102.38162341335124,True,4,V,None viable / c-Si,109.5635282195006,30.190146897522325,0,Added at 30%,68,7.0,7.0
350100,福州,福建,Fujian,福建,8,-5.943710973992438,True,4,V,None viable / c-Si,119.13862813996958,26.07283234714338,1,At 20%,10,8.0,8.0
350200,厦门,福建,Fujian,福建,8,81.10261691986932,False,1,II,Single junction / c-Si,118.10765389959752,24.67683487710861,0,Initially viable,0,8.0,8.0
350300,莆田,福建,Fujian,福建,8,17.724909315161426,False,1,II,Single junction / c-Si,118.87500828273409,25.47170753391852,0,Initially viable,0,8.124620311320975,8.0
350400,三明,福建,Fujian,福建,8,-5.0538248697178005,True,4,V,None viable / c-Si,117.40193198196802,26.29074835011854,1,At 20%,6,8.218181380945914,8.0
350500,泉州,福建,Fujian,福建,8,31.650522894623805,False,1,II,Single junction / c-Si,118.23593680630134,25.20565588764942,0,Initially viable,0,8.0,8.0
350600,漳州,福建,Fujian,福建,8,52.32457048997969,False,1,II,Single junction / c-Si,117.4450112154851,24.37704206168045,0,Initially viable,0,8.0,8.0
350700,南平,福建,Fujian,福建,8,4.645287992238423,False,1,II,Single junction / c-Si,118.14913135485442,27.332799051522937,0,Initially viable,0,8.0,8.0
350800,龙岩,福建,Fujian,福建,8,11.818647700451152,False,1,II,Single junction / c-Si,116.7425411392082,25.27833805696676,0,Initially viable,0,8.0,8.0
350900,宁德,福建,Fujian,福建,8,-13.38304035185945,True,4,V,None viable / c-Si,119.45244348430656,26.987998611783063,1,At 20%,17,8.0,8.0
610100,西安,陕西,Shaanxi,陕西,9,50.25263459671078,False,1,II,Single junction / c-Si,108.78530590259167,34.11042699072811,0,Initially viable,0,9.0,9.0
610200,铜川,陕西,Shaanxi,陕西,9,90.0908327225536,False,1,II,Single junction / c-Si,109.02974785630556,35.19210979892443,0,Initially viable,0,9.0,9.0
610300,宝鸡,陕西,Shaanxi,陕西,9,18.417531433551403,False,1,II,Single junction / c-Si,107.1970943145262,34.36547331028568,0,Initially viable,0,9.175642533226252,9.0
610400,咸阳,陕西,Shaanxi,陕西,9,80.77347251348067,False,1,II,Single junction / c-Si,108.39005985724914,34.77745187148047,0,Initially viable,0,9.0,9.0
610500,渭南,陕西,Shaanxi,陕西,9,100.67668141023216,False,1,II,Single junction / c-Si,109.85830941289454,34.95173156192099,0,Initially viable,0,9.0,9.0
610600,延安,陕西,Shaanxi,陕西,9,112.58637565487447,False,0,I,c-Si / c-Si,109.314453711541,36.44070899890943,0,Initially viable,0,9.0,9.0
610700,汉中,陕西,Shaanxi,陕西,9,-46.23660087315193,True,4,V,None viable / c-Si,107.10173921970942,33.091586833701,1,At 20%,39,9.0,9.0
610800,榆林,陕西,Shaanxi,陕西,9,168.62767713242192,False,2,III,c-Si / 2T tandem,109.55236535790108,38.035050668006704,0,Initially viable,0,9.0,9.0
610900,安康,陕西,Shaanxi,陕西,9,-44.6033647019774,True,4,V,None viable / c-Si,108.91907468249924,32.765959787647006,1,At 20%,38,9.214099589119954,9.0
611000,商洛,陕西,Shaanxi,陕西,9,14.104831640435007,False,1,II,Single junction / c-Si,109.89964199838622,33.6423689871794,0,Initially viable,0,9.0,9.0
440100,广州,广东,Guangdong,广东,10,23.765589232365528,False,1,II,Single junction / c-Si,113.5276479868813,23.37643319851028,0,Initially viable,0,9.888341658361156,10.0
440200,韶关,广东,Guangdong,广东,10,-20.255375800346314,True,4,V,None viable / c-Si,113.75661090434517,24.830935242168845,1,At 20%,25,9.999999999999993,10.0
440300,深圳,广东,Guangdong,广东,10,56.69098098975917,False,1,II,Single junction / c-Si,114.11249663102048,22.662455593867183,0,Initially viable,0,9.999999999999993,10.0
440400,珠海,广东,Guangdong,广东,10,63.31058959481015,False,1,II,Single junction / c-Si,113.3272226832413,22.209007319136767,0,Initially viable,0,10.084404574233588,10.0
440500,汕头,广东,Guangdong,广东,10,68.57955147050552,False,1,II,Single junction / c-Si,116.55870682829864,23.346907002608088,0,Initially viable,0,10.233503142572737,10.0
440600,佛山,广东,Guangdong,广东,10,6.373007232266218,False,1,II,Single junction / c-Si,112.92346250961764,23.0144476238309,0,Initially viable,0,9.999999999999993,10.0
440700,江门,广东,Guangdong,广东,10,11.43162295728564,False,1,II,Single junction / c-Si,112.66326431494092,22.315393504688863,0,Initially viable,0,9.844198560274293,10.0
440800,湛江,广东,Guangdong,广东,10,80.42234327087715,False,1,II,Single junction / c-Si,110.1525013490788,21.117722999603902,0,Initially viable,0,9.999999999999993,10.0
440900,茂名,广东,Guangdong,广东,10,37.22043198427036,False,1,II,Single junction / c-Si,110.96344797902368,22.033621644030227,0,Initially viable,0,9.999999999999993,10.0
441200,肇庆,广东,Guangdong,广东,10,-5.430208707948736,True,4,V,None viable / c-Si,112.18544443237498,23.54834094121,1,At 20%,9,10.098176859013982,10.0
441300,惠州,广东,Guangdong,广东,10,47.90256631016689,False,1,II,Single junction / c-Si,114.47870252652702,23.251948559342065,0,Initially viable,0,10.21927674243075,10.0
441400,梅州,广东,Guangdong,广东,10,19.767770313630308,False,1,II,Single junction / c-Si,116.07133086778543,24.19339563865404,0,Initially viable,0,10.209489453784592,10.0
441500,汕尾,广东,Guangdong,广东,10,69.53789713546428,False,1,II,Single junction / c-Si,115.51743488628176,23.01230630941768,0,Initially viable,0,9.727169540462434,10.0
441600,河源,广东,Guangdong,广东,10,27.06100262773691,False,1,II,Single junction / c-Si,114.951769236766,24.03857818797289,0,Initially viable,0,10.083614651558356,10.0
441700,阳江,广东,Guangdong,广东,10,17.589881171537854,False,1,II,Single junction / c-Si,111.77876821998112,22.04503383947873,0,Initially viable,0,9.999999999999993,10.0
441800,清远,广东,Guangdong,广东,10,-11.844750878961577,True,4,V,None viable / c-Si,112.87774188189192,24.30229751111392,1,At 20%,13,9.999999999999993,10.0
441900,东莞,广东,Guangdong,广东,10,52.060986334833615,False,1,II,Single junction / c-Si,113.87277949903094,22.9408307722151,0,Initially viable,0,10.39838513988667,10.0
442000,中山,广东,Guangdong,广东,10,47.3710061114283,False,1,II,Single junction / c-Si,113.3538697461093,22.546046774753886,0,Initially viable,0,9.999999999999993,10.0
445100,潮州,广东,Guangdong,广东,10,63.963822134822976,False,1,II,Single junction / c-Si,116.74991550412152,23.811293378257183,0,Initially viable,0,9.865437291097287,10.0
445200,揭阳,广东,Guangdong,广东,10,48.36578998226446,False,1,II,Single junction / c-Si,116.10446160680569,23.3285459813109,0,Initially viable,0,9.782245261426517,10.0
445300,云浮,广东,Guangdong,广东,10,8.069613543630112,False,1,II,Single junction / c-Si,111.7849203069898,22.826995189250084,0,Initially viable,0,10.2136354814091,10.0
540100,拉萨,西藏,Tibet,西藏,11,74.73183635348664,False,0,I,c-Si / c-Si,91.0936312584614,30.031637404105453,0,Initially viable,0,10.999999999999993,11.0
540200,日喀则,西藏,Tibet,西藏,11,86.40813635853328,False,0,I,c-Si / c-Si,86.49219179282828,29.49535298063928,0,Initially viable,0,10.999999999999993,11.0
540300,昌都,西藏,Tibet,西藏,11,24.88869402365799,False,1,II,Single junction / c-Si,97.04264564460496,30.7692243611132,0,Initially viable,0,10.999999999999993,11.0
540400,林芝,西藏,Tibet,西藏,11,-55.652637369092986,True,4,V,None viable / c-Si,95.180037500826,29.495247861009467,1,At 20%,45,10.999999999999993,11.0
540500,山南,西藏,Tibet,西藏,11,27.98189929432692,False,1,II,Single junction / c-Si,91.70319639803355,28.724975985025058,0,Initially viable,0,11.19836043571496,11.0
540600,那曲,西藏,Tibet,西藏,11,89.33395979847387,False,0,I,c-Si / c-Si,89.2811377831197,32.706864664013374,0,Initially viable,0,11.2007353224571,11.0
542500,阿里,西藏,Tibet,西藏,11,115.67303999399404,False,0,I,c-Si / c-Si,82.5910244597988,33.022221892475066,0,Initially viable,0,10.999999999999993,11.0
530100,昆明,云南,Yunnan,云南,12,80.34855418991651,False,1,II,Single junction / c-Si,102.86622217579148,25.39146751778399,0,Initially viable,0,12.210698661652572,12.0
530300,曲靖,云南,Yunnan,云南,12,6.239974869738376,False,1,II,Single junction / c-Si,103.94236691002943,25.70530118867765,0,Initially viable,0,11.999999999999993,12.0
530400,玉溪,云南,Yunnan,云南,12,68.76452893994156,False,1,II,Single junction / c-Si,102.19573468880004,24.143746529795536,0,Initially viable,0,11.999999999999993,12.0
530500,保山,云南,Yunnan,云南,12,96.60287034445514,False,1,II,Single junction / c-Si,98.96574320778018,24.994635645349742,0,Initially viable,0,11.999999999999993,12.0
530600,昭通,云南,Yunnan,云南,12,-100.10560544142947,True,4,V,None viable / c-Si,103.99308165055872,27.65587491864052,0,Added at 30%,67,11.999999999999993,12.0
530700,丽江,云南,Yunnan,云南,12,125.5568921911173,False,3,IV,Single junction / 2T tandem,100.51960040136905,26.93575010871036,0,Initially viable,0,11.999999999999993,12.0
530800,普洱,云南,Yunnan,云南,12,82.62917149110888,False,1,II,Single junction / c-Si,100.72073954174807,23.18240781577055,0,Initially viable,0,12.419157155013117,12.0
530900,临沧,云南,Yunnan,云南,12,108.49925513557936,False,1,II,Single junction / c-Si,99.6697354356299,23.947323672921563,0,Initially viable,0,11.999999999999993,12.0
532300,楚雄,云南,Yunnan,云南,12,126.32914607882697,False,3,IV,Single junction / 2T tandem,101.5667912862598,25.35618780398602,0,Initially viable,0,12.218602507431235,12.0
532500,红河,云南,Yunnan,云南,12,24.515420523514308,False,1,II,Single junction / c-Si,103.03624426462972,23.441670836175007,0,Initially viable,0,11.999999999999993,12.0
532600,文山,云南,Yunnan,云南,12,-1.788484908933924,True,4,V,None viable / c-Si,104.72032316640517,23.693364266043144,1,At 20%,3,11.999999999999993,12.0
532800,西双版纳,云南,Yunnan,云南,12,78.29840311272903,False,1,II,Single junction / c-Si,100.9357990544476,21.94098293060307,0,Initially viable,0,11.999999999999993,12.0
