cost_multiplier,tandem_degradation,replacement_rule,context,policy,viable,si,sj,t,public_usd,new_projects,additional_discounted_mwh,additional_undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh
1.0,0.005,salvage,cap,New30,337,0,337,0,40869675.0,14,166944.94163027953,291199.3228100452,166944.94163027953,0.0
1.0,0.005,salvage,area,None,337,0,20,317,0.0,0,0.0,0.0,0.0,0.0
1.0,0.005,salvage,area,General20,337,0,0,337,77664768.78220902,0,164036.73361499354,289755.9330559813,0.0,164036.73361499357
1.0,0.005,salvage,area,New20,337,0,0,337,77664768.78220902,0,164036.73361499354,289755.9330559813,0.0,164036.73361499357
1.0,0.005,salvage,area,New30,337,0,0,337,116497153.17331353,0,164036.73361499354,289755.9330559813,0.0,164036.73361499357
1.0,0.005,stop_option,cap,None,324,0,324,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.005,stop_option,cap,General20,337,0,337,0,27246450.0,13,141038.0924707188,227018.24683044612,141038.09247071878,0.0
1.0,0.005,stop_option,cap,New20,337,0,337,0,27246450.0,13,141038.0924707188,227018.24683044612,141038.09247071878,0.0
1.0,0.005,stop_option,cap,New30,337,0,337,0,40869675.0,13,141038.0924707188,227018.24683044612,141038.09247071878,0.0
1.0,0.005,stop_option,area,None,337,2,6,329,0.0,0,0.0,0.0,0.0,0.0
1.0,0.005,stop_option,area,General20,337,0,0,337,77664768.78220902,0,61705.26527514334,119211.03521399459,0.0,61705.26527514334
1.0,0.005,stop_option,area,New20,337,0,0,337,77664768.78220902,0,61705.26527514334,119211.03521399459,0.0,61705.26527514334
1.0,0.005,stop_option,area,New30,337,0,0,337,116497153.17331353,0,61705.26527514334,119211.03521399459,0.0,61705.26527514334
1.0,0.012,full,cap,None,258,123,135,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.012,full,cap,General20,313,313,0,0,36725850.301130205,55,1059572.7812735206,1873812.345543987,850618.0639476451,208954.71732587533
1.0,0.012,full,cap,New20,311,0,311,0,25144350.0,53,487290.34463292186,829692.0125019209,757048.3189984218,-269757.9743655001
1.0,0.012,full,cap,New30,330,0,330,0,40020750.0,72,728774.8526541429,1250909.478081856,998532.827019643,-269757.9743655001
1.0,0.012,full,area,None,337,204,0,133,0.0,0,0.0,0.0,0.0,0.0
1.0,0.012,full,area,General20,337,70,0,267,73277879.64123136,0,555708.8777161391,854209.1486447518,0.0,555708.877716139
1.0,0.012,full,area,New20,337,0,0,337,77664768.78220902,0,795501.041413649,1223245.456741226,0.0,795501.041413649
1.0,0.012,full,area,New30,337,0,0,337,116497153.17331353,0,795501.041413649,1223245.456741226,0.0,795501.041413649
1.0,0.012,half,cap,None,306,0,306,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.012,half,cap,General20,333,0,333,0,26923050.0,27,342910.3282994513,598132.8599132549,342910.3282994513,0.0
1.0,0.012,half,cap,New20,333,0,333,0,26923050.0,27,342910.3282994513,598132.8599132549,342910.3282994513,0.0
1.0,0.012,half,cap,New30,337,0,337,0,40869675.0,31,387316.2604715415,675589.3988834425,387316.26047154155,0.0
1.0,0.012,half,area,None,337,195,9,133,0.0,0,0.0,0.0,0.0,0.0
1.0,0.012,half,area,General20,337,70,0,267,73277879.64123136,0,586670.3425845469,909469.920030979,0.0,586670.3425845468
1.0,0.012,half,area,New20,337,0,7,330,76761109.87940724,0,782476.0147708755,1204979.7268815911,0.0,782476.0147708755
1.0,0.012,half,area,New30,337,0,1,336,116303511.979856,0,820570.7433907278,1268657.861319734,0.0,820570.7433907277
1.0,0.012,salvage,cap,None,323,0,323,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.012,salvage,cap,General20,336,0,336,0,27165600.0,13,156237.78759600932,272523.00968815776,156237.78759600935,0.0
1.0,0.012,salvage,cap,New20,336,0,336,0,27165600.0,13,156237.78759600932,272523.00968815776,156237.78759600935,0.0
1.0,0.012,salvage,cap,New30,337,0,337,0,40869675.0,14,166944.94163027953,291199.3228100452,166944.94163027953,0.0
1.0,0.012,salvage,area,None,337,162,42,133,0.0,0,0.0,0.0,0.0,0.0
1.0,0.012,salvage,area,General20,337,66,4,267,73012182.50482906,0,703793.3897132738,1118454.465986756,0.0,703793.389713274
1.0,0.012,salvage,area,New20,337,0,20,317,75082886.20277533,0,821785.9327391249,1285332.5095376635,0.0,821785.9327391249
1.0,0.012,salvage,area,New30,337,0,4,333,115722588.39948343,0,932244.1343209409,1470013.7553018786,0.0,932244.134320941
1.0,0.012,stop_option,cap,None,324,0,324,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.012,stop_option,cap,General20,337,0,337,0,27246450.0,13,141038.0924707188,227018.24683044612,141038.09247071878,0.0
1.0,0.012,stop_option,cap,New20,337,0,337,0,27246450.0,13,141038.0924707188,227018.24683044612,141038.09247071878,0.0
1.0,0.012,stop_option,cap,New30,337,0,337,0,40869675.0,13,141038.0924707188,227018.24683044612,141038.09247071878,0.0
1.0,0.012,stop_option,area,None,337,198,6,133,0.0,0,0.0,0.0,0.0,0.0
1.0,0.012,stop_option,area,General20,337,70,0,267,73277879.64123136,0,583027.8823413897,913174.8964026287,0.0,583027.8823413897
1.0,0.012,stop_option,area,New20,337,0,6,331,76890204.00837892,0,778128.5250881462,1196478.396377998,0.0,778128.5250881462
1.0,0.012,stop_option,area,New30,337,0,1,336,116303511.979856,0,815772.9196903658,1268695.4593638782,0.0,815772.9196903657
1.0,0.02,full,cap,None,258,123,135,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.02,full,cap,General20,313,313,0,0,36725850.301130205,55,1059572.7812735206,1873812.345543987,850618.0639476451,208954.71732587533
1.0,0.02,full,cap,New20,311,0,311,0,25144350.0,53,487290.34463292186,829692.0125019209,757048.3189984218,-269757.9743655001
1.0,0.02,full,cap,New30,330,0,330,0,40020750.0,72,728774.8526541429,1250909.478081856,998532.827019643,-269757.9743655001
1.0,0.02,full,area,None,337,337,0,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.02,full,area,General20,337,337,0,0,56545031.060645126,0,0.0,0.0,0.0,0.0
1.0,0.02,full,area,New20,337,15,22,300,71367809.12663275,0,584990.6452826364,461067.25433709443,0.0,584990.6452826364
1.0,0.02,full,area,New30,337,0,4,333,115722588.39948343,0,707352.0867720534,632390.8061961065,0.0,707352.0867720534
1.0,0.02,half,cap,None,306,0,306,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.02,half,cap,General20,333,0,333,0,26923050.0,27,342910.3282994513,598132.8599132549,342910.3282994513,0.0
1.0,0.02,half,cap,New20,333,0,333,0,26923050.0,27,342910.3282994513,598132.8599132549,342910.3282994513,0.0
1.0,0.02,half,cap,New30,337,0,337,0,40869675.0,31,387316.2604715415,675589.3988834425,387316.26047154155,0.0
1.0,0.02,half,area,None,337,328,9,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.02,half,area,General20,337,337,0,0,56545031.060645126,0,30961.4648684079,55260.77138622721,0.0,30961.464868407904
1.0,0.02,half,area,New20,337,0,103,234,64368073.498125546,0,136726.28089934544,-230823.77418969953,0.0,136726.28089934544
1.0,0.02,half,area,New30,337,0,38,299,109138787.82192753,0,550027.6662629611,400149.06537761376,0.0,550027.6662629611
1.0,0.02,salvage,cap,None,323,0,323,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.02,salvage,cap,General20,336,0,336,0,27165600.0,13,156237.78759600932,272523.00968815776,156237.78759600935,0.0
1.0,0.02,salvage,cap,New20,336,0,336,0,27165600.0,13,156237.78759600932,272523.00968815776,156237.78759600935,0.0
1.0,0.02,salvage,cap,New30,337,0,337,0,40869675.0,14,166944.94163027953,291199.3228100452,166944.94163027953,0.0
1.0,0.02,salvage,area,None,337,295,42,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.02,salvage,area,General20,337,333,4,0,56279333.924242824,0,148084.5119971349,264245.31734200404,0.0,148084.51199713492
1.0,0.02,salvage,area,New20,337,0,135,202,60237061.37103166,0,44439.67519611567,-338493.3245421428,0.0,44439.6751961157
1.0,0.02,salvage,area,New30,337,0,71,266,102748628.43782918,0,475583.5923331106,319973.4222458121,0.0,475583.5923331106
1.0,0.02,stop_option,cap,None,324,0,324,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.02,stop_option,cap,General20,337,0,337,0,27246450.0,13,141038.0924707188,227018.24683044612,141038.09247071878,0.0
