cost_multiplier,tandem_degradation,replacement_rule,context,policy,decision_changes,npv_loss_usd,npv_loss_pct
1.2,0.012,full,cap,None,0,0.0,0.0
1.2,0.012,full,cap,General20,0,0.0,0.0
1.2,0.012,full,cap,New20,0,0.0,0.0
1.2,0.012,full,cap,New30,28,110928.19273527338,0.3248886276402632
1.2,0.012,full,area,None,0,0.0,0.0
1.2,0.012,full,area,General20,0,0.0,0.0
1.2,0.012,full,area,New20,16,61338.583891671384,0.01988264372602928
1.2,0.012,full,area,New30,1,1352.0437841640378,0.0003950258335897744
1.2,0.012,half,cap,None,0,0.0,0.0
1.2,0.012,half,cap,General20,0,0.0,0.0
1.2,0.012,half,cap,New20,4,15230.328199354573,0.03447283422911774
1.2,0.012,half,cap,New30,3,14437.504216535246,0.024650582509002907
1.2,0.012,half,area,None,0,0.0,0.0
1.2,0.012,half,area,General20,0,0.0,0.0
1.2,0.012,half,area,New20,19,99403.03123391522,0.03221188213120852
1.2,0.012,half,area,New30,7,43847.190529935935,0.012787946739798989
1.2,0.012,salvage,cap,None,29,118917.51244342195,0.3979357679834494
1.2,0.012,salvage,cap,General20,48,137593.16379273188,0.22675666310547196
1.2,0.012,salvage,cap,New20,4,14248.61459699457,0.026177582134097453
1.2,0.012,salvage,cap,New30,2,8257.628903657405,0.011875131819580803
1.2,0.012,salvage,area,None,0,0.0,0.0
1.2,0.012,salvage,area,General20,0,0.0,0.0
1.2,0.012,salvage,area,New20,29,188756.6301990908,0.06104394525010042
1.2,0.012,salvage,area,New30,5,39907.265386858606,0.011595714021171991
1.2,0.02,full,cap,None,0,0.0,0.0
1.2,0.02,full,cap,General20,0,0.0,0.0
1.2,0.02,full,cap,New20,0,0.0,0.0
1.2,0.02,full,cap,New30,28,110928.19273527338,0.3248886276402632
1.2,0.02,full,area,None,0,0.0,0.0
1.2,0.02,full,area,General20,0,0.0,0.0
1.2,0.02,full,area,New20,0,0.0,0.0
1.2,0.02,full,area,New30,0,0.0,0.0
1.2,0.02,half,cap,None,0,0.0,0.0
1.2,0.02,half,cap,General20,0,0.0,0.0
1.2,0.02,half,cap,New20,4,15230.328199354573,0.03447283422911774
1.2,0.02,half,cap,New30,3,14437.504216535246,0.024650582509002907
1.2,0.02,half,area,None,0,0.0,0.0
1.2,0.02,half,area,General20,0,0.0,0.0
1.2,0.02,half,area,New20,3,38064.44734224383,0.012464413792427506
1.2,0.02,half,area,New30,14,111619.46993503545,0.03640050882221569
1.2,0.02,salvage,cap,None,29,118917.51244342195,0.3979357679834494
1.2,0.02,salvage,cap,General20,48,137593.16379273188,0.22675666310547196
1.2,0.02,salvage,cap,New20,4,14248.61459699457,0.026177582134097453
1.2,0.02,salvage,cap,New30,2,8257.628903657405,0.011875131819580803
1.2,0.02,salvage,area,None,0,0.0,0.0
1.2,0.02,salvage,area,General20,0,0.0,0.0
1.2,0.02,salvage,area,New20,13,127418.04630741943,0.041638779224903645
1.2,0.02,salvage,area,New30,23,289065.977373822,0.09328606363413076
