adcode,city,province,ghi_quartile,gamma_pct_c,spectral_scale,advantage_t0_s0_i0_pct,advantage_t1_s0_i0_pct,advantage_t0_s1_i0_pct,advantage_t1_s1_i0_pct,advantage_t0_s0_i1_pct,advantage_t1_s0_i1_pct,advantage_t0_s1_i1_pct,advantage_t1_s1_i1_pct,thermal_pp,spectral_pp,iam_pp,electrical_pp,total_pct,largest_climate_term
640400,固原,宁夏,Q3,-0.1,0.7,0.6494577782296007,0.7801061724853176,1.517273209807546,1.7050019151973572,0.6660292538601231,0.8475858316137508,1.5700568274484406,1.810501095909922,0.1852451014296393,0.9150641180080984,0.0607340982425837,0.6494577782296007,1.810501095909922,spectral
411000,许昌,河南,Q3,-0.1,0.7,0.6723658421277534,2.7383570344420294,1.7204499563912012,3.9232473830215,0.6897362919407124,2.8377286971243088,1.7892573500012166,4.06879692870028,2.173641895640096,1.1404526830531354,0.0823365078792955,0.6723658421277534,4.06879692870028,thermal
370100,济南,山东,Q3,-0.1,0.7,0.6552256338655083,2.1139768172821816,1.60748891256568,3.156284761739059,0.6730551449184441,2.192078560156352,1.6685597563107502,3.273355052435023,1.5324853705821964,1.0174820163011449,0.0681620316861734,0.6552256338655083,3.273355052435023,thermal
130300,秦皇岛,河北,Q3,-0.1,0.7,0.6238143635646454,0.9981692839144962,1.4562938458906105,1.8729798815130927,0.6410464601146693,1.0455056723241762,1.5133258648273085,1.9569240007754507,0.4095085600713292,0.8724809373109523,0.0511201398285236,0.6238143635646454,1.9569240007754507,spectral
410200,开封,河南,Q3,-0.1,0.7,0.6732740296490514,2.432848996723447,1.7118563297830125,3.5801952451480545,0.6909418752863772,2.520372993020681,1.7756138060375903,3.7107480149406458,1.8478647308423743,1.1149888038806122,0.0746204505686076,0.6732740296490514,3.7107480149406458,thermal
120000,天津,天津,Q3,-0.1,0.7,0.6267714587572693,1.87824790860609,1.4697609338041984,2.79578424057072,0.6442499073790131,1.944315950572384,1.531842138133355,2.898789186191486,1.3104893909622994,0.900008997341839,0.0615193391300783,0.6267714587572693,2.898789186191486,thermal
652700,博州,新疆,Q3,-0.1,0.7,0.6140150541631639,2.09165242256848,1.2963290111036585,2.8925570943480805,0.6291109619491753,2.187195699875,1.3503596213237934,3.021502086844974,1.5753120815038728,0.7592323364958593,0.0729426146820773,0.6140150541631639,3.021502086844974,thermal
370900,泰安,山东,Q3,-0.1,0.7,0.6549519321187525,2.190355354218432,1.6229920879098805,3.252950232358676,0.6729052598845042,2.268787586079779,1.6868408186940798,3.3724151230328347,1.611299320586823,1.0366443037396975,0.0695195665875614,0.6549519321187525,3.3724151230328347,thermal
350200,厦门,福建,Q3,-0.1,0.7,0.7822992883382174,3.60603312261818,2.242767545918256,5.181661894942846,0.8008676052044361,3.6823409741453705,2.3031422081199127,5.294936680750717,2.9085707219645096,1.537338550601819,0.0667281198461711,0.7822992883382174,5.294936680750717,thermal
130400,邯郸,河北,Q3,-0.1,0.7,0.6533065913701952,2.3858951226339187,1.6030195849079831,3.4477009564581884,0.670532599502871,2.4757675708879434,1.6657057065841974,3.5798595905468966,1.8239001955646872,1.0274314945498464,0.0752213090621678,0.6533065913701952,3.5798595905468966,thermal
