adcode,city,province,ghi_kwh_m2,ghi_quartile,plot_order
350600,漳州,福建,1543.517683011229,Q3,192
411400,商丘,河南,1545.275884875927,Q3,193
410300,洛阳,河南,1545.559733656056,Q3,194
210900,阜新,辽宁,1550.701846050335,Q3,195
210700,锦州,辽宁,1552.637223114657,Q3,196
370400,枣庄,山东,1558.4018978128372,Q3,197
211100,盘锦,辽宁,1561.6280718768237,Q3,198
440300,深圳,广东,1562.4408702622345,Q3,199
441500,汕尾,广东,1564.4642565443185,Q3,200
445100,潮州,广东,1565.3865626254965,Q3,201
410800,焦作,河南,1565.4402597074763,Q3,202
210800,营口,辽宁,1567.2377680991542,Q3,203
370300,淄博,山东,1567.856502155011,Q3,204
110000,北京,北京,1571.7872233027167,Q3,205
370700,潍坊,山东,1572.2679233216268,Q3,206
533300,怒江,云南,1572.4043574636537,Q3,207
440400,珠海,广东,1574.3725364197128,Q3,208
410100,郑州,河南,1575.1927162986915,Q3,209
440500,汕头,广东,1575.6575098161925,Q3,210
370800,济宁,山东,1576.0494850896305,Q3,211
411200,三门峡,河南,1576.51992921209,Q3,212
411100,漯河,河南,1576.840092902581,Q3,213
130800,承德,河北,1577.7094212199313,Q3,214
410700,新乡,河南,1577.9917604547911,Q3,215
371100,日照,山东,1581.2636004441715,Q3,216
411600,周口,河南,1582.2778929111976,Q3,217
610400,咸阳,陕西,1582.3671521852525,Q3,218
130200,唐山,河北,1583.0498176798174,Q3,219
140300,阳泉,山西,1585.173393428159,Q3,220
210200,大连,辽宁,1585.272205564081,Q3,221
211300,朝阳,辽宁,1588.1164917009555,Q3,222
610200,铜川,陕西,1589.103893988716,Q3,223
140500,晋城,山西,1590.2787566721877,Q3,224
150500,通辽,内蒙古,1592.032991988489,Q3,225
640400,固原,宁夏,1592.526333798373,Q3,226
411000,许昌,河南,1593.816179827857,Q3,227
370100,济南,山东,1594.559914140542,Q3,228
130300,秦皇岛,河北,1595.6181035049322,Q3,229
410200,开封,河南,1595.7395697529273,Q3,230
120000,天津,天津,1597.1274565237438,Q3,231
652700,博州,新疆,1597.3796298269303,Q3,232
370900,泰安,山东,1598.878707982115,Q3,233
350200,厦门,福建,1598.9409233541958,Q3,234
130400,邯郸,河北,1599.8407182074388,Q3,235
211400,葫芦岛,辽宁,1600.131112221121,Q3,236
150400,赤峰,内蒙古,1600.6178609274218,Q3,237
410600,鹤壁,河南,1602.859718860157,Q3,238
130500,邢台,河北,1602.8981891001197,Q3,239
370600,烟台,山东,1603.6006410157006,Q3,240
131000,廊坊,河北,1605.6711255784908,Q3,241
140100,太原,山西,1605.9681212806845,Q3,242
140400,长治,山西,1608.5002357646788,Q3,243
140700,晋中,山西,1609.2544319703218,Q3,244
130600,保定,河北,1609.538391589017,Q3,245
610600,延安,陕西,1610.1076513693945,Q3,246
621000,庆阳,甘肃,1610.9553492737434,Q3,247
610500,渭南,陕西,1611.0411570321642,Q3,248
371600,滨州,山东,1611.275768881263,Q3,249
130700,张家口,河北,1611.8595454565675,Q3,250
533100,德宏,云南,1614.3806825201568,Q3,251
410500,安阳,河南,1615.016522328698,Q3,252
130100,石家庄,河北,1615.800621772457,Q3,253
141000,临汾,山西,1616.3203912833694,Q4,254
410900,濮阳,河南,1616.6649345366277,Q4,255
140800,运城,山西,1618.0297731602564,Q4,256
371000,威海,山东,1621.0274573229133,Q4,257
530400,玉溪,云南,1622.4849517669068,Q4,258
370200,青岛,山东,1624.0041573253225,Q4,259
440800,湛江,广东,1625.3764860077654,Q4,260
450500,北海,广西,1626.1049508966391,Q4,261
152500,锡林郭勒,内蒙古,1626.4790631539845,Q4,262
130900,沧州,河北,1630.2171298489188,Q4,263
654300,阿勒泰,新疆,1631.374243460495,Q4,264
371400,德州,山东,1632.0581113102223,Q4,265
370500,东营,山东,1633.8130973381446,Q4,266
140900,忻州,山西,1634.0314046201,Q4,267
530100,昆明,云南,1636.1843045975295,Q4,268
131100,衡水,河北,1636.4766520932535,Q4,269
654200,塔城,新疆,1636.8982501877188,Q4,270
371500,聊城,山东,1637.0586808433634,Q4,271
140200,大同,山西,1637.7108710594669,Q4,272
654000,伊犁,新疆,1638.745723895719,Q4,273
530500,保山,云南,1640.3988032164873,Q4,274
510400,攀枝花,四川,1643.6350869673267,Q4,275
460400,儋州,海南,1647.377940613109,Q4,276
621100,定西,甘肃,1647.852211307645,Q4,277
141100,吕梁,山西,1648.9361737019249,Q4,278
530800,普洱,云南,1655.698598876493,Q4,279
140600,朔州,山西,1659.1719918106403,Q4,280
650200,克拉玛依,新疆,1659.672605809844,Q4,281
532800,西双版纳,云南,1667.2063085930802,Q4,282
150900,乌兰察布,内蒙古,1681.8438498207815,Q4,283
610800,榆林,陕西,1682.2733100975702,Q4,284
652300,昌吉,新疆,1685.604110948056,Q4,285
150100,呼和浩特,内蒙古,1686.6018858185582,Q4,286
532900,大理,云南,1687.0142661063644,Q4,287
530700,丽江,云南,1688.252807211563,Q4,288
530900,临沧,云南,1690.6679148563362,Q4,289
650100,乌鲁木齐,新疆,1695.294657747242,Q4,290
150200,包头,内蒙古,1708.2226311820732,Q4,291
620400,白银,甘肃,1718.1010725656392,Q4,292
