adcode,plot_order,minimum_gain_pct,maximum_gain_pct,baseline_gain_pct,largest_climate_term_changed
440900,168,3.592424149285156,5.991866191572104,5.140130310305313,True
410400,169,2.772920072485774,4.469608938040581,3.877205207291557,True
320700,170,2.419580442040981,3.585208762077574,3.163012679169963,True
321300,171,2.4765828379052834,3.746839560422832,3.2898188877388934,True
441300,172,3.573695294417001,6.040142257894443,5.1718012871821095,True
210100,173,1.53174129217013,1.7911957137462409,1.693631763163772,False
211000,174,1.630204253352607,2.000804801425571,1.8639601241256631,False
320800,175,2.5231931672917263,3.853620520303069,3.376115137239233,True
210300,176,1.6360992471909253,1.9798607249402969,1.8509895453163503,False
445200,177,3.493943785814335,5.803698246848787,4.986821551735265,True
513400,178,2.67737562674093,3.997134923993628,3.522538638961304,True
341300,179,2.54438582396892,3.921095348774784,3.429048830425208,True
320300,180,2.4707499279979395,3.7757413293981967,3.309417503209344,True
610100,181,2.928201547176124,4.868414381275676,4.200144738964262,True
442000,182,3.522444357218624,5.860850665040562,5.02906132969736,True
220800,183,1.0310871813558051,1.2099312192935807,1.1097944088395817,False
620800,184,2.0506119067115414,2.71063559198923,2.4707778596202656,False
320900,185,2.48246143456552,3.74560175026899,3.2931909247960744,True
532500,186,3.111414170826543,4.7154339155662806,4.13548094409566,True
371700,187,2.455510580784659,3.788257875623669,3.314130408422211,True
340600,188,2.586259331537,4.012926269876638,3.5029425707531425,True
341600,189,2.6318369960551147,4.130075965254676,3.598564117620695,True
441900,190,3.5387619962042205,5.9806582661041885,5.117681080352221,True
371300,191,2.335587973868813,3.46127740427431,3.0569074778150407,True
350600,192,3.486692560242344,5.869099238271236,5.028534557989195,True
411400,193,2.556982567004784,3.9892070371911448,3.481074218879576,True
410300,194,2.6722849357906364,4.274358889277163,3.719398517843664,True
210900,195,1.5172064012656472,1.7895967786726308,1.6885428575138084,False
210700,196,1.5585110973972194,1.8371356510585857,1.731050154334146,False
370400,197,2.425144694162995,3.689092268176642,3.2356542916443853,True
211100,198,1.5500833831632477,1.7996374552462946,1.702710590757106,False
440300,199,3.5033937225093403,5.813940274097185,4.9943483514540254,True
441500,200,3.294184821727874,5.316477081158388,4.594204945761948,True
445100,201,3.429762567503447,5.705354184836264,4.90008096741037,True
410800,202,2.5106029318721967,3.932974912605824,3.43772773603348,True
