adcode,city,ghi_quartile,advantage_t1_s1_i1_pct,advantage_t0_s1_i1_pct,advantage_t1_s0_i1_pct,advantage_t0_s0_i0_pct,plot_order
231100,黑河,Q1,0.7996871505650649,1.14348541630358,0.301379490877296,0.6504703914370413,47
330100,杭州,Q1,4.34357590124379,2.2733106823425557,2.7837203071147787,0.8187840673296476,48
451100,贺州,Q1,5.091953396140592,2.5368813708624094,3.339130408150304,0.9001133008758933,49
361000,抚州,Q1,4.974140720884557,2.4064147854584883,3.2866002516011683,0.840135754088922,50
331000,台州,Q1,4.153088459757437,2.372220884610932,2.52590278597431,0.8387438514415146,51
230500,双鸭山,Q1,0.9228164587865796,1.2945520162748636,0.3077935058402703,0.6710369003770866,52
420500,宜昌,Q1,4.32425812933146,2.274034080487364,2.758811822639795,0.8279644058078794,53
451400,崇左,Q1,5.438237639809951,2.677042899367854,3.54856607372509,0.9260364973380676,54
430400,衡阳,Q1,4.846020194225287,2.4397617252690296,3.1350479535077413,0.8420827821976617,55
430300,湘潭,Q1,4.63609204755131,2.400869056794308,2.984192982988665,0.8370415724732183,56
621200,陇南,Q1,2.81569830818873,2.0693893104707817,1.4976405271801108,0.8097123844904575,57
430100,长沙,Q1,4.6403101788022205,2.370198728818385,3.006374049865501,0.831596165457249,58
230700,伊春,Q1,0.9415860899366636,1.2351230434358706,0.3691266822866579,0.6593835347883159,59
440200,韶关,Q1,5.063142520136421,2.5257680500861968,3.3146021300731965,0.8883447629595809,60
430200,株洲,Q1,4.806277782166935,2.4036371547015767,3.131828135137704,0.8361614502422565,61
230800,佳木斯,Q1,0.8745726484134186,1.2537994340172445,0.28554897007671,0.6586336564457174,62
451000,百色,Q1,4.944657639886207,2.5800551066159416,3.1397482617984585,0.90500386117649,63
330800,衢州,Q1,4.586331988840908,2.289942504830389,2.993966420378258,0.8122593762665442,64
430600,岳阳,Q1,4.399483916733993,2.3381480564389934,2.7931446383775205,0.8230276780456958,65
230400,鹤岗,Q1,0.9381641039362564,1.2258250132137327,0.3635683607889683,0.6518583065407091,66
360500,新余,Q1,4.838438964329317,2.371959563838355,3.1712405738836718,0.8259628793373164,67
150700,呼伦贝尔,Q1,0.5584976558440369,1.097474496792783,0.0793937188764415,0.6299495329991966,68
360600,鹰潭,Q1,4.873095204016686,2.3378721669977454,3.2405481593825503,0.820365342991014,69
451300,来宾,Q1,5.039678673911996,2.5359445357942656,3.253598794994472,0.8788924084421668,70
450800,贵港,Q1,5.080845647281396,2.561749560405646,3.2909878272723514,0.8879587806255751,71
331100,丽水,Q1,4.69462608559299,2.3224886273453427,3.054569884768865,0.8134168400138142,72
360800,吉安,Q1,4.759585136552524,2.379683610386896,3.0940726934186813,0.8300629835473528,73
350900,宁德,Q1,5.00060379122802,2.508365857916361,3.254589884059733,0.8628494534046682,74
450100,南宁,Q1,5.177248810488777,2.619864202898792,3.335086321836256,0.9050421639678508,75
441800,清远,Q1,5.168611677202217,2.5392960666355657,3.4065496944530427,0.8810709700814323,76
341000,黄山,Q1,4.391552579825908,2.24157944089729,2.8279323027597503,0.7920995554403065,77
230900,七台河,Q1,0.917088045617831,1.2872058148513776,0.2959903452128154,0.6579632351037201,78
230100,哈尔滨,Q1,0.9930187923819832,1.3299577336389978,0.3384671523829263,0.6643233953401273,79
360900,宜春,Q1,4.703319582207532,2.314924457938927,3.0782698590182456,0.8092366929680628,80
231000,牡丹江,Q1,1.145193972391656,1.4068627228938535,0.4191754425301619,0.6794246509536306,81
231200,绥化,Q1,0.8245683539110704,1.2477630833860998,0.2369541113510731,0.6494883122342143,82
330200,宁波,Q1,3.753478029503832,2.305272482081944,2.192510791264501,0.8122199718244572,83
360300,萍乡,Q1,4.816077011016007,2.3306868343059506,3.1784015755462525,0.8111969128494767,84
330700,金华,Q1,4.556294512377712,2.265797691215288,2.964688341977828,0.7979392218184111,85
350400,三明,Q2,5.029521142932492,2.449386244576424,3.2979311136076106,0.8368936613462274,86
420700,鄂州,Q2,4.27971004675094,2.241317973406076,2.726886687778074,0.7940474247773999,87
420200,黄石,Q2,4.308860879211385,2.2488541778545867,2.7529301732470923,0.794427725329161,88
230200,齐齐哈尔,Q2,0.8115383286078304,1.1436747700864336,0.2788653392595597,0.6206634833108238,89
441200,肇庆,Q2,5.197381652956468,2.5568296403308155,3.414255870324445,0.8783256626909708,90
350100,福州,Q2,4.628889665735181,2.5487831400913485,2.8662746610621737,0.8666664727542628,91
230300,鸡西,Q2,1.0581358698257717,1.322455964758884,0.3982515391889096,0.6577475912543429,92
350700,南平,Q2,5.01497617429123,2.3496846656032133,3.355921970155773,0.8158382052909197,93
361100,上饶,Q2,4.609605868726585,2.2539965376414006,3.028678325923262,0.7887809272652646,94
222400,延边,Q2,1.3593628858525886,1.430724329929256,0.5952140881918755,0.6630237265716099,95
330300,温州,Q2,4.423640881289925,2.3564773169188813,2.760597265109221,0.8110507327866889,96
421000,荆州,Q2,4.27063873811977,2.251526257822789,2.699963938795213,0.7920812635304975,97
360200,景德镇,Q2,4.602661902295768,2.2319094665328,3.016140815714974,0.7748192797735642,98
360700,赣州,Q2,4.805964223087078,2.389393443294008,3.130049548696956,0.8273877752154046,99
341500,六安,Q2,4.034576187884031,2.122253579139377,2.556034274154096,0.7598531638701056,100
