adcode,context,npv_musd,display_y,display_row
420600,cap,0.03937507751553085,7.089289402248767,7
420700,cap,-0.0004075271102714168,7.1042002476364345,7
420800,cap,0.04158057622165802,6.81270999488369,7
420900,cap,0.05307657864680061,7.0,7
421000,cap,0.008761179919852225,7.0,7
421100,cap,0.023368138861211838,7.0,7
421200,cap,0.01318148735792738,7.088158888641061,7
421300,cap,0.03990088508872804,6.915191606881443,7
422800,cap,-0.10238162341335123,7.0,7
350100,cap,-0.005943710973992438,8.043864365812539,8
350200,cap,0.08110261691986932,8.0,8
350300,cap,0.017724909315161425,7.978019806694725,8
350400,cap,-0.0050538248697178005,7.939778099145016,8
350500,cap,0.031650522894623806,8.0,8
350600,cap,0.05232457048997969,8.0,8
350700,cap,0.004645287992238423,8.0,8
350800,cap,0.011818647700451152,8.050585227653329,8
350900,cap,-0.01338304035185945,8.0,8
610100,cap,0.050252634596710775,9.0,9
610200,cap,0.0900908327225536,9.0,9
610300,cap,0.018417531433551404,9.089025142478256,9
610400,cap,0.08077347251348067,9.0,9
610500,cap,0.10067668141023216,9.0,9
610600,cap,0.11258637565487448,9.0,9
610700,cap,-0.04623660087315193,9.0,9
610800,cap,0.1686276771324219,9.0,9
610900,cap,-0.0446033647019774,9.102604178345565,9
611000,cap,0.014104831640435007,9.0,9
440100,cap,0.023765589232365526,9.931195693796127,10
440200,cap,-0.020255375800346316,10.000000000000007,10
440300,cap,0.056690980989759165,10.000000000000007,10
440400,cap,0.06331058959481016,10.061695621573158,10
440500,cap,0.06857955147050553,9.865282986137828,10
440600,cap,0.006373007232266218,10.000000000000007,10
440700,cap,0.01143162295728564,9.917636338598896,10
440800,cap,0.08042234327087715,10.000000000000007,10
440900,cap,0.037220431984270365,10.000000000000007,10
441200,cap,-0.005430208707948736,10.06513759193816,10
441300,cap,0.04790256631016689,10.104485123221842,10
441400,cap,0.01976777031363031,10.100938541437777,10
441500,cap,0.06953789713546428,10.12973607927401,10
441600,cap,0.02706100262773691,10.027057993870635,10
441700,cap,0.017589881171537855,10.000000000000007,10
441800,cap,-0.011844750878961577,10.000000000000007,10
441900,cap,0.052060986334833616,10.194701164349773,10
442000,cap,0.0473710061114283,10.000000000000007,10
445100,cap,0.06396382213482298,9.951790657395861,10
445200,cap,0.04836578998226446,9.896068959482541,10
445300,cap,0.008069613543630111,10.102436092170542,10
540100,cap,0.07473183635348664,11.0,11
540200,cap,0.08640813635853328,11.0,11
540300,cap,0.02488869402365799,11.0,11
540400,cap,-0.05565263736909298,11.0,11
540500,cap,0.027981899294326918,11.096956555903486,11
540600,cap,0.08933395979847387,11.097801449877316,11
542500,cap,0.11567303999399405,11.0,11
530100,cap,0.08034855418991652,12.101374553247158,12
530300,cap,0.006239974869738376,12.02087442138583,12
530400,cap,0.06876452893994156,12.0,12
530500,cap,0.09660287034445514,12.0,12
530600,cap,-0.10010560544142948,12.0,12
530700,cap,0.1255568921911173,12.047759622969789,12
530800,cap,0.08262917149110888,12.201941855284698,12
530900,cap,0.10849925513557936,12.0,12
532300,cap,0.12632914607882698,11.943520066389944,12
532500,cap,0.024515420523514308,12.0,12
532600,cap,-0.0017884849089339241,12.0,12
532800,cap,0.07829840311272904,12.0,12
532900,cap,0.11826590699046859,12.0,12
533100,cap,0.08044132758997603,11.898939304482308,12
533300,cap,0.06944605949993195,12.104342833708063,12
533400,cap,0.1740201975128841,12.0,12
620100,cap,0.1556613643208983,13.03522509788375,13
620200,cap,0.2278610947975201,13.046946998554827,13
620300,cap,0.22053786685468924,13.0,13
620400,cap,0.15174710492283783,12.943242163917077,13
620500,cap,0.011302317769440035,13.0,13
620600,cap,0.2118891893884141,13.0,13
