context,strategy,share,before_viable,after_viable,new_viable,before_si,after_si,before_sj,after_sj,before_t,after_t,switches,before_npv_usd,after_npv_usd,private_gain_usd,direct_support_usd,admin_usd,total_public_usd,additional_discounted_mwh,new_support_usd,switch_support_usd,same_support_usd
cap,New technology,0.034,258,274,16,123,53,135,221,0,0,70,30615326.90499036,32857935.962325968,2242609.0573356096,2892890.000000001,144644.50000000006,3037534.500000001,91935.38086415475,209440.00000000003,916300.0000000001,1767150.0000000005
cap,Matched gap,0.034,258,274,16,123,148,135,126,0,0,25,30615326.90499036,30615367.90499036,41.0,178705.6052137678,8935.28026068839,187640.88547445618,283288.7595306691,100826.74077656251,77878.8644372053,0.0
cap,General,0.035,258,275,17,123,150,135,125,0,0,27,30615326.90499036,35028962.51493417,4413635.609943814,4617749.624690911,230887.48123454556,4848637.105925457,301464.1699399727,229075.00000000003,528007.432444364,3860667.1922465465
cap,New technology,0.035,258,275,17,123,51,135,224,0,0,72,30615326.90499036,32943453.561251212,2328126.6562608536,3018400.000000001,150920.00000000006,3169320.000000001,102186.67036996484,229075.00000000003,970200.0000000001,1819125.0000000005
cap,Matched gap,0.035,258,275,17,123,150,135,125,0,0,27,30615326.90499036,30615370.90499036,44.0,204158.0147470967,10207.900737354836,214365.91548445154,301464.1699399727,114210.78112842198,89947.23361867474,0.0
cap,General,0.036000000000000004,258,276,18,123,151,135,125,0,0,28,30615326.90499036,35161289.12343125,4545962.21844089,4769799.8971085325,238489.99485542663,5008289.89196396,317892.5874608565,249480.00000000003,563207.9279406548,3957111.9691678775
cap,New technology,0.036000000000000004,258,276,18,123,48,135,228,0,0,75,30615326.90499036,33030668.122079916,2415341.2170895557,3160080.000000001,158004.00000000006,3318084.000000001,110185.99739462194,249480.00000000003,1039500.0000000001,1871100.0000000005
cap,Matched gap,0.036000000000000004,258,276,18,123,151,135,125,0,0,28,30615326.90499036,30615372.90499036,46.0,223883.67866764189,11194.183933382095,235077.86260102398,317892.5874608565,127699.58399008236,96184.09467755952,0.0
cap,General,0.037,258,276,18,123,152,135,124,0,0,29,30615326.90499036,35293855.45404726,4678528.549056907,4908722.645573654,245436.13227868272,5154158.777852337,319623.8135433683,256410.0,599525.8994844472,4052786.7460892065
cap,New technology,0.037,258,276,18,123,46,135,230,0,0,77,30615326.90499036,33119114.113289144,2503787.208298784,3276350.0,163817.5,3440167.5,105710.12411737374,256410.0,1096865.0,1923075.0
cap,Matched gap,0.037,258,276,18,123,152,135,124,0,0,29,30615326.90499036,30615373.90499036,47.0,230241.09651674732,11512.054825837367,241753.1513425847,319623.8135433683,127699.58399008236,102541.51252666498,0.0
cap,General,0.038,258,276,18,123,152,135,124,0,0,29,30615326.90499036,35426523.63365736,4811196.728667004,5041390.825183751,252069.54125918756,5293460.366442939,319623.8135433683,263340.0,615729.3021732159,4162321.5230105356
cap,New technology,0.038,258,276,18,123,44,135,232,0,0,79,30615326.90499036,33207981.38174191,2592654.4767515487,3394160.0,169708.0,3563868.0,101206.28277121393,263340.0,1155770.0,1975050.0
cap,Matched gap,0.038,258,276,18,123,152,135,124,0,0,29,30615326.90499036,30615373.90499036,47.0,230241.09651674732,11512.054825837367,241753.1513425847,319623.8135433683,127699.58399008236,102541.51252666498,0.0
cap,General,0.039,258,276,18,123,152,135,124,0,0,29,30615326.90499036,35559191.81326746,4943864.908277105,5174059.004793852,258702.95023969258,5432761.955033544,319623.8135433683,270270.0,631932.704861985,4271856.299931867
cap,New technology,0.039,258,276,18,123,38,135,238,0,0,85,30615326.90499036,33298254.24876496,2682927.3437745958,3573570.0,178678.5,3752248.5,87637.03527435334,270270.0,1276275.0,2027025.0
cap,Matched gap,0.039,258,276,18,123,152,135,124,0,0,29,30615326.90499036,30615373.90499036,47.0,230241.09651674732,11512.054825837367,241753.1513425847,319623.8135433683,127699.58399008236,102541.51252666498,0.0
cap,General,0.04,258,276,18,123,154,135,122,0,0,31,30615326.90499036,35692098.05221893,5076771.1472285725,5320626.226304003,266031.3113152002,5586657.537619203,323062.5620368802,277200.0,692835.1494508056,4350591.076853197
cap,New technology,0.04,258,276,18,123,34,135,242,0,0,89,30615326.90499036,33390985.39282138,2775658.487831019,3726800.0,186340.0,3913140.0,78564.01776080608,277200.0,1370600.0,2079000.0
cap,Matched gap,0.04,258,276,18,123,154,135,122,0,0,31,30615326.90499036,30615375.90499036,49.0,243904.07907542976,12195.203953771488,256099.28302920127,323062.5620368802,127699.58399008236,116204.49508534744,0.0
cap,General,0.041,258,279,21,123,155,135,124,0,0,32,30615326.90499036,35825892.558451965,5210565.653461606,5508120.140935378,275406.0070467689,5783526.1479821475,368704.33112613484,331485.0,733064.2871608523,4443570.853774527
