context,strategy,share,adcode,city,province,before_choice,after_choice,before_npv_usd,after_npv_usd,support_usd,admin_usd,private_gain_usd,before_discounted_mwh,after_discounted_mwh,additional_discounted_mwh,new_viable,switch,support_si_usd,support_sj_usd,support_t_usd
cap,General,0.0,350800,龙岩,福建,1,1,11818.64770045115,11818.64770045115,0.0,0.0,0.0,15326.838782669201,15326.838782669201,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,350900,宁德,福建,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,360100,南昌,江西,1,1,28359.536156099693,28359.536156099693,0.0,0.0,0.0,15740.360994060416,15740.360994060416,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,360200,景德镇,江西,1,1,10334.845227951177,10334.845227951177,0.0,0.0,0.0,15289.743720856703,15289.743720856703,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,360300,萍乡,江西,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,360400,九江,江西,1,1,30926.55383443014,30926.55383443014,0.0,0.0,0.0,15804.536436018676,15804.536436018676,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,360500,新余,江西,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,360600,鹰潭,江西,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,360700,赣州,江西,1,1,4022.2961961990222,4022.2961961990222,0.0,0.0,0.0,15131.929995062897,15131.929995062897,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,360800,吉安,江西,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,360900,宜春,江西,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
