case,context,strategy,share,admin_fraction,before_viable,after_viable,after_si,after_sj,after_t,direct_support_usd,total_public_usd,private_gain_usd,additional_discounted_mwh
Discount3%,cap,Matched gap,0.1,0.1,308,330,330,0,0,478682.48837859184,526550.7372164511,22.0,375606.8496118911
Discount3%,cap,General,0.2,0.0,308,335,335,0,0,37435447.59129353,37435447.59129353,36534366.868933104,453131.19872174447
Discount3%,cap,General,0.2,0.05,308,335,335,0,0,37435447.59129353,39307219.97085821,36534366.868933104,453131.19872174447
Discount3%,cap,General,0.2,0.1,308,335,335,0,0,37435447.59129353,41178992.35042288,36534366.868933104,453131.19872174447
Discount3%,cap,New technology,0.2,0.0,308,325,132,193,0,14861000.0,14861000.0,3734440.4307847675,-52004.10190395499
Discount3%,cap,New technology,0.2,0.05,308,325,132,193,0,14861000.0,15604050.0,3734440.4307847675,-52004.10190395499
Discount3%,cap,New technology,0.2,0.1,308,325,132,193,0,14861000.0,16347100.000000002,3734440.4307847675,-52004.10190395499
Discount3%,cap,Matched gap,0.2,0.0,308,335,335,0,0,901107.7223604184,901107.7223604184,27.0,453131.19872174447
Discount3%,cap,Matched gap,0.2,0.05,308,335,335,0,0,901107.7223604184,946163.1084784394,27.0,453131.19872174447
Discount3%,cap,Matched gap,0.2,0.1,308,335,335,0,0,901107.7223604184,991218.4945964604,27.0,453131.19872174447
Discount3%,cap,General,0.3,0.0,308,337,337,0,0,56488414.201190665,56488414.201190665,55337194.898098886,482111.6761872199
Discount3%,cap,General,0.3,0.05,308,337,337,0,0,56488414.201190665,59312834.911250204,55337194.898098886,482111.6761872199
Discount3%,cap,General,0.3,0.1,308,337,337,0,0,56488414.201190665,62137255.621309735,55337194.898098886,482111.6761872199
Discount3%,cap,New technology,0.3,0.0,308,333,0,267,66,42645973.9064832,42645973.9064832,14479597.004410965,-286936.72164353135
Discount3%,cap,New technology,0.3,0.05,308,333,0,267,66,42645973.9064832,44778272.60180736,14479597.004410965,-286936.72164353135
Discount3%,cap,New technology,0.3,0.1,308,333,0,267,66,42645973.9064832,46910571.29713153,14479597.004410965,-286936.72164353135
Discount3%,cap,Matched gap,0.3,0.0,308,337,337,0,0,1151248.3030917847,1151248.3030917847,29.0,482111.6761872199
Discount3%,cap,Matched gap,0.3,0.05,308,337,337,0,0,1151248.3030917847,1208810.718246374,29.0,482111.6761872199
Discount3%,cap,Matched gap,0.3,0.1,308,337,337,0,0,1151248.3030917847,1266373.1334009634,29.0,482111.6761872199
Discount3%,area,General,0.1,0.0,337,337,55,0,282,35341870.14966571,35341870.14966571,34437232.62424472,252155.47706244094
Discount3%,area,General,0.1,0.05,337,337,55,0,282,35341870.14966571,37108963.657149,34437232.62424472,252155.47706244094
Discount3%,area,General,0.1,0.1,337,337,55,0,282,35341870.14966571,38876057.16463229,34437232.62424472,252155.47706244094
Discount3%,area,New technology,0.1,0.0,337,337,1,0,336,36873480.72745828,36873480.72745828,32611083.86071526,464237.52263575455
Discount3%,area,New technology,0.1,0.05,337,337,1,0,336,36873480.72745828,38717154.7638312,32611083.86071526,464237.52263575455
Discount3%,area,New technology,0.1,0.1,337,337,1,0,336,36873480.72745828,40560828.80020411,32611083.86071526,464237.52263575455
Discount3%,area,Matched gap,0.1,0.0,337,337,55,0,282,904693.5254209939,904693.5254209939,56.0,252155.47706244094
