sj_degradation,relative_sj_yield_change,replacement_rule,before_viable,after_viable,new_projects,switches,discounted_mwh,undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh,entry_undiscounted_mwh,switch_undiscounted_mwh,public_usd,private_npv_gain_usd,after_si,after_sj,after_t,counterexample_discounted,counterexample_physical
0.005,-0.05,salvage,333,337,4,0,45512.77499608814,80272.35098153772,45512.77499608815,0.0,80272.3509815377,0.0,27246450.0,25890393.564749077,0,337,0,False,False
0.005,-0.05,stop_option,334,337,3,0,31104.462725143014,51000.611259958154,31104.462725143014,0.0,51000.611259958154,0.0,27246450.0,25913454.56363557,0,337,0,False,False
0.005,-0.0475,full,301,330,29,220,66999.88871596556,170027.99853249814,385531.9438468199,-318532.05513085437,679975.1391499724,-509947.1406174742,26680500.0,20258711.65743783,0,330,0,False,False
0.005,-0.0475,half,330,337,7,0,82109.96045864513,144819.98879617994,82109.96045864512,0.0,144819.98879617994,0.0,27246450.0,25750675.75198547,0,337,0,False,False
0.005,-0.0475,salvage,333,337,4,0,45632.54545660417,80483.59401043649,45632.54545660417,0.0,80483.5940104365,0.0,27246450.0,25895184.383169718,0,337,0,False,False
0.005,-0.0475,stop_option,334,337,3,0,31186.31657441971,51134.823394852785,31186.31657441971,0.0,51134.823394852785,0.0,27246450.0,25916728.717606634,0,337,0,False,False
0.005,-0.045,full,301,332,31,210,112714.149959618,248550.53603885858,410963.2241875109,-298249.0742278929,724829.1095262741,-476278.5734874157,26842200.0,20722599.614354014,0,332,0,False,False
0.005,-0.045,half,330,337,7,0,82325.47216588566,145200.0937536502,82325.47216588566,0.0,145200.0937536502,0.0,27246450.0,25759296.220275093,0,337,0,False,False
0.005,-0.045,salvage,333,337,4,0,45752.3159171202,80694.83703933528,45752.3159171202,0.0,80694.83703933528,0.0,27246450.0,25899975.20159036,0,337,0,False,False
0.005,-0.045,stop_option,334,337,3,0,31268.1704236964,51269.035529747416,31268.1704236964,0.0,51269.035529747416,0.0,27246450.0,25920002.871577706,0,337,0,False,False
0.005,-0.0425,full,302,332,30,200,119455.36748228164,258406.6305579634,397894.21823284694,-278438.85075056535,701778.8816932588,-443372.2511352955,26842200.0,21168454.811476897,0,332,0,False,False
0.005,-0.0425,half,330,337,7,0,82540.98387312621,145580.19871112052,82540.9838731262,0.0,145580.19871112052,0.0,27246450.0,25767916.688564718,0,337,0,False,False
0.005,-0.0425,salvage,334,337,3,0,34104.91056380633,60151.93209394769,34104.91056380633,0.0,60151.93209394769,0.0,27246450.0,25903858.346231416,0,337,0,False,False
0.005,-0.0425,stop_option,335,337,2,0,20685.32477243357,33916.811771582084,20685.32477243357,0.0,33916.811771582084,0.0,27246450.0,25923263.693983905,0,337,0,False,False
0.005,-0.04,full,303,333,30,190,137965.77686897662,288951.2697616023,396991.32307795377,-259025.5462089772,700186.4163518389,-411235.1465902366,26923050.0,21597114.68681229,0,333,0,False,False
0.005,-0.04,half,330,337,7,0,82756.49558036674,145960.30366859082,82756.49558036674,0.0,145960.3036685908,0.0,27246450.0,25776537.15685434,0,337,0,False,False
0.005,-0.04,salvage,334,337,3,0,34193.95732768049,60308.98674693449,34193.95732768049,0.0,60308.98674693449,0.0,27246450.0,25907420.21678638,0,337,0,False,False
0.005,-0.04,stop_option,335,337,2,0,20739.333453301544,34005.36741589431,20739.333453301544,0.0,34005.36741589431,0.0,27246450.0,25925424.041218627,0,337,0,False,False
0.005,-0.0375,full,303,333,30,176,161837.188004343,328042.2792786566,398025.1546484693,-236187.9666441263,702009.8184777553,-373967.5391990986,26923050.0,22007712.032041572,0,333,0,False,False
0.005,-0.0375,half,330,337,7,0,82972.00728760727,146340.4086260611,82972.00728760728,0.0,146340.4086260611,0.0,27246450.0,25785157.62514396,0,337,0,False,False
0.005,-0.0375,salvage,334,337,3,0,34283.004091554656,60466.0413999213,34283.004091554656,0.0,60466.0413999213,0.0,27246450.0,25910982.08734135,0,337,0,False,False
0.005,-0.0375,stop_option,335,337,2,0,20793.342134169514,34093.923060206536,20793.342134169514,0.0,34093.923060206536,0.0,27246450.0,25927584.388453346,0,337,0,False,False
0.005,-0.035,full,303,333,30,162,185009.07461525768,365830.82645377703,399058.9862189847,-214049.91160372715,703833.2206036713,-338002.39414989424,26923050.0,22390328.396292787,0,333,0,False,False
0.005,-0.035,half,330,337,7,0,83187.51899484781,146720.51358353137,83187.51899484782,0.0,146720.5135835314,0.0,27246450.0,25793778.09343358,0,337,0,False,False
0.005,-0.035,salvage,334,337,3,0,34372.050855428824,60623.096052908106,34372.050855428824,0.0,60623.096052908106,0.0,27246450.0,25914543.95789631,0,337,0,False,False
0.005,-0.035,stop_option,335,337,2,0,20847.350815037487,34182.478704518755,20847.350815037487,0.0,34182.478704518755,0.0,27246450.0,25929744.735688064,0,337,0,False,False
0.005,-0.0325,full,304,333,29,149,192400.24345175189,375948.89887264586,385949.90121476864,-193549.6577630168,680712.3040567085,-304763.4051840626,26923050.0,22745554.695929173,0,333,0,False,False
0.005,-0.0325,half,330,337,7,0,83403.03070208835,147100.6185410017,83403.03070208836,0.0,147100.6185410017,0.0,27246450.0,25802398.561723202,0,337,0,False,False
0.005,-0.0325,salvage,334,337,3,0,34461.09761930299,60780.15070589492,34461.09761930299,0.0,60780.15070589492,0.0,27246450.0,25918105.828451283,0,337,0,False,False
0.005,-0.0325,stop_option,335,337,2,0,20901.35949590546,34271.03434883099,20901.35949590546,0.0,34271.03434883099,0.0,27246450.0,25931905.082922786,0,337,0,False,False
0.005,-0.03,full,304,333,29,136,213319.31274278468,409932.7800855151,386947.18778121506,-173627.87503843033,682471.2505788188,-272538.4704933037,26923050.0,23076934.017398354,0,333,0,False,False
0.005,-0.03,half,330,337,7,0,83618.54240932889,147480.72349847198,83618.5424093289,0.0,147480.72349847195,0.0,27246450.0,25811019.030012824,0,337,0,False,False
0.005,-0.03,salvage,335,337,2,0,22796.82309900534,40207.49306595057,22796.82309900534,0.0,40207.49306595057,0.0,27246450.0,25921314.206412986,0,337,0,False,False
0.005,-0.03,stop_option,335,337,2,0,20955.36817677343,34359.58999314321,20955.36817677343,0.0,34359.58999314321,0.0,27246450.0,25934065.4301575,0,337,0,False,False
0.005,-0.0275,full,304,333,29,128,228823.01511767786,435420.44713405264,387944.4743476614,-159121.4592299836,684230.1971009293,-248809.74996687652,26923050.0,23386076.912288155,0,333,0,False,False
0.005,-0.0275,half,331,337,6,0,71394.55180426963,125920.87652520619,71394.55180426962,0.0,125920.8765252062,0.0,27246450.0,25819591.2152905,0,337,0,False,False
0.005,-0.0275,salvage,335,337,2,0,22855.57779771412,40311.1206253989,22855.57779771412,0.0,40311.1206253989,0.0,27246450.0,25923664.39436134,0,337,0,False,False
0.005,-0.0275,stop_option,336,337,1,0,10326.504686690936,16931.91282080372,10326.504686690936,0.0,16931.91282080372,0.0,27246450.0,25935485.53901092,0,337,0,False,False
0.005,-0.025,full,305,333,28,120,229788.89246601862,435204.1053759641,374808.5038101571,-145019.6113441385,661061.8616707049,-225857.75629474106,26923050.0,23678669.802464608,0,333,0,False,False
