context,om,sj_cost_multiplier,sj_degradation,sj_lifetime,replacement_rule,price,rate,policy,before_viable,after_viable,new_projects,switches,discounted_mwh,undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh,entry_undiscounted_mwh,switch_undiscounted_mwh,public_usd,private_npv_gain_usd,after_si,after_sj,after_t,counterexample_discounted,counterexample_physical
cap,proportional,0.8,0.005,18.0,salvage,0.03,0.2,General,301,333,32,0,446038.46332474763,789197.1174858809,446038.4633247476,0.0,789197.117485881,0.0,21538440.0,19637574.966079164,0,333,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.03,0.2,New,301,333,32,0,446038.46332474763,789197.1174858809,446038.4633247476,0.0,789197.117485881,0.0,21538440.0,19637574.966079164,0,333,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.03,0.3,General,301,336,35,0,482644.5915308737,853966.0852723198,482644.5915308736,0.0,853966.08527232,0.0,32598720.0,29932823.287232008,0,336,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.03,0.3,New,301,336,35,0,482644.5915308737,853966.0852723198,482644.5915308736,0.0,853966.08527232,0.0,32598720.0,29932823.287232008,0,336,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.04,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.04,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.04,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.04,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.04,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138800.000000015,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.04,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138800.000000015,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.05,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999994,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.05,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999994,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.05,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.05,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.05,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138800.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.05,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138800.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.03,0.1,General,304,329,25,0,289041.97543335496,442198.6915236355,289041.975433355,0.0,442198.6915236356,0.0,10639860.0,9754311.975744538,0,329,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.03,0.1,New,304,329,25,0,289041.97543335496,442198.6915236355,289041.975433355,0.0,442198.6915236356,0.0,10639860.0,9754311.975744538,0,329,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.03,0.2,General,304,335,31,0,352192.1276538361,538810.6616001196,352192.127653836,0.0,538810.6616001196,0.0,21667800.0,19979581.19341751,0,335,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.03,0.2,New,304,335,31,0,352192.1276538361,538810.6616001196,352192.127653836,0.0,538810.6616001196,0.0,21667800.0,19979581.19341751,0,335,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.03,0.3,General,304,337,33,0,371745.0869504956,568724.2857491192,371745.0869504956,0.0,568724.2857491192,0.0,32695740.0,30344958.189336795,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.03,0.3,New,304,337,33,0,371745.0869504956,568724.2857491192,371745.0869504956,0.0,568724.2857491192,0.0,32695740.0,30344958.189336795,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.04,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.04,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.04,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.04,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.04,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138800.000000015,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.04,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138800.000000015,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.05,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999998,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.05,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999998,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.05,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.05,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.05,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138800.000000007,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,stop_option,0.05,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138800.000000007,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.03,0.1,General,268,296,28,0,436957.80073737376,770676.5836169308,436957.8007373737,0.0,770676.5836169306,0.0,9572640.0,8757424.181339713,0,296,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.03,0.1,New,268,296,28,0,436957.80073737376,770676.5836169308,436957.8007373737,0.0,770676.5836169306,0.0,9572640.0,8757424.181339713,0,296,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.03,0.2,General,268,314,46,0,697804.2248793602,1230739.8452573009,697804.2248793603,0.0,1230739.8452573009,0.0,20309520.0,18150346.29366834,0,314,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.03,0.2,New,268,314,46,0,697804.2248793602,1230739.8452573009,697804.2248793603,0.0,1230739.8452573009,0.0,20309520.0,18150346.29366834,0,314,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.03,0.3,General,268,330,62,0,916099.1825289645,1615753.711352151,916099.1825289645,0.0,1615753.711352151,0.0,32016600.0,28152732.2569956,0,330,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.03,0.3,New,268,330,62,0,916099.1825289645,1615753.711352151,916099.1825289645,0.0,1615753.711352151,0.0,32016600.0,28152732.2569956,0,330,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.04,0.1,General,335,337,2,0,23501.87948351066,41451.023779330484,23501.87948351066,0.0,41451.023779330484,0.0,10898580.0,10357667.333570322,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.04,0.1,New,335,337,2,0,23501.87948351066,41451.023779330484,23501.87948351066,0.0,41451.023779330484,0.0,10898580.0,10357667.333570322,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.04,0.2,General,335,337,2,0,23501.87948351066,41451.023779330484,23501.87948351066,0.0,41451.023779330484,0.0,21797160.0,20737267.333570324,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.04,0.2,New,335,337,2,0,23501.87948351066,41451.023779330484,23501.87948351066,0.0,41451.023779330484,0.0,21797160.0,20737267.333570324,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.04,0.3,General,335,337,2,0,23501.87948351066,41451.023779330484,23501.87948351066,0.0,41451.023779330484,0.0,32695740.0,31116867.333570313,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.04,0.3,New,335,337,2,0,23501.87948351066,41451.023779330484,23501.87948351066,0.0,41451.023779330484,0.0,32695740.0,31116867.333570313,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.05,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.05,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.05,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000007,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.05,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000007,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.05,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,full,0.05,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.03,0.1,General,308,329,21,0,289882.5540094221,511275.22153656685,289882.5540094221,0.0,511275.22153656685,0.0,10639860.0,9861438.179090772,0,329,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.03,0.1,New,308,329,21,0,289882.5540094221,511275.22153656685,289882.5540094221,0.0,511275.22153656685,0.0,10639860.0,9861438.179090772,0,329,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.03,0.2,General,308,334,26,0,353669.69952799915,623778.669933588,353669.69952799915,0.0,623778.669933588,0.0,21603120.0,20080957.677697636,0,334,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.03,0.2,New,308,334,26,0,353669.69952799915,623778.669933588,353669.69952799915,0.0,623778.669933588,0.0,21603120.0,20080957.677697636,0,334,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.03,0.3,General,308,337,29,0,389288.40507766634,686600.5311283115,389288.4050776663,0.0,686600.5311283114,0.0,32695740.0,30432741.92401737,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.03,0.3,New,308,337,29,0,389288.40507766634,686600.5311283115,389288.4050776663,0.0,686600.5311283114,0.0,32695740.0,30432741.92401737,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.04,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.04,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.04,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.04,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.04,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.04,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.05,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999994,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.05,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999994,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.05,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000007,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.05,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000007,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.05,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,half,0.05,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.03,0.1,General,325,333,8,0,105065.94123400275,185308.19339551107,105065.94123400273,0.0,185308.19339551107,0.0,10769220.0,10169522.134420546,0,333,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.03,0.1,New,325,333,8,0,105065.94123400275,185308.19339551107,105065.94123400273,0.0,185308.19339551107,0.0,10769220.0,10169522.134420546,0,333,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.03,0.2,General,325,337,12,0,152974.12544041133,269805.4049550245,152974.12544041133,0.0,269805.4049550245,0.0,21797160.0,20490139.609313034,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.03,0.2,New,325,337,12,0,152974.12544041133,269805.4049550245,152974.12544041133,0.0,269805.4049550245,0.0,21797160.0,20490139.609313034,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.03,0.3,General,325,337,12,0,152974.12544041133,269805.4049550245,152974.12544041133,0.0,269805.4049550245,0.0,32695740.0,30869739.609313026,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.03,0.3,New,325,337,12,0,152974.12544041133,269805.4049550245,152974.12544041133,0.0,269805.4049550245,0.0,32695740.0,30869739.609313026,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.04,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.04,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.04,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.04,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.04,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.04,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.05,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.99999999,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.05,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.99999999,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.05,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000007,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.05,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000007,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.05,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,salvage,0.05,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.03,0.1,General,328,334,6,0,70839.655919552,116152.64938885557,70839.65591955198,0.0,116152.64938885557,0.0,10801560.0,10204249.285330247,0,334,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.03,0.1,New,328,334,6,0,70839.655919552,116152.64938885557,70839.65591955198,0.0,116152.64938885557,0.0,10801560.0,10204249.285330247,0,334,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.03,0.2,General,328,337,9,0,103581.19563022885,169837.50334670627,103581.19563022885,0.0,169837.50334670625,0.0,21797160.0,20554425.280522395,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.03,0.2,New,328,337,9,0,103581.19563022885,169837.50334670627,103581.19563022885,0.0,169837.50334670625,0.0,21797160.0,20554425.280522395,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.03,0.3,General,328,337,9,0,103581.19563022885,169837.50334670627,103581.19563022885,0.0,169837.50334670625,0.0,32695740.0,30934025.280522387,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.03,0.3,New,328,337,9,0,103581.19563022885,169837.50334670627,103581.19563022885,0.0,169837.50334670625,0.0,32695740.0,30934025.280522387,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.04,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.04,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.04,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.04,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.04,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.04,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.05,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999994,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.05,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999994,0,337,0,False,False
cap,proportional,0.8,0.005,21.5,stop_option,0.05,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000007,0,337,0,False,False
