amplitude,context,om,policy,adcode,baseline_choice,choice_certified,viability_certified,nonviability_certified
0.01,cap,proportional,None,330400,1,False,True,False
0.01,cap,proportional,None,330500,1,True,True,False
0.01,cap,proportional,None,330600,-1,True,False,True
0.01,cap,proportional,None,330700,1,False,False,False
0.01,cap,proportional,None,330800,-1,True,False,True
0.01,cap,proportional,None,330900,1,False,True,False
0.01,cap,proportional,None,331000,-1,True,False,True
0.01,cap,proportional,None,331100,-1,True,False,True
0.01,cap,proportional,None,340100,1,False,True,False
0.01,cap,proportional,None,340200,1,True,True,False
0.01,cap,proportional,None,340300,1,False,True,False
0.01,cap,proportional,None,340400,1,False,True,False
0.01,cap,proportional,None,340500,1,False,True,False
0.01,cap,proportional,None,340600,1,False,True,False
0.01,cap,proportional,None,340700,1,True,True,False
0.01,cap,proportional,None,340800,1,True,True,False
0.01,cap,proportional,None,341000,1,False,False,False
0.01,cap,proportional,None,341100,1,False,True,False
0.01,cap,proportional,None,341200,1,False,True,False
0.01,cap,proportional,None,341300,1,False,True,False
0.01,cap,proportional,None,341500,1,True,True,False
0.01,cap,proportional,None,341600,1,False,True,False
0.01,cap,proportional,None,341700,1,True,True,False
0.01,cap,proportional,None,341800,1,True,True,False
0.01,cap,proportional,None,350100,-1,False,False,False
0.01,cap,proportional,None,350200,1,True,True,False
0.01,cap,proportional,None,350300,1,True,True,False
0.01,cap,proportional,None,350400,-1,False,False,False
0.01,cap,proportional,None,350500,1,True,True,False
0.01,cap,proportional,None,350600,1,True,True,False
0.01,cap,proportional,None,350700,1,False,False,False
0.01,cap,proportional,None,350800,1,True,True,False
0.01,cap,proportional,None,350900,-1,True,False,True
0.01,cap,proportional,None,360100,1,True,True,False
0.01,cap,proportional,None,360200,1,True,True,False
0.01,cap,proportional,None,360300,-1,False,False,False
0.01,cap,proportional,None,360400,1,True,True,False
0.01,cap,proportional,None,360500,-1,True,False,True
0.01,cap,proportional,None,360600,-1,True,False,True
0.01,cap,proportional,None,360700,1,False,False,False
0.01,cap,proportional,None,360800,-1,True,False,True
0.01,cap,proportional,None,360900,-1,False,False,False
0.01,cap,proportional,None,361000,-1,True,False,True
0.01,cap,proportional,None,361100,1,True,True,False
0.01,cap,proportional,None,370100,0,False,True,False
0.01,cap,proportional,None,370200,0,False,True,False
0.01,cap,proportional,None,370300,1,False,True,False
0.01,cap,proportional,None,370400,1,False,True,False
0.01,cap,proportional,None,370500,0,False,True,False
0.01,cap,proportional,None,370600,0,False,True,False
0.01,cap,proportional,None,370700,0,False,True,False
0.01,cap,proportional,None,370800,1,False,True,False
0.01,cap,proportional,None,370900,1,False,True,False
0.01,cap,proportional,None,371000,0,False,True,False
0.01,cap,proportional,None,371100,0,False,True,False
0.01,cap,proportional,None,371300,1,False,True,False
0.01,cap,proportional,None,371400,0,False,True,False
0.01,cap,proportional,None,371500,0,False,True,False
0.01,cap,proportional,None,371600,0,False,True,False
0.01,cap,proportional,None,371700,1,False,True,False
0.01,cap,proportional,None,410100,1,False,True,False
0.01,cap,proportional,None,410200,1,False,True,False
0.01,cap,proportional,None,410300,1,False,True,False
0.01,cap,proportional,None,410400,1,False,True,False
0.01,cap,proportional,None,410500,1,False,True,False
0.01,cap,proportional,None,410600,1,False,True,False
0.01,cap,proportional,None,410700,1,False,True,False
0.01,cap,proportional,None,410800,1,False,True,False
0.01,cap,proportional,None,410900,1,False,True,False
0.01,cap,proportional,None,411000,1,False,True,False
0.01,cap,proportional,None,411100,1,False,True,False
0.01,cap,proportional,None,411200,1,False,True,False
0.01,cap,proportional,None,411300,1,False,True,False
0.01,cap,proportional,None,411400,1,False,True,False
0.01,cap,proportional,None,411500,1,True,True,False
0.01,cap,proportional,None,411600,1,False,True,False
0.01,cap,proportional,None,411700,1,False,True,False
0.01,cap,proportional,None,420100,1,True,True,False
0.01,cap,proportional,None,420200,-1,False,False,False
0.01,cap,proportional,None,420300,-1,True,False,True
0.01,cap,proportional,None,420500,-1,True,False,True
0.01,cap,proportional,None,420600,1,True,True,False
0.01,cap,proportional,None,420700,-1,False,False,False
0.01,cap,proportional,None,420800,1,True,True,False
0.01,cap,proportional,None,420900,1,True,True,False
0.01,cap,proportional,None,421000,1,True,True,False
0.01,cap,proportional,None,421100,1,True,True,False
0.01,cap,proportional,None,421200,1,True,True,False
0.01,cap,proportional,None,421300,1,True,True,False
0.01,cap,proportional,None,422800,-1,True,False,True
0.01,cap,proportional,None,430100,-1,True,False,True
0.01,cap,proportional,None,430200,-1,True,False,True
0.01,cap,proportional,None,430300,-1,True,False,True
0.01,cap,proportional,None,430400,-1,True,False,True
0.01,cap,proportional,None,430500,-1,True,False,True
0.01,cap,proportional,None,430600,-1,False,False,False
0.01,cap,proportional,None,430700,-1,True,False,True
0.01,cap,proportional,None,430800,-1,True,False,True
0.01,cap,proportional,None,430900,-1,True,False,True
0.01,cap,proportional,None,431000,-1,True,False,True
0.01,cap,proportional,None,431100,-1,True,False,True
0.01,cap,proportional,None,431200,-1,True,False,True
0.01,cap,proportional,None,431300,-1,True,False,True
0.01,cap,proportional,None,433100,-1,True,False,True
0.01,cap,proportional,None,440100,1,True,True,False
0.01,cap,proportional,None,440200,-1,True,False,True
0.01,cap,proportional,None,440300,1,True,True,False
0.01,cap,proportional,None,440400,1,True,True,False
0.01,cap,proportional,None,440500,1,True,True,False
0.01,cap,proportional,None,440600,1,True,True,False
0.01,cap,proportional,None,440700,1,True,True,False
0.01,cap,proportional,None,440800,1,True,True,False
0.01,cap,proportional,None,440900,1,True,True,False
0.01,cap,proportional,None,441200,-1,False,False,False
0.01,cap,proportional,None,441300,1,True,True,False
0.01,cap,proportional,None,441400,1,True,True,False
0.01,cap,proportional,None,441500,1,True,True,False
0.01,cap,proportional,None,441600,1,True,True,False
0.01,cap,proportional,None,441700,1,True,True,False
0.01,cap,proportional,None,441800,-1,True,False,True
0.01,cap,proportional,None,441900,1,True,True,False
0.01,cap,proportional,None,442000,1,True,True,False
0.01,cap,proportional,None,445100,1,True,True,False
0.01,cap,proportional,None,445200,1,True,True,False
0.01,cap,proportional,None,445300,1,True,True,False
0.01,cap,proportional,None,450100,-1,True,False,True
0.01,cap,proportional,None,450200,-1,True,False,True
0.01,cap,proportional,None,450300,-1,True,False,True
0.01,cap,proportional,None,450400,-1,False,False,False
0.01,cap,proportional,None,450500,1,True,True,False
0.01,cap,proportional,None,450600,1,True,True,False
0.01,cap,proportional,None,450700,1,True,True,False
0.01,cap,proportional,None,450800,-1,True,False,True
0.01,cap,proportional,None,450900,1,True,True,False
0.01,cap,proportional,None,451000,-1,True,False,True
0.01,cap,proportional,None,451100,-1,True,False,True
0.01,cap,proportional,None,451200,-1,True,False,True
0.01,cap,proportional,None,451300,-1,True,False,True
0.01,cap,proportional,None,451400,-1,True,False,True
0.01,cap,proportional,None,460100,1,True,True,False
0.01,cap,proportional,None,460200,1,True,True,False
0.01,cap,proportional,None,460300,1,False,True,False
0.01,cap,proportional,None,460400,1,True,True,False
0.01,cap,proportional,None,500000,-1,True,False,True
0.01,cap,proportional,None,510100,-1,True,False,True
0.01,cap,proportional,None,510300,-1,True,False,True
0.01,cap,proportional,None,510400,1,True,True,False
0.01,cap,proportional,None,510500,-1,True,False,True
0.01,cap,proportional,None,510600,-1,True,False,True
0.01,cap,proportional,None,510700,-1,True,False,True
0.01,cap,proportional,None,510800,-1,True,False,True
0.01,cap,proportional,None,510900,-1,True,False,True
0.01,cap,proportional,None,511000,-1,True,False,True
0.01,cap,proportional,None,511100,-1,True,False,True
0.01,cap,proportional,None,511300,-1,True,False,True
0.01,cap,proportional,None,511400,-1,True,False,True
0.01,cap,proportional,None,511500,-1,True,False,True
0.01,cap,proportional,None,511600,-1,True,False,True
0.01,cap,proportional,None,511700,-1,True,False,True
0.01,cap,proportional,None,511800,-1,True,False,True
0.01,cap,proportional,None,511900,-1,True,False,True
0.01,cap,proportional,None,512000,-1,True,False,True
0.01,cap,proportional,None,513200,0,False,True,False
0.01,cap,proportional,None,513300,0,True,True,False
0.01,cap,proportional,None,513400,1,False,True,False
0.01,cap,proportional,None,520100,-1,True,False,True
0.01,cap,proportional,None,520200,-1,True,False,True
0.01,cap,proportional,None,520300,-1,True,False,True
0.01,cap,proportional,None,520400,-1,True,False,True
0.01,cap,proportional,None,520500,-1,True,False,True
0.01,cap,proportional,None,520600,-1,True,False,True
0.01,cap,proportional,None,522300,-1,True,False,True
0.01,cap,proportional,None,522600,-1,True,False,True
0.01,cap,proportional,None,522700,-1,True,False,True
0.01,cap,proportional,None,530100,1,False,True,False
0.01,cap,proportional,None,530300,1,True,True,False
0.01,cap,proportional,None,530400,1,False,True,False
0.01,cap,proportional,None,530500,1,False,True,False
0.01,cap,proportional,None,530600,-1,True,False,True
0.01,cap,proportional,None,530700,1,False,True,False
0.01,cap,proportional,None,530800,1,True,True,False
0.01,cap,proportional,None,530900,1,False,True,False
0.01,cap,proportional,None,532300,1,False,True,False
0.01,cap,proportional,None,532500,1,True,True,False
0.01,cap,proportional,None,532600,-1,False,False,False
0.01,cap,proportional,None,532800,1,True,True,False
0.01,cap,proportional,None,532900,1,False,True,False
0.01,cap,proportional,None,533100,1,True,True,False
0.01,cap,proportional,None,533300,1,False,True,False
0.01,cap,proportional,None,533400,0,False,True,False
0.01,cap,proportional,None,540100,0,False,True,False
0.01,cap,proportional,None,540200,0,False,True,False
0.01,cap,proportional,None,540300,1,False,True,False
0.01,cap,proportional,None,540400,-1,True,False,True
0.01,cap,proportional,None,540500,1,False,True,False
0.01,cap,proportional,None,540600,0,False,True,False
0.01,cap,proportional,None,542500,0,False,True,False
0.01,cap,proportional,None,610100,1,True,True,False
0.01,cap,proportional,None,610200,1,False,True,False
0.01,cap,proportional,None,610300,1,True,True,False
0.01,cap,proportional,None,610400,1,False,True,False
0.01,cap,proportional,None,610500,1,False,True,False
0.01,cap,proportional,None,610600,0,False,True,False
0.01,cap,proportional,None,610700,-1,True,False,True
0.01,cap,proportional,None,610800,0,False,True,False
0.01,cap,proportional,None,610900,-1,True,False,True
0.01,cap,proportional,None,611000,1,True,True,False
0.01,cap,proportional,None,620100,0,False,True,False
0.01,cap,proportional,None,620200,0,True,True,False
0.01,cap,proportional,None,620300,0,True,True,False
0.01,cap,proportional,None,620400,0,False,True,False
0.01,cap,proportional,None,620500,1,False,True,False
0.01,cap,proportional,None,620600,0,False,True,False
0.01,cap,proportional,None,620700,0,True,True,False
0.01,cap,proportional,None,620800,1,False,True,False
0.01,cap,proportional,None,620900,0,True,True,False
0.01,cap,proportional,None,621000,1,False,True,False
0.01,cap,proportional,None,621100,0,False,True,False
0.01,cap,proportional,None,621200,-1,True,False,True
0.01,cap,proportional,None,622900,0,False,True,False
0.01,cap,proportional,None,623000,0,False,True,False
0.01,cap,proportional,None,630100,0,True,True,False
0.01,cap,proportional,None,630200,0,False,True,False
0.01,cap,proportional,None,632200,0,True,True,False
0.01,cap,proportional,None,632300,0,True,True,False
0.01,cap,proportional,None,632500,0,True,True,False
0.01,cap,proportional,None,632600,0,True,True,False
0.01,cap,proportional,None,632700,0,True,True,False
0.01,cap,proportional,None,632800,0,True,True,False
0.01,cap,proportional,None,640100,0,False,True,False
0.01,cap,proportional,None,640200,0,False,True,False
0.01,cap,proportional,None,640300,0,False,True,False
0.01,cap,proportional,None,640400,0,False,True,False
0.01,cap,proportional,None,640500,0,False,True,False
0.01,cap,proportional,None,650100,0,False,True,False
0.01,cap,proportional,None,650200,0,False,True,False
0.01,cap,proportional,None,650400,0,False,True,False
0.01,cap,proportional,None,650500,0,False,True,False
0.01,cap,proportional,None,652300,0,False,True,False
0.01,cap,proportional,None,652700,0,False,True,False
0.01,cap,proportional,None,652800,0,False,True,False
0.01,cap,proportional,None,652900,0,False,True,False
0.01,cap,proportional,None,653000,0,False,True,False
0.01,cap,proportional,None,653100,0,False,True,False
0.01,cap,proportional,None,653200,0,True,True,False
0.01,cap,proportional,None,654000,0,False,True,False
0.01,cap,proportional,None,654200,0,False,True,False
0.01,cap,proportional,None,654300,0,False,True,False
0.01,cap,proportional,General20,110000,0,True,True,False
0.01,cap,proportional,General20,120000,0,True,True,False
0.01,cap,proportional,General20,130100,0,True,True,False
0.01,cap,proportional,General20,130200,0,True,True,False
0.01,cap,proportional,General20,130300,0,True,True,False
0.01,cap,proportional,General20,130400,0,True,True,False
0.01,cap,proportional,General20,130500,0,True,True,False
0.01,cap,proportional,General20,130600,0,True,True,False
0.01,cap,proportional,General20,130700,0,True,True,False
