tcell_c,airmass,predicted_advantage_pct
6.5,1.36,-0.8204180167792945
6.5,1.3800000000000001,-0.8555601508192862
6.5,1.4,-0.8907022848592776
6.5,1.42,-0.9258444188992694
6.5,1.44,-0.9609865529392612
6.5,1.46,-0.9961286869792527
6.5,1.48,-1.0312708210192447
6.5,1.5,-1.0664129550592363
6.5,1.52,-1.101555089099228
6.5,1.54,-1.1366972231392198
6.5,1.56,-1.1718393571792116
6.5,1.58,-1.2069814912192034
6.5,1.6,-1.2421236252591952
6.5,1.62,-1.277265759299187
6.5,1.6400000000000001,-1.3124078933391787
6.5,1.6600000000000001,-1.3475500273791705
6.5,1.6800000000000002,-1.3826921614191623
6.5,1.7,-1.4178342954591536
6.5,1.72,-1.4529764294991454
6.5,1.74,-1.4881185635391372
6.5,1.76,-1.523260697579129
6.5,1.78,-1.5584028316191207
6.5,1.7999999999999998,-1.593544965659112
6.5,1.8199999999999998,-1.6286870996991039
6.5,1.8399999999999999,-1.6638292337390956
6.5,1.8599999999999999,-1.6989713677790874
6.5,1.88,-1.734113501819079
6.5,1.9,-1.7692556358590708
6.5,1.92,-1.8043977698990625
6.5,1.94,-1.8395399039390543
6.5,1.96,-1.874682037979046
6.5,1.98,-1.9098241720190379
6.5,2.0,-1.9449663060590296
6.5,2.02,-1.9801084400990212
6.5,2.04,-2.015250574139013
6.5,2.06,-2.0503927081790048
6.5,2.08,-2.0855348422189968
6.5,2.1,-2.1206769762589883
6.5,2.12,-2.1558191102989803
6.5,2.1399999999999997,-2.190961244338971
6.5,2.16,-2.226103378378964
6.5,2.1799999999999997,-2.2612455124189546
6.5,2.2,-2.296387646458947
6.5,2.2199999999999998,-2.331529780498938
6.5,2.24,-2.366671914538931
6.5,2.26,-2.4018140485789217
6.5,2.28,-2.4369561826189137
6.5,2.3,-2.4720983166589052
6.5,2.32,-2.5072404506988972
6.5,2.34,-2.542382584738889
6.5,2.36,-2.5775247187788803
6.5,2.38,-2.6126668528188723
6.5,2.4,-2.6478089868588643
6.5,2.42,-2.682951120898856
6.5,2.44,-2.7180932549388475
6.5,2.46,-2.7532353889788395
6.5,2.48,-2.7883775230188315
6.5,2.5,-2.8235196570588226
6.5,2.5199999999999996,-2.8586617910988137
6.5,2.54,-2.8938039251388066
6.5,2.5599999999999996,-2.9289460591787977
6.5,2.58,-2.9640881932187897
6.5,2.5999999999999996,-2.999230327258781
6.5,2.62,-3.0343724612987737
6.5,2.6399999999999997,-3.0695145953387644
6.5,2.66,-3.104656729378757
6.5,2.6799999999999997,-3.139798863418748
6.5,2.6999999999999997,-3.17494099745874
6.5,2.7199999999999998,-3.2100831314987315
6.5,2.7399999999999998,-3.245225265538723
6.5,2.76,-3.280367399578715
6.5,2.78,-3.315509533618707
6.5,2.8,-3.3506516676586986
7.0,1.1,-0.27081461816138136
7.0,1.12,-0.3059567522013729
7.0,1.1400000000000001,-0.3410988862413647
7.0,1.1600000000000001,-0.3762410202813565
7.0,1.1800000000000002,-0.41138315432134825
7.0,1.2000000000000002,-0.44652528836134003
7.0,1.22,-0.4816674224013315
7.0,1.24,-0.5168095564413231
7.0,1.26,-0.5519516904813149
7.0,1.28,-0.5870938245213067
7.0,1.3,-0.6222359585612984
7.0,1.32,-0.6573780926012902
7.0,1.34,-0.692520226641282
7.0,1.36,-0.7276623606812738
7.0,1.3800000000000001,-0.7628044947212654
7.0,1.4,-0.7979466287612569
7.0,1.42,-0.8330887628012487
7.0,1.44,-0.8682308968412403
7.0,1.46,-0.9033730308812321
7.0,1.48,-0.938515164921224
7.0,1.5,-0.9736572989612156
7.0,1.52,-1.0087994330012073
7.0,1.54,-1.0439415670411991
7.0,1.56,-1.079083701081191
7.0,1.58,-1.1142258351211827
7.0,1.6,-1.1493679691611745
7.0,1.62,-1.1845101032011662
7.0,1.6400000000000001,-1.219652237241158
7.0,1.6600000000000001,-1.2547943712811498
7.0,1.6800000000000002,-1.2899365053211416
7.0,1.7,-1.325078639361133
7.0,1.72,-1.3602207734011247
7.0,1.74,-1.3953629074411165
7.0,1.76,-1.4305050414811082
7.0,1.78,-1.4656471755211
7.0,1.7999999999999998,-1.5007893095610914
7.0,1.8199999999999998,-1.5359314436010831
7.0,1.8399999999999999,-1.571073577641075
7.0,1.8599999999999999,-1.6062157116810667
7.0,1.88,-1.6413578457210583
7.0,1.9,-1.67649997976105
7.0,1.92,-1.7116421138010418
7.0,1.94,-1.7467842478410336
7.0,1.96,-1.7819263818810254
7.0,1.98,-1.8170685159210171
7.0,2.0,-1.852210649961009
7.0,2.02,-1.8873527840010007
7.0,2.04,-1.9224949180409925
7.0,2.06,-1.957637052080984
7.0,2.08,-1.992779186120976
7.0,2.1,-2.0279213201609676
7.0,2.12,-2.0630634542009596
7.0,2.1399999999999997,-2.0982055882409503
7.0,2.16,-2.133347722280943
7.0,2.1799999999999997,-2.168489856320934
7.0,2.2,-2.2036319903609263
7.0,2.2199999999999998,-2.2387741244009174
7.0,2.24,-2.2739162584409103
7.0,2.26,-2.309058392480901
7.0,2.28,-2.344200526520893
7.0,2.3,-2.3793426605608845
7.0,2.32,-2.4144847946008765
7.0,2.34,-2.449626928640868
7.0,2.36,-2.4847690626808596
7.0,2.38,-2.5199111967208516
7.0,2.4,-2.5550533307608436
7.0,2.42,-2.590195464800835
7.0,2.44,-2.6253375988408267
7.0,2.46,-2.6604797328808187
