province,tech,payback_yr,yield_kwh_per_kwp,embodied_kg_per_kwp,annual_offset_kg_per_kwp
江苏,晶硅,0.7172278474632336,1346.4144795014531,500.0,697.1285370032023
江苏,钙钛矿,0.21127609028976488,1414.520644950285,150.0,709.9714870446305
江苏,叠层,0.28049206055734693,1405.821490198275,200.0,713.032659828565
浙江,晶硅,0.8564095372702711,1127.598324049724,500.0,583.8328255821453
浙江,钙钛矿,0.25039680892833754,1193.5231634073407,150.0,599.0491677668678
浙江,叠层,0.3323641655768529,1186.4148046078535,200.0,601.7495888971033
安徽,晶硅,0.7336442571421367,1316.2864011066126,500.0,681.5292222796337
安徽,钙钛矿,0.21520334600795593,1388.7069929117386,150.0,697.0151848589501
安徽,叠层,0.2857778267531054,1379.819319929898,200.0,699.8443590684443
福建,晶硅,0.8180378652890424,1180.4905370547187,500.0,611.2186504023648
福建,钙钛矿,0.23769025670536442,1257.32705934895,150.0,631.0734065382271
福建,叠层,0.31593830778927223,1248.09735584367,200.0,633.0349788839094
江西,晶硅,0.745966440926617,1294.5434351263996,500.0,670.2714392606122
江西,钙钛矿,0.2164285600110984,1380.8454461089966,150.0,693.0693434928738
江西,叠层,0.28679244372441576,1374.937782323252,200.0,697.3684431943533
山东,晶硅,0.6328029409144668,1526.0453080869688,500.0,790.1353923504961
山东,钙钛矿,0.1874800670390021,1594.0595510726012,150.0,800.0850563425231
山东,叠层,0.24885073751100442,1584.5714202236468,200.0,803.6946243374337
河南,晶硅,0.6651731097417227,1451.781415669553,500.0,751.684024319839
河南,钙钛矿,0.19529815119057684,1530.2469054488042,150.0,768.0564259598456
河南,叠层,0.258843886679971,1523.39609646275,200.0,772.6665001259067
湖南,晶硅,0.8085604310636525,1194.3275008595313,500.0,618.3829690283699
湖南,钙钛矿,0.2336986458132647,1278.802410083499,150.0,641.8522429944095
湖南,叠层,0.30976497840822076,1272.9707812284098,200.0,645.6507802390494
广西,晶硅,0.8262078850731964,1168.8171662033994,500.0,605.1745680879134
广西,钙钛矿,0.23764876465953733,1257.5465810958476,150.0,631.1835881616909
广西,叠层,0.3151912944320115,1251.0553861333617,200.0,634.535291846841
重庆,晶硅,1.0677086589421987,904.4470613199696,500.0,468.29254011610294
重庆,钙钛矿,0.306688918516912,974.454482882703,150.0,489.0949458668766
重庆,叠层,0.4067119784675671,969.5356602165064,200.0,491.748486861812
贵州,晶硅,0.9748493745136239,990.6001728810274,500.0,512.8997495120333
贵州,钙钛矿,0.28719977054783435,1040.5801889367367,150.0,522.284539830497
贵州,叠层,0.38359954092227694,1027.9516122815428,200.0,521.3770577491985
陕西,晶硅,0.6817320755500847,1416.5182973779722,500.0,733.4259571057348
陕西,钙钛矿,0.19789057566252205,1510.2002230207877,150.0,757.9946619378503
陕西,叠层,0.26185099425502956,1505.901353108726,200.0,763.7931662967458
青海,晶硅,0.5519615889069195,1749.5528281932795,500.0,905.8601360108737
青海,钙钛矿,0.16594825665398616,1800.8890091710057,150.0,903.8962085197472
青海,叠层,0.22029583445176532,1789.964696985011,200.0,907.8700943107974
