province,resource_band,baseline,silicon_stc_efficiency_pct,silicon_gamma_pct_per_c,weighted_cell_temperature_c,ghi_kwh_m2,adjusted_silicon_yield_kwh_kwp,perovskite_yield_kwh_kwp,perovskite_advantage_pct
浙江,III,HJT low temperature coefficient,22.5,-0.26,34.766209310031456,1277.5606,1154.9309407118915,1193.5231634073407,3.3415177769556603
浙江,III,TOPCon central,22.0,-0.32,34.766209310031456,1277.5606,1148.2027874602722,1193.5231634073407,3.947070712771339
浙江,III,PERC high temperature coefficient,21.0,-0.37,34.766209310031456,1277.5606,1142.5959930839228,1193.5231634073407,4.457145888107217
安徽,III,HJT low temperature coefficient,22.5,-0.26,34.29345619167716,1460.78815,1346.3564521549602,1388.7069929117386,3.145566739699035
安徽,III,TOPCon central,22.0,-0.32,34.29345619167716,1460.78815,1338.890698921438,1388.7069929117386,3.7207140232156988
安徽,III,PERC high temperature coefficient,21.0,-0.37,34.29345619167716,1460.78815,1332.6692378935027,1388.7069929117386,4.204925980494045
福建,III,HJT low temperature coefficient,22.5,-0.26,35.4937365316487,1402.05355,1211.6519333808494,1257.32705934895,3.7696573339056183
福建,III,TOPCon central,22.0,-0.32,35.4937365316487,1402.05355,1204.0708122592712,1257.32705934895,4.4230162003304985
福建,III,PERC high temperature coefficient,21.0,-0.37,35.4937365316487,1402.05355,1197.7532113246227,1257.32705934895,4.973799899767584
江西,III,HJT low temperature coefficient,22.5,-0.26,37.65297231772648,1490.6787,1333.011583584107,1380.8454461089966,3.588405615821988
江西,III,TOPCon central,22.0,-0.32,37.65297231772648,1490.6787,1322.9678978707077,1380.8454461089966,4.37482635303863
江西,III,PERC high temperature coefficient,21.0,-0.37,37.65297231772648,1490.6787,1314.5981597762084,1380.8454461089966,5.039356387359151
山东,III,HJT low temperature coefficient,22.5,-0.26,32.37054491887596,1578.29725,1553.9849316962475,1594.0595510726012,2.578829341196398
山东,III,TOPCon central,22.0,-0.32,32.37054491887596,1578.29725,1547.1429596880655,1594.0595510726012,3.032466462827399
山东,III,PERC high temperature coefficient,21.0,-0.37,32.37054491887596,1578.29725,1541.4413163479137,1594.0595510726012,3.413573657760405
河南,III,HJT low temperature coefficient,22.5,-0.26,35.1688591922174,1573.1471500000002,1486.2655630766285,1530.2469054488042,2.959184648074098
河南,III,TOPCon central,22.0,-0.32,35.1688591922174,1573.1471500000002,1477.2523802091994,1530.2469054488042,3.587371118813154
河南,III,PERC high temperature coefficient,21.0,-0.37,35.1688591922174,1573.1471500000002,1469.7413944863417,1530.2469054488042,4.116745380476172
湖南,IV,HJT low temperature coefficient,22.5,-0.26,37.53326094929651,1378.8664,1230.8265852073746,1278.802410083499,3.8978541293078317
湖南,IV,TOPCon central,22.0,-0.32,37.53326094929651,1378.8664,1221.6399061693182,1278.802410083499,4.6791614800325565
湖南,IV,PERC high temperature coefficient,21.0,-0.37,37.53326094929651,1378.8664,1213.9843403042712,1278.802410083499,5.3392838463617975
广西,III,HJT low temperature coefficient,22.5,-0.26,38.24885628618289,1417.4268499999998,1206.7951615980103,1257.5465810958476,4.2054709127797185
广西,III,TOPCon central,22.0,-0.32,38.24885628618289,1417.4268499999998,1197.2776260764806,1257.5465810958476,5.033832897794177
广西,III,PERC high temperature coefficient,21.0,-0.37,38.24885628618289,1417.4268499999998,1189.3463464752058,1257.5465810958476,5.734261918133665
重庆,IV,HJT low temperature coefficient,22.5,-0.26,37.69655381200447,1123.5500499999998,933.7814892883775,974.454482882703,4.3557292643830126
重庆,IV,TOPCon central,22.0,-0.32,37.69655381200447,1123.5500499999998,926.721785477534,974.454482882703,5.150704143700757
重庆,IV,PERC high temperature coefficient,21.0,-0.37,37.69655381200447,1123.5500499999998,920.8386989684979,974.454482882703,5.8224946425757595
贵州,IV,HJT low temperature coefficient,22.5,-0.26,30.272946987176542,1193.90675,1007.2719861440594,1040.5801889367367,3.306773468423807
贵州,IV,TOPCon central,22.0,-0.32,30.272946987176542,1193.90675,1004.0952614937004,1040.5801889367367,3.633612152372967
贵州,IV,PERC high temperature coefficient,21.0,-0.37,30.272946987176542,1193.90675,1001.4479909517346,1040.5801889367367,3.9075616845376526
陕西,III,HJT low temperature coefficient,22.5,-0.26,38.214994127570186,1581.39175,1459.7472314878828,1510.2002230207877,3.4562827347498715
陕西,III,TOPCon central,22.0,-0.32,38.214994127570186,1581.39175,1448.263951717611,1510.2002230207877,4.2765872360298385
陕西,III,PERC high temperature coefficient,21.0,-0.37,38.214994127570186,1581.39175,1438.6945519090511,1510.2002230207877,4.9701773748189515
青海,II,HJT low temperature coefficient,22.5,-0.26,31.30778769958957,1754.84207,1772.2290649339714,1800.8890091710057,1.61716929284772
青海,II,TOPCon central,22.0,-0.32,31.30778769958957,1754.84207,1765.5470473649225,1800.8890091710057,2.0017570111672267
青海,II,PERC high temperature coefficient,21.0,-0.37,31.30778769958957,1754.84207,1759.9786993907148,1800.8890091710057,2.324477551600679
