province,city,key,lat,lon,alt,region,res_band,tech,code,kwp,yield_kwh_per_kwp,yield_kwh_per_m2,PR,tcell_weighted,spectral_factor_w,ghi_kwh_m2,tair_mean,pv_2024_gw
广东,广州,guangzhou,23.13,113.26,20,华南,III,叠层,tandem,8.267993754733086,1309.3897096859848,370.7136869314147,0.825344639646188,38.331950945967364,0.9873338549394772,1501.0451,22.345302511415525,41.19807536189994
海南,海口,haikou,20.04,110.32,15,华南,III,晶硅,c-Si,6.424718594113602,1451.4026015189258,319.30929766338954,0.8166666504624978,38.498787366548335,0.9867110357879448,1728.62315,24.83345319634703,7.415753669808158
海南,海口,haikou,20.04,110.32,15,华南,III,钙钛矿,perovskite,5.632816774063653,1523.865043386759,293.9284933773755,0.8574393896201966,38.498787366548335,1.0048245049505584,1728.62315,24.83345319634703,7.415753669808158
海南,海口,haikou,20.04,110.32,15,华南,III,叠层,tandem,8.267993754733086,1467.5615018045542,415.49519681427927,0.8257588451144924,38.498787366548335,0.9867110357879451,1728.62315,24.83345319634703,7.415753669808158
四川,成都,chengdu,30.67,104.07,500,西南,IV,晶硅,c-Si,6.424718594113602,1119.3176782643618,246.25044859005558,0.8143070589158184,37.887417156529544,0.9882062271106241,1292.36204,17.766804794520546,10.83432801948349
四川,成都,chengdu,30.67,104.07,500,西南,IV,钙钛矿,perovskite,5.632816774063653,1172.2417322689364,226.10614223036853,0.8528094712329306,37.887417156529544,1.0050541905805506,1292.36204,17.766804794520546,10.83432801948349
四川,成都,chengdu,30.67,104.07,500,西南,IV,叠层,tandem,8.267993754733086,1134.0540173963734,321.0727431707204,0.8250277910286015,37.887417156529544,0.9882062271106243,1292.36204,17.766804794520546,10.83432801948349
云南,昆明,kunming,25.04,102.71,1890,西南,II,晶硅,c-Si,6.424718594113602,1448.8245683317245,318.7421290738495,0.8347810461916619,31.096594577412027,0.9875799055666822,1628.3760499999999,15.410255707762557,37.26896721476211
云南,昆明,kunming,25.04,102.71,1890,西南,II,钙钛矿,perovskite,5.632816774063653,1496.0244240414224,288.5584959918584,0.8619765713026191,31.096594577412027,1.0048991162802619,1628.3760499999999,15.410255707762557,37.26896721476211
云南,昆明,kunming,25.04,102.71,1890,西南,II,叠层,tandem,8.267993754733086,1461.95286520466,413.907282737038,0.8423452838763686,31.096594577412027,0.9875799055666825,1628.3760499999999,15.410255707762557,37.26896721476211
西藏,拉萨,lhasa,29.65,91.14,3650,西部,I,晶硅,c-Si,6.424718594113602,2012.0824272729503,442.65913952545446,0.8299178624547453,28.54348134174263,0.9890674820898314,2132.1637800000003,3.054405251141553,4.043227466570619
西藏,拉萨,lhasa,29.65,91.14,3650,西部,I,钙钛矿,perovskite,5.632816774063653,2042.6524443007595,393.99404694826046,0.8425269896172494,28.54348134174263,1.0047602906655648,2132.1637800000003,3.054405251141553,4.043227466570619
西藏,拉萨,lhasa,29.65,91.14,3650,西部,I,叠层,tandem,8.267993754733086,2020.936490979264,572.1664162190701,0.8335698726932826,28.54348134174263,0.9890674820898319,2132.1637800000003,3.054405251141553,4.043227466570619
宁夏,银川,yinchuan,38.49,106.23,1110,西北,II,晶硅,c-Si,6.424718594113602,1780.0536948658525,391.6127024410086,0.8294614035055508,33.21632458703616,0.9909482271343615,1779.0692,10.49574086757991,26.267464402776195
宁夏,银川,yinchuan,38.49,106.23,1110,西北,II,钙钛矿,perovskite,5.632816774063653,1824.1840721127053,351.8550926054743,0.8500250779351373,33.21632458703616,1.004018197509868,1779.0692,10.49574086757991,26.267464402776195
宁夏,银川,yinchuan,38.49,106.23,1110,西北,II,叠层,tandem,8.267993754733086,1792.1543176999153,507.39373446269013,0.8350999972334716,33.21632458703616,0.9909482271343615,1779.0692,10.49574086757991,26.267464402776195
新疆,乌鲁木齐,urumqi,43.83,87.62,900,西北,II,晶硅,c-Si,6.424718594113602,1750.2869148934694,385.0639959713252,0.8389438999706365,30.286996465343343,0.9921388474906245,1657.52409,7.7983150684931495,56.807395957650286
新疆,乌鲁木齐,urumqi,43.83,87.62,900,西北,II,钙钛矿,perovskite,5.632816774063653,1784.2224274840935,344.14714888070387,0.8552097996000201,30.286996465343343,1.0034433723759018,1657.52409,7.7983150684931495,56.807395957650286
新疆,乌鲁木齐,urumqi,43.83,87.62,900,西北,II,叠层,tandem,8.267993754733086,1761.4133042014507,498.69035580489,0.8442769778558685,30.286996465343343,0.9921388474906246,1657.52409,7.7983150684931495,56.807395957650286
甘肃,敦煌,dunhuang,40.14,94.66,1140,西北,I,晶硅,c-Si,6.424718594113602,1979.1201416248214,435.40742021017337,0.8249108562244674,32.18432646905635,0.991343344540335,1935.1824,11.391621004566211,31.420852617162318
甘肃,敦煌,dunhuang,40.14,94.66,1140,西北,I,钙钛矿,perovskite,5.632816774063653,2015.4475746515498,388.74667521857725,0.8400523795975322,32.18432646905635,1.0037434264529903,1935.1824,11.391621004566211,31.420852617162318
甘肃,敦煌,dunhuang,40.14,94.66,1140,西北,I,叠层,tandem,8.267993754733086,1989.6838880683476,563.3181966511253,0.829313898233081,32.18432646905635,0.991343344540335,1935.1824,11.391621004566211,31.420852617162318
天津,天津,tianjin,39.13,117.2,5,华北,III,晶硅,c-Si,6.424718594113602,1639.983120345812,360.7971060472203,0.8395937536911935,30.925858833411038,0.9910332061459711,1603.6684499999997,13.41472602739726,7.248578877305732
天津,天津,tianjin,39.13,117.2,5,华北,III,钙钛矿,perovskite,5.632816774063653,1683.4584700500504,324.71143944969924,0.8618510754882142,30.925858833411038,1.0037095770284163,1603.6684499999997,13.41472602739726,7.248578877305732
天津,天津,tianjin,39.13,117.2,5,华北,III,叠层,tandem,8.267993754733086,1652.496934116356,467.8540136351359,0.8460002341886197,30.925858833411038,0.9910332061459712,1603.6684499999997,13.41472602739726,7.248578877305732
河北,石家庄,shijiazhuang,38.04,114.51,80,华北,III,晶硅,c-Si,6.424718594113602,1639.2441839656499,360.6345396743058,0.8275854491730156,35.49158921350771,0.990565489032362,1644.4605,14.065100456621005,72.09938476164454
河北,石家庄,shijiazhuang,38.04,114.51,80,华北,III,钙钛矿,perovskite,5.632816774063653,1693.740055759033,326.6945881609888,0.8550981229877834,35.49158921350771,1.0035975464713205,1644.4605,14.065100456621005,72.09938476164454
河北,石家庄,shijiazhuang,38.04,114.51,80,华北,III,叠层,tandem,8.267993754733086,1653.108543593718,468.02717217047325,0.8345849812759957,35.49158921350771,0.9905654890323621,1644.4605,14.065100456621005,72.09938476164454
山西,太原,taiyuan,37.87,112.55,780,华北,II,晶硅,c-Si,6.424718594113602,1574.1464931071537,346.31301515327937,0.8379252158691783,30.92077555270724,0.9908098455678594,1564.364,10.492539954337898,34.80439033367846
山西,太原,taiyuan,37.87,112.55,780,华北,II,钙钛矿,perovskite,5.632816774063653,1614.6774395697826,311.444710384849,0.8595000198742644,30.92077555270724,1.0038180220303483,1564.364,10.492539954337898,34.80439033367846
山西,太原,taiyuan,37.87,112.55,780,华北,II,叠层,tandem,8.267993754733086,1586.325840996378,449.11969052466037,0.8444083372012217,30.92077555270724,0.9908098455678597,1564.364,10.492539954337898,34.80439033367846
内蒙古,呼和浩特,hohhot,40.84,111.75,1064,华北,II,晶硅,c-Si,6.424718594113602,1761.3345068283472,387.4944717179622,0.8454232499467488,27.725475322458664,0.991543003099035,1685.8092,7.700042237442922,48.1593538473003
内蒙古,呼和浩特,hohhot,40.84,111.75,1064,华北,II,钙钛矿,perovskite,5.632816774063653,1794.503149312027,346.13013096355326,0.8613438723022201,27.725475322458664,1.003688140766611,1685.8092,7.700042237442922,48.1593538473003
内蒙古,呼和浩特,hohhot,40.84,111.75,1064,华北,II,叠层,tandem,8.267993754733086,1771.9515215539416,501.67393004526133,0.8505193126533197,27.725475322458664,0.9915430030990352,1685.8092,7.700042237442922,48.1593538473003
辽宁,沈阳,shenyang,41.8,123.43,50,东北,III,晶硅,c-Si,6.424718594113602,1617.9671827629418,355.95358877666393,0.8487479321390858,27.21575182044947,0.9919295015371301,1523.0938399999998,9.409913242009132,12.151705426269062
辽宁,沈阳,shenyang,41.8,123.43,50,东北,III,钙钛矿,perovskite,5.632816774063653,1648.4781972235069,317.964320382656,0.8647533002990558,27.21575182044947,1.0035973723684881,1523.0938399999998,9.409913242009132,12.151705426269062
辽宁,沈阳,shenyang,41.8,123.43,50,东北,III,叠层,tandem,8.267993754733086,1628.7968828322985,461.1440682865631,0.8544289407760204,27.21575182044947,0.9919295015371303,1523.0938399999998,9.409913242009132,12.151705426269062
吉林,长春,changchun,43.82,125.32,220,东北,III,晶硅,c-Si,6.424718594113602,1663.6563969934302,366.00523874026584,0.8557163145030326,22.445653512055554,0.9923932801560127,1525.0411,5.7438801369862995,5.836102037659497
