adcode,city,city_fullname,province,province_fullname,province_code,admin_type,altitude_m,lat,lon,anchor_lat,anchor_lon,ghi_kwh_m2,tair_mean,csi_yield_kwh_per_kwp,perovskite_yield_kwh_per_kwp,tandem_yield_kwh_per_kwp,csi_PR,perovskite_PR,tandem_PR,perovskite_advantage_pct,tandem_advantage_pct,csi_yield_kwh_per_m2,perovskite_yield_kwh_per_m2,tandem_yield_kwh_per_m2,land_grid_cell_count,land_grid_area_weight_sum,aggregation_method
410900,濮阳,濮阳市,河南,河南省,410000,prefecture_level_city,56.0,35.80417137915831,115.27418611705373,35.762735,115.023356,1616.6649345366277,15.204895763590294,1549.2530814397096,1600.7680478179293,1538.337351291366,0.830154057230499,0.858116699688572,0.8243037153710021,3.3251485503160705,-0.7045801799018925,340.83645214611744,308.7618175793735,435.5332159883044,43,34.87349973167028,area mean of anchor-constrained 0.1 degree land-cell surfaces
411000,许昌,许昌市,河南,河南省,410000,prefecture_level_city,71.0,34.05769299829354,113.72011775811005,34.038877,113.846131,1593.816179827857,16.25892951375338,1505.9879664181924,1562.020568015182,1496.2180773564664,0.826615749507981,0.857290244726156,0.8212541442434603,3.7206540056396564,-0.6487361970735073,331.3181052199174,301.2880662717905,423.6084305590486,50,41.42338980411892,area mean of anchor-constrained 0.1 degree land-cell surfaces
411100,漯河,漯河市,河南,河南省,410000,prefecture_level_city,66.0,33.65578526709834,113.89192034236437,33.581868,114.010675,1576.840092902581,16.398522626864793,1483.5388340037027,1539.1715522335521,1473.4540643623416,0.8273870470861959,0.8583938416730247,0.8217621829032216,3.7500008058239054,-0.6797779343695964,326.3792848699184,296.88086708246846,417.16349585093144,25,20.80944066034629,area mean of anchor-constrained 0.1 degree land-cell surfaces
411200,三门峡,三门峡市,河南,河南省,410000,prefecture_level_city,368.0,34.35647180845494,111.09216803658096,34.774183,111.194488,1576.5199292120901,14.395241154988613,1496.5184899076849,1542.8204047247548,1486.565576758375,0.8272960733204683,0.8564084177980078,0.8217922999479853,3.093975458995235,-0.6650711779661145,329.23481565529505,297.5846706902419,420.87561995395816,100,82.55112891269731,area mean of anchor-constrained 0.1 degree land-cell surfaces
411300,南阳,南阳市,河南,河南省,410000,prefecture_level_city,124.0,33.03689630048198,112.29127881605838,33.018151,112.579017,1504.03528908879,15.930512128286223,1394.6053912551006,1447.4839471970997,1385.6313364499865,0.8253289171433529,0.8573482489215434,0.8200154267894068,3.7916500447779056,-0.6434834442334725,306.8138830213031,279.19583668774965,392.2991739306291,255,213.76338437447092,area mean of anchor-constrained 0.1 degree land-cell surfaces
411400,商丘,商丘市,河南,河南省,410000,prefecture_level_city,66.0,34.29071627106864,115.68361725307214,34.416531,115.650849,1545.275884875927,15.635310184027244,1455.8246842484,1507.006344316125,1445.1313942808843,0.8297334506273337,0.8586240387362504,0.8236379390283238,3.515647221914553,-0.734517698677184,320.2821580737816,290.6767277176547,409.1447972373941,105,86.74838133462218,area mean of anchor-constrained 0.1 degree land-cell surfaces
411500,信阳,信阳市,河南,河南省,410000,prefecture_level_city,101.0,32.07731919779905,114.89202673209792,32.150569,114.085171,1455.704493781449,16.547478839946468,1331.79222844412,1382.5406124130516,1322.6339782422547,0.8252952995872077,0.8571240154859621,0.8196188227738241,3.810533121087434,-0.6876635864262792,292.9949558124085,266.66933597771725,374.4633968847502,183,155.05862131248,area mean of anchor-constrained 0.1 degree land-cell surfaces
411600,周口,周口市,河南,河南省,410000,prefecture_level_city,47.0,33.71987213450419,114.8680728730833,33.636199,114.695739,1582.2778929111976,16.203579975604,1484.113391480119,1537.970526720212,1473.7600440057547,0.8280228961372701,0.8580589585200561,0.8222461306624295,3.6289097281428706,-0.6976116200958726,326.5056878018614,296.64920902247434,417.2501246375307,115,95.65022849476496,area mean of anchor-constrained 0.1 degree land-cell surfaces
411700,驻马店,驻马店市,河南,河南省,410000,prefecture_level_city,78.0,32.92173529289886,114.13886585863226,33.015849,114.016105,1515.2738200383887,16.41096269731927,1408.665166117385,1460.5759789517147,1398.6358309146271,0.8274455414844695,0.8584244236376075,0.8215532164196883,3.6851065876363,-0.7119743885199648,309.90704051728886,281.72107419850084,395.98099917639354,142,119.19439047673417,area mean of anchor-constrained 0.1 degree land-cell surfaces
420100,武汉,武汉市,湖北,湖北省,420000,prefecture_level_city,30.0,30.638454657111605,114.34665330528777,30.59,114.3,1484.5137491253336,17.869762580865817,1335.5566306045075,1391.491785958401,1327.2355258932598,0.8214534398664786,0.8557371379213956,0.8163384328540914,4.188153019657115,-0.6230439444174896,293.82312616892983,268.3958700730835,375.7661844984575,81,69.69057857352598,area mean of anchor-constrained 0.1 degree land-cell surfaces
