adcode,city,city_fullname,province,province_fullname,province_code,admin_type,lat,lon,altitude_m,ghi_kwh_m2,tair_mean,csi_yield_kwh_per_kwp,perovskite_yield_kwh_per_kwp,tandem_yield_kwh_per_kwp,perovskite_advantage_pct,tandem_advantage_pct,csi_yield_kwh_per_m2,perovskite_yield_kwh_per_m2,tandem_yield_kwh_per_m2,csi_PR,perovskite_PR,tandem_PR
210400,抚顺,抚顺市,辽宁,辽宁省,210000,prefecture_level_city,41.879155,123.951278,90.0,1459.35415,7.245818493150685,1553.6142063321038,1577.6817035401396,1537.6223840516643,1.5491295786266068,-1.0293303327982728,341.7959018018886,304.3088416281167,435.33079486073296,0.8495971585481134,0.8627585194303534,0.8408519972885854
210500,本溪,本溪市,辽宁,辽宁省,210000,prefecture_level_city,41.484703,123.679153,111.0,1552.5224500000002,8.75142808219178,1636.6125488884445,1667.7032569171026,1620.9354213710717,1.899698743589262,-0.9579009722258558,360.0555786421777,321.6725180707334,458.918335686557,0.8456708697483949,0.8617360686359056,0.8375701802652441
210600,丹东,丹东市,辽宁,辽宁省,210000,prefecture_level_city,39.999101,124.348648,4.0,1551.4392,10.145687214611872,1614.8177388572926,1644.6206723021662,1596.424804474598,1.845591160397042,-1.1390099291149869,355.2607095435065,317.22026729657995,451.9789034522573,0.8505440226626402,0.8662415879601874,0.8408562417930188
210700,锦州,锦州市,辽宁,辽宁省,210000,prefecture_level_city,41.094064,121.121216,24.0,1546.996,10.717937214611872,1643.5574848383935,1671.800801586233,1625.3069651501312,1.7184258541840247,-1.1104278284526758,361.5834680218542,322.4628670169021,460.1560047318605,0.8520540523204962,0.8666959694471943,0.8425926070100707
210800,营口,营口市,辽宁,辽宁省,210000,prefecture_level_city,40.623476,122.21396,1.0,1572.38495,10.26839383561644,1647.041848655132,1676.7982947061362,1629.0123873097546,1.806659987133985,-1.0946571491246115,362.3500298028253,323.42680121158133,461.2050817944569,0.8506281941348973,0.8659961533576128,0.8413167317953301
210900,阜新,阜新市,辽宁,辽宁省,210000,prefecture_level_city,42.019918,121.664643,141.0,1536.36185,8.38983219178082,1641.3197211875963,1669.973852283095,1625.0854332709505,1.7457982576828845,-0.9890996682169417,361.09115890037066,322.1104785567306,460.09328474934,0.8486628621121923,0.8634788035725486,0.8402687405587599
211000,辽阳,辽阳市,辽宁,辽宁省,210000,prefecture_level_city,41.265329,123.233933,29.0,1525.65233,9.170280821917808,1601.2298327593835,1631.8335425856862,1585.668459750003,1.911262780656764,-0.9718388135801725,352.27136341149685,314.75384037216355,448.933573111517,0.8457633851765676,0.86192814596987,0.837543928328372
211100,盘锦,盘锦市,辽宁,辽宁省,210000,prefecture_level_city,40.717867,122.165414,2.0,1570.9125,10.214175799086757,1661.1502293869803,1687.563657225291,1642.5556277781309,1.5900685784487,-1.1193810938888715,365.4538806144056,325.5032625095477,465.0394365093985,0.8513852358676101,0.8649228449846921,0.8418549905011466
211200,铁岭,铁岭市,辽宁,辽宁省,210000,prefecture_level_city,42.221482,123.719997,57.0,1487.14905,7.893302511415525,1613.2141668111071,1637.093613173245,1595.971863140907,1.4802403086591642,-1.0688167773956203,354.9079228919708,315.76842143993565,451.8506669535786,0.8527002882600448,0.8653223016389229,0.8435864845182208
211300,朝阳,朝阳市,辽宁,辽宁省,210000,prefecture_level_city,41.599658,120.483268,163.0,1586.28685,9.17324200913242,1706.800871907658,1737.9075235504931,1690.3204647772857,1.8225120548519547,-0.9655729266151769,375.497044782573,335.2137659717647,478.562590615964,0.8471054300965226,0.8625440286773371,0.8389260094036234
211400,葫芦岛,葫芦岛市,辽宁,辽宁省,210000,prefecture_level_city,40.709525,120.831608,23.0,1638.00433,10.884205479452056,1722.9144708882814,1752.9167876383508,1702.7249296529103,1.7413700596873527,-1.1718249266872705,379.0420446109789,338.1088060536885,482.0745358179444,0.8527038505000754,0.867552580050485,0.8427116542290933
220100,长春,长春市,吉林,吉林省,220000,prefecture_level_city,43.82,125.32,220.0,1525.0411,5.7438801369863,1663.6563969934302,1682.2455617360256,1644.408465403351,1.1173680320160972,-1.156965562412049,366.0052387402658,324.4774893929712,465.56401086816254,0.8557163145030326,0.8652778150460358,0.845815971432291
