elapsed_days,ambient_temperature_c,tandem_cell_temperature_c,irradiance_suns,jsc_a,voc_v,fill_factor,power_density_w_m2,pce_pct,day_cluster,model_lumped_power_w,model_matched_power_w,measured_relative_efficiency,model_relative_efficiency,sensitivity_relative_efficiency
4.01389,35.1,47.8,0.84587,0.02115,1.67659,0.66153,20.0912,23.75215,4,5.459181677057619,5.410295835365176,1.0401305147107123,1.0140358662913758,1.0135957060854122
4.02083,35.1,47.8,0.67735,0.01803,1.66578,0.67473,17.35521,25.62223,4,4.391053848984498,4.351219048200531,1.1220231969710637,1.018435988069376,1.0040671836350423
4.02778,35.9,47.4,0.7339,0.01892,1.67171,0.68285,18.49498,25.20085,4,4.757726924041343,4.715500348644753,1.1035705433675458,1.0186542914298804,1.0092875764666207
4.03472,35.5,46.6,0.5292,0.01441,1.65035,0.65821,13.40368,25.32811,4,3.450895573533752,3.42089194104005,1.1091433866386637,1.0248385326043619,0.9950353204762421
4.04167,35.4,45.1,0.36709,0.01096,1.62468,0.63561,9.69494,26.40996,4,2.4023227915950787,2.382640717273225,1.156518685183839,1.0290155338255838,0.9766893462934614
4.04861,35.3,44.0,0.55256,0.01545,1.66776,0.68751,15.16928,27.45253,4,3.6330994379894124,3.605341773817711,1.2021738730603868,1.0344343252658625,1.0070454460982876
4.07639,33.0,34.9,0.31966,0.01016,1.63978,0.6509,9.28822,29.05675,4,2.1589776952428483,2.1502144057447663,1.2724242787840463,1.066422740856806,1.0035492557004593
4.08333,33.3,37.9,0.26011,0.00832,1.62245,0.63705,7.36906,28.33011,4,1.7349439229841201,1.7257354261620501,1.2406039830546327,1.051848255278227,0.9772629840564231
4.09028,33.9,37.7,0.26496,0.00833,1.62555,0.63855,7.40231,27.93779,4,1.768966262833547,1.759725708002097,1.2234238960506643,1.0529326412601074,0.9793916341171207
4.79167,26.6,29.7,0.22379,0.00514,1.54438,0.6217,4.22622,18.88485,4,1.5286779954455487,1.525708789272071,0.8269865570373458,1.080853659650244,0.9948913171016585
4.79861,27.4,31.4,0.27237,0.00619,1.56199,0.63756,5.27738,19.37612,4,1.8563203120487055,1.8514302990318023,0.8484997639664841,1.0776656036252161,1.0041128329584905
4.80556,27.4,33.0,0.31638,0.00725,1.57629,0.65201,6.37951,20.16394,4,2.1494986136419745,2.1424454067866963,0.8829991933696915,1.073585576055404,1.0096439532171975
4.8125,27.9,35.5,0.25755,0.00836,1.58677,0.66077,7.51039,29.16092,4,1.730995410472039,1.7235111992130472,1.2769859877542833,1.06093427729601,0.9851004528821455
4.84028,29.5,42.4,0.51453,0.01203,1.62047,0.67928,11.33833,22.03628,4,3.4013190719529747,3.3774443945306722,0.9649908433008959,1.0406709499453042,1.0086477319499716
4.84722,29.6,44.6,0.55769,0.01302,1.62422,0.68225,12.36157,22.16559,4,3.6595788328029535,3.6307504907198047,0.9706534581318582,1.0321420530851455,1.005389745976813
4.85417,30.4,46.2,0.58533,0.01372,1.62887,0.68456,13.09981,22.38029,4,3.820017487140164,3.787553086404991,0.9800553868628736,1.0258736396315595,1.0022852528542756
4.86111,30.1,45.4,0.61652,0.01453,1.63613,0.68605,13.96458,22.65051,4,4.0322746176367055,3.999367323569937,0.991888592180503,1.0284425812944773,1.008034498691634
4.86806,31.0,47.5,0.65442,0.01518,1.63499,0.68693,14.60286,22.31434,4,4.248438858437295,4.210334506832031,0.9771673700961738,1.0199901163374137,1.003454515740411
