context,policy,technology,adcode,city,status,max_degradation_fraction,baseline_margin_usd_per_unit,lifetime_years,burn_in,central_degradation
cap,No subsidy,SJ,410200,开封,interior boundary,0.01584866073442654,4.2663449020758435,21.5,0.0675,0.01505
cap,No subsidy,SJ,410300,洛阳,interior boundary,0.01690143966302387,9.42868004571369,21.5,0.0675,0.01505
cap,No subsidy,SJ,410400,平顶山,interior boundary,0.017486368071110547,12.081898235270273,21.5,0.0675,0.01505
cap,No subsidy,SJ,410500,安阳,interior boundary,0.015468104612400422,2.282638376553109,21.5,0.0675,0.01505
cap,No subsidy,SJ,410600,鹤壁,interior boundary,0.015555924146917019,2.739945961352987,21.5,0.0675,0.01505
cap,No subsidy,SJ,410700,新乡,interior boundary,0.015698978042198778,3.468721149314888,21.5,0.0675,0.01505
cap,No subsidy,SJ,410800,焦作,interior boundary,0.01614076229068431,5.713086908808577,21.5,0.0675,0.01505
cap,No subsidy,SJ,410900,濮阳,interior boundary,0.015557277529376991,2.7584478469125315,21.5,0.0675,0.01505
cap,No subsidy,SJ,411000,许昌,interior boundary,0.016398141851946244,7.115310040829854,21.5,0.0675,0.01505
cap,No subsidy,SJ,411100,漯河,interior boundary,0.016668837417672226,8.406992800148487,21.5,0.0675,0.01505
cap,No subsidy,SJ,411200,三门峡,interior boundary,0.016240111516403744,6.23586105888478,21.5,0.0675,0.01505
cap,No subsidy,SJ,411300,南阳,interior boundary,0.01779295690739317,13.32402794273753,21.5,0.0675,0.01505
cap,No subsidy,SJ,411400,商丘,interior boundary,0.016601674688805447,7.890482023118466,21.5,0.0675,0.01505
cap,No subsidy,SJ,411500,信阳,interior boundary,0.01850150232549694,15.942333791528654,21.5,0.0675,0.01505
cap,No subsidy,SJ,411600,周口,interior boundary,0.016507002031521976,7.567696905547905,21.5,0.0675,0.01505
cap,No subsidy,SJ,411700,驻马店,interior boundary,0.017453504333112588,11.799653908639698,21.5,0.0675,0.01505
cap,No subsidy,SJ,420100,武汉,interior boundary,0.018943226088710928,17.949907018873546,21.5,0.0675,0.01505
cap,No subsidy,SJ,420200,黄石,interior boundary,0.014777786081356936,-1.211605488445798,21.5,0.0675,0.01505
cap,No subsidy,SJ,420300,十堰,interior boundary,0.012313393095787006,-12.128055324781258,21.5,0.0675,0.01505
cap,No subsidy,SJ,420500,宜昌,interior boundary,0.011539654227085094,-15.535817363434262,21.5,0.0675,0.01505
cap,No subsidy,SJ,420600,襄阳,interior boundary,0.018542446473217216,16.24688306679718,21.5,0.0675,0.01505
cap,No subsidy,SJ,420700,鄂州,interior boundary,0.014958468701104975,-0.40752711027141686,21.5,0.0675,0.01505
cap,No subsidy,SJ,420800,荆门,interior boundary,0.018463344596714407,15.940648930773932,21.5,0.0675,0.01505
cap,No subsidy,SJ,420900,孝感,interior boundary,0.01819516463147082,14.973448993447505,21.5,0.0675,0.01505
cap,No subsidy,SJ,421000,荆州,interior boundary,0.017010846047985955,8.761179919852225,21.5,0.0675,0.01505
cap,No subsidy,SJ,421100,黄冈,interior boundary,0.019143849337847744,18.506194482205046,21.5,0.0675,0.01505
cap,No subsidy,SJ,421200,咸宁,interior boundary,0.017995224798087156,13.18148735792738,21.5,0.0675,0.01505
cap,No subsidy,SJ,421300,随州,interior boundary,0.01833834431781512,15.327521574696448,21.5,0.0675,0.01505
cap,No subsidy,SJ,422800,恩施,never wins at nonnegative degradation,,-102.38162341335124,21.5,0.0675,0.01505
cap,No subsidy,SJ,430100,长沙,interior boundary,0.012329416954778339,-12.057381904910358,21.5,0.0675,0.01505
cap,No subsidy,SJ,430200,株洲,interior boundary,0.011300777414685829,-16.58598353847674,21.5,0.0675,0.01505
cap,No subsidy,SJ,430300,湘潭,interior boundary,0.011213485334061343,-16.969516877440924,21.5,0.0675,0.01505
cap,No subsidy,SJ,430400,衡阳,interior boundary,0.009545460058865984,-24.274932258376452,21.5,0.0675,0.01505
cap,No subsidy,SJ,430500,邵阳,interior boundary,0.003798722086651906,-49.097605420874515,21.5,0.0675,0.01505
cap,No subsidy,SJ,430600,岳阳,interior boundary,0.013906125633013036,-5.083593141513916,21.5,0.0675,0.01505
cap,No subsidy,SJ,430700,常德,interior boundary,0.0076719646892634335,-32.426840429756,21.5,0.0675,0.01505
cap,No subsidy,SJ,430800,张家界,never wins at nonnegative degradation,,-79.64705878004384,21.5,0.0675,0.01505
cap,No subsidy,SJ,430900,益阳,interior boundary,0.006412712141609946,-37.87394457091477,21.5,0.0675,0.01505
cap,No subsidy,SJ,431000,郴州,interior boundary,0.003345999855024928,-51.029877165127346,21.5,0.0675,0.01505
cap,No subsidy,SJ,431100,永州,interior boundary,0.005820541173796558,-40.42646939425276,21.5,0.0675,0.01505
cap,No subsidy,SJ,431200,怀化,never wins at nonnegative degradation,,-76.4976355942265,21.5,0.0675,0.01505
cap,No subsidy,SJ,431300,娄底,interior boundary,0.002755357272194914,-53.54562793062871,21.5,0.0675,0.01505
cap,No subsidy,SJ,433100,湘西,never wins at nonnegative degradation,,-88.7337054224347,21.5,0.0675,0.01505
cap,No subsidy,SJ,440100,广州,interior boundary,0.020339233299171873,23.765589232365528,21.5,0.0675,0.01505
cap,No subsidy,SJ,440200,韶关,interior boundary,0.010464490405460228,-20.255375800346314,21.5,0.0675,0.01505
cap,No subsidy,SJ,440300,深圳,interior boundary,0.019618186262290047,21.694368665224033,21.5,0.0675,0.01505
cap,No subsidy,SJ,440400,珠海,interior boundary,0.019282032209289215,20.33843823109237,21.5,0.0675,0.01505
cap,No subsidy,SJ,440500,汕头,interior boundary,0.018795866157294228,18.194277181362736,21.5,0.0675,0.01505
cap,No subsidy,SJ,440600,佛山,interior boundary,0.016477648181948013,6.373007232266218,21.5,0.0675,0.01505
cap,No subsidy,SJ,440700,江门,interior boundary,0.017605928837141245,11.43162295728564,21.5,0.0675,0.01505
cap,No subsidy,SJ,440800,湛江,interior boundary,0.019233387890620433,20.627955910790206,21.5,0.0675,0.01505
cap,No subsidy,SJ,440900,茂名,interior boundary,0.020332583713177855,24.24757178991581,21.5,0.0675,0.01505
cap,No subsidy,SJ,441200,肇庆,interior boundary,0.013827965953010588,-5.4302087079487364,21.5,0.0675,0.01505
cap,No subsidy,SJ,441300,惠州,interior boundary,0.02010023435332257,23.599527637619303,21.5,0.0675,0.01505
cap,No subsidy,SJ,441400,梅州,interior boundary,0.019455981555531562,19.767770313630308,21.5,0.0675,0.01505
cap,No subsidy,SJ,441500,汕尾,interior boundary,0.01872132454920817,17.865203264650063,21.5,0.0675,0.01505
cap,No subsidy,SJ,441600,河源,interior boundary,0.020391686414460968,24.120748874730566,21.5,0.0675,0.01505
cap,No subsidy,SJ,441700,阳江,interior boundary,0.018973733998594616,17.589881171537854,21.5,0.0675,0.01505
cap,No subsidy,SJ,441800,清远,interior boundary,0.012377621483616253,-11.844750878961577,21.5,0.0675,0.01505
cap,No subsidy,SJ,441900,东莞,interior boundary,0.019914955300647113,22.903075320165954,21.5,0.0675,0.01505
cap,No subsidy,SJ,442000,中山,interior boundary,0.019904248343299718,22.6899752607585,21.5,0.0675,0.01505
cap,No subsidy,SJ,445100,潮州,interior boundary,0.01930188749931788,20.451668868720617,21.5,0.0675,0.01505
cap,No subsidy,SJ,445200,揭阳,interior boundary,0.01981676052349784,22.326132986251196,21.5,0.0675,0.01505
cap,No subsidy,SJ,445300,云浮,interior boundary,0.016856541925901795,8.069613543630112,21.5,0.0675,0.01505
cap,No subsidy,SJ,450100,南宁,interior boundary,0.00773452571841844,-32.155546038467946,21.5,0.0675,0.01505
cap,No subsidy,SJ,450200,柳州,interior boundary,0.00032949214198723097,-63.81622887091521,21.5,0.0675,0.01505
cap,No subsidy,SJ,450300,桂林,interior boundary,4.774886475260587e-05,-65.00256111416275,21.5,0.0675,0.01505
cap,No subsidy,SJ,450400,梧州,interior boundary,0.014634673540363251,-1.8481306886711764,21.5,0.0675,0.01505
cap,No subsidy,SJ,450500,北海,interior boundary,0.018973839933898524,19.23553066728357,21.5,0.0675,0.01505
cap,No subsidy,SJ,450600,防城港,interior boundary,0.019460426760218048,19.78786149101188,21.5,0.0675,0.01505
cap,No subsidy,SJ,450700,钦州,interior boundary,0.019626188445527503,20.537270910691518,21.5,0.0675,0.01505
cap,No subsidy,SJ,450800,贵港,interior boundary,0.008833326322326942,-27.38024704141003,21.5,0.0675,0.01505
cap,No subsidy,SJ,450900,玉林,interior boundary,0.017565131376556308,11.248372819522388,21.5,0.0675,0.01505
cap,No subsidy,SJ,451000,百色,interior boundary,0.0066954375259150834,-36.65323315856142,21.5,0.0675,0.01505
cap,No subsidy,SJ,451100,贺州,interior boundary,0.00753049706277622,-33.04007592816606,21.5,0.0675,0.01505
cap,No subsidy,SJ,451200,河池,never wins at nonnegative degradation,,-74.97255485165545,21.5,0.0675,0.01505
cap,No subsidy,SJ,451300,来宾,interior boundary,0.008443803559961084,-29.07532399754848,21.5,0.0675,0.01505
cap,No subsidy,SJ,451400,崇左,interior boundary,0.0044229459323268825,-46.42771362610017,21.5,0.0675,0.01505
cap,No subsidy,SJ,460100,海口,interior boundary,0.018302232387241445,16.898849586382767,21.5,0.0675,0.01505
cap,No subsidy,SJ,460200,三亚,interior boundary,0.01830460549728558,17.160072096622912,21.5,0.0675,0.01505
cap,No subsidy,SJ,460300,三沙,interior boundary,0.016068866938132222,6.0779951636396845,21.5,0.0675,0.01505
cap,No subsidy,SJ,460400,儋州,interior boundary,0.019242349591295494,20.61434487961526,21.5,0.0675,0.01505
cap,No subsidy,SJ,500000,重庆,never wins at nonnegative degradation,,-104.02753906323346,21.5,0.0675,0.01505
cap,No subsidy,SJ,510100,成都,never wins at nonnegative degradation,,-77.52300389497884,21.5,0.0675,0.01505
cap,No subsidy,SJ,510300,自贡,never wins at nonnegative degradation,,-103.54222504344438,21.5,0.0675,0.01505
cap,No subsidy,SJ,510400,攀枝花,interior boundary,0.018072998034498508,15.489488496041304,21.5,0.0675,0.01505
cap,No subsidy,SJ,510500,泸州,never wins at nonnegative degradation,,-152.01311717869822,21.5,0.0675,0.01505
cap,No subsidy,SJ,510600,德阳,never wins at nonnegative degradation,,-83.91538455331204,21.5,0.0675,0.01505
