adcode,city,city_fullname,province,province_fullname,province_code,admin_type,latitude,longitude,altitude_m,source_latitude,source_longitude,source_crs,cache_key,coordinate_source,source_version,source_url
321000,扬州,扬州市,江苏,江苏省,320000,prefecture_level_city,32.396284,119.407354,,32.394404,119.412834,GCJ-02,city_321000,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
321100,镇江,镇江市,江苏,江苏省,320000,prefecture_level_city,32.190018,119.418994,,32.188141,119.424441,GCJ-02,city_321100,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
321200,泰州,泰州市,江苏,江苏省,320000,prefecture_level_city,32.458915,119.918147,,32.456692,119.922883,GCJ-02,city_321200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
321300,宿迁,宿迁市,江苏,江苏省,320000,prefecture_level_city,33.964533,118.269722,,33.963186,118.275228,GCJ-02,city_321300,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
330100,杭州,杭州市,浙江,浙江省,330000,prefecture_level_city,30.270000,120.150000,10,30.246026,120.210792,GCJ-02,hangzhou,existing pvsim representative-city anchor,1.6.3,https://geojson.cn/api/china/1.6.3/330000.json
330200,宁波,宁波市,浙江,浙江省,330000,prefecture_level_city,29.862877,121.620438,,29.860258,121.624540,GCJ-02,city_330200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/330000.json
330300,温州,温州市,浙江,浙江省,330000,prefecture_level_city,27.997131,120.695221,,27.993849,120.699279,GCJ-02,city_330300,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/330000.json
330400,嘉兴,嘉兴市,浙江,浙江省,330000,prefecture_level_city,30.749114,120.751304,,30.746814,120.755623,GCJ-02,city_330400,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/330000.json
330500,湖州,湖州市,浙江,浙江省,330000,prefecture_level_city,30.896222,120.082010,,30.894178,120.086881,GCJ-02,city_330500,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/330000.json
330600,绍兴,绍兴市,浙江,浙江省,330000,prefecture_level_city,30.054186,120.578806,,30.051549,120.582886,GCJ-02,city_330600,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/330000.json
330700,金华,金华市,浙江,浙江省,330000,prefecture_level_city,29.082171,119.642560,,29.079195,119.647265,GCJ-02,city_330700,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/330000.json
330800,衢州,衢州市,浙江,浙江省,330000,prefecture_level_city,28.973314,118.854512,,28.970229,118.859307,GCJ-02,city_330800,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/330000.json
330900,舟山,舟山市,浙江,浙江省,330000,prefecture_level_city,29.987981,122.203237,,29.985578,122.207395,GCJ-02,city_330900,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/330000.json
331000,台州,台州市,浙江,浙江省,330000,prefecture_level_city,28.658667,121.416362,,28.655716,121.420790,GCJ-02,city_331000,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/330000.json
331100,丽水,丽水市,浙江,浙江省,330000,prefecture_level_city,28.471099,119.918844,,28.467694,119.923249,GCJ-02,city_331100,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/330000.json
340100,合肥,合肥市,安徽,安徽省,340000,prefecture_level_city,31.830000,117.230000,30,31.820567,117.227267,GCJ-02,hefei,existing pvsim representative-city anchor,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
340200,芜湖,芜湖市,安徽,安徽省,340000,prefecture_level_city,31.354466,118.427684,,31.352614,118.433065,GCJ-02,city_340200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
340300,蚌埠,蚌埠市,安徽,安徽省,340000,prefecture_level_city,32.918526,117.382719,,32.916820,117.388566,GCJ-02,city_340300,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
340400,淮南,淮南市,安徽,安徽省,340000,prefecture_level_city,32.587392,117.013103,,32.585384,117.018603,GCJ-02,city_340400,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
340500,马鞍山,马鞍山市,安徽,安徽省,340000,prefecture_level_city,31.670757,118.501671,,31.668765,118.506850,GCJ-02,city_340500,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
340600,淮北,淮北市,安徽,安徽省,340000,prefecture_level_city,33.957691,116.792965,,33.956264,116.798362,GCJ-02,city_340600,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
340700,铜陵,铜陵市,安徽,安徽省,340000,prefecture_level_city,30.947507,117.805956,,30.945214,117.811298,GCJ-02,city_340700,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
340800,安庆,安庆市,安徽,安徽省,340000,prefecture_level_city,30.534093,117.109842,,30.531828,117.115349,GCJ-02,city_340800,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
341000,黄山,黄山市,安徽,安徽省,340000,prefecture_level_city,29.717284,118.332438,,29.714886,118.337643,GCJ-02,city_341000,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
341100,滁州,滁州市,安徽,安徽省,340000,prefecture_level_city,32.257877,118.328012,,32.255904,118.333439,GCJ-02,city_341100,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
341200,阜阳,阜阳市,安徽,安徽省,340000,prefecture_level_city,32.893030,115.808881,,32.891032,115.814252,GCJ-02,city_341200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
341300,宿州,宿州市,安徽,安徽省,340000,prefecture_level_city,33.649290,116.958806,,33.647726,116.964190,GCJ-02,city_341300,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
341500,六安,六安市,安徽,安徽省,340000,prefecture_level_city,31.737958,116.514647,,31.735892,116.519729,GCJ-02,city_341500,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
341600,亳州,亳州市,安徽,安徽省,340000,prefecture_level_city,33.847728,115.773048,,33.846285,115.778588,GCJ-02,city_341600,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/340000.json
