case,context,adcode,technology,npv_usd,discounted_mwh,construction_usd
Central,area,371600,T,1203368.0660408225,34784.98498749206,1097425.0216505441
Central,area,371700,T,975050.2246660937,31931.011970307947,1097425.0216505441
Central,area,410100,T,1011412.2585863447,32385.537394311086,1097425.0216505441
Central,area,410200,T,1064354.697724965,33047.31788354384,1097425.0216505441
Central,area,410300,T,952029.0166325495,31643.246869888648,1097425.0216505441
Central,area,410400,T,889757.186750565,30864.848996363842,1097425.0216505441
Central,area,410500,T,1119628.935541174,33738.24585624644,1097425.0216505441
Central,area,410600,T,1099480.0152662976,33486.3843528105,1097425.0216505441
Central,area,410700,T,1066636.9282051204,33075.84576454578,1097425.0216505441
Central,area,410800,T,1018344.0021547807,32472.184188916533,1097425.0216505441
Central,area,410900,T,1109482.9974841548,33611.42163053372,1097425.0216505441
Central,area,411000,T,1035831.3176421126,32690.775632508186,1097425.0216505441
Central,area,411100,T,996063.1443624016,32193.6734665118,1097425.0216505441
Central,area,411200,T,1019037.5242592382,32480.85321522225,1097425.0216505441
Central,area,411300,T,842606.2038101639,30275.461709608822,1097425.0216505441
Central,area,411400,T,946556.4883516337,31574.840266377196,1097425.0216505441
Central,area,411500,T,732413.3581132384,28898.051138397255,1097425.0216505441
Central,area,411600,T,996598.1647535,32200.361221400526,1097425.0216505441
Central,area,411700,T,865303.8220383354,30559.18193746097,1097425.0216505441
Central,area,420100,T,728610.7017095137,28850.517933350697,1097425.0216505441
Central,area,420200,T,594975.2957741859,27180.075359159102,1097425.0216505441
Central,area,420300,T,562134.6553254739,26769.5673535502,1097425.0216505441
Central,area,420500,T,542951.4913665691,26529.777804063888,1097425.0216505441
Central,area,420600,T,748781.3470236002,29102.650999776783,1097425.0216505441
Central,area,420700,T,598078.5340557131,27218.86583767819,1097425.0216505441
Central,area,420800,T,755297.0492805232,29184.097277988323,1097425.0216505441
Central,area,420900,T,797300.9398609787,29709.14591024401,1097425.0216505441
Central,area,421000,T,630799.7468412583,27627.880997497505,1097425.0216505441
Central,area,421100,T,687569.032413713,28337.49706715319,1097425.0216505441
Central,area,421200,T,643978.4291575503,27792.614526451154,1097425.0216505441
Central,area,421300,T,751490.7752734666,29136.518852900106,1097425.0216505441
Central,area,422800,T,225414.53812278717,22560.565888516616,1097425.0216505441
Central,area,430100,T,550307.8463234837,26621.732241025322,1097425.0216505441
Central,area,430200,T,531229.3640733529,26383.251212898685,1097425.0216505441
Central,area,430300,T,532118.1862718717,26394.361490380175,1097425.0216505441
Central,area,430400,T,502022.4981555748,26018.165388926463,1097425.0216505441
Central,area,430500,T,411424.7054635842,24885.692980276577,1097425.0216505441
Central,area,430600,T,578499.3598940182,26974.126160657,1097425.0216505441
Central,area,430700,T,478953.42907233385,25729.802025385947,1097425.0216505441
Central,area,430800,T,307495.70076277707,23586.580421516486,1097425.0216505441
Central,area,430900,T,456676.00510724244,25451.334225822306,1097425.0216505441
Central,area,431000,T,405052.7759473826,24806.043861324062,1097425.0216505441
Central,area,431100,T,441619.1541580807,25263.123588957787,1097425.0216505441
Central,area,431200,T,315913.0225991106,23691.79694447066,1097425.0216505441
Central,area,431300,T,396789.0444981131,24702.747218208195,1097425.0216505441
Central,area,433100,T,271593.14138706407,23137.79842932008,1097425.0216505441
Central,area,440100,T,669888.1095695208,28116.48553160079,1097425.0216505441
Central,area,440200,T,514183.63014794776,26170.179538831122,1097425.0216505441
Central,area,440300,T,788682.8752053961,29601.42010204923,1097425.0216505441
Central,area,440400,T,813063.6541580125,29906.179838956934,1097425.0216505441
Central,area,440500,T,836556.5854537402,30199.84148015353,1097425.0216505441
Central,area,440600,T,606555.3219296922,27324.825686102926,1097425.0216505441
Central,area,440700,T,622747.1112595075,27527.22305272562,1097425.0216505441
Central,area,440800,T,871523.8374897823,30636.932130604055,1097425.0216505441
Central,area,440900,T,716478.3603228119,28698.86366601693,1097425.0216505441
Central,area,441200,T,564873.902995563,26803.80794942631,1097425.0216505441
Central,area,441300,T,756133.5260436712,29194.55323752767,1097425.0216505441
Central,area,441400,T,657760.4142666155,27964.889340314465,1097425.0216505441
Central,area,441500,T,840685.6746888937,30251.455095592944,1097425.0216505441
Central,area,441600,T,684632.2839865522,28300.787711813682,1097425.0216505441
Central,area,441700,T,645725.7334334261,27814.455829899605,1097425.0216505441
Central,area,441800,T,542762.8531547333,26527.419826415946,1097425.0216505441
Central,area,441900,T,771745.0886549642,29389.697770168827,1097425.0216505441
Central,area,442000,T,754720.2875482816,29176.887756335294,1097425.0216505441
Central,area,445100,T,817437.2776382952,29960.850132460466,1097425.0216505441
Central,area,445200,T,759814.2554195073,29240.562354725622,1097425.0216505441
Central,area,445300,T,612990.9589793744,27405.271149223958,1097425.0216505441
Central,area,450100,T,467885.4141043234,25591.45183828582,1097425.0216505441
Central,area,450200,T,357229.4971862547,24208.252876809962,1097425.0216505441
Central,area,450300,T,352958.15873475646,24154.861146166233,1097425.0216505441
Central,area,450400,T,579911.5682339811,26991.778764906543,1097425.0216505441
Central,area,450500,T,857019.4676524505,30455.62750763741,1097425.0216505441
Central,area,450600,T,653901.4515310538,27916.652306119948,1097425.0216505441
Central,area,450700,T,656669.9506712797,27951.258545372777,1097425.0216505441
Central,area,450800,T,487006.150485592,25830.46104305168,1097425.0216505441
Central,area,450900,T,624667.8463914489,27551.23224187489,1097425.0216505441
Central,area,451000,T,455264.5780029073,25433.691387018116,1097425.0216505441
Central,area,451100,T,467793.5531943837,25590.303576911574,1097425.0216505441
Central,area,451200,T,316923.2636831885,23704.424958021635,1097425.0216505441
Central,area,451300,T,481600.0833876333,25762.885204327195,1097425.0216505441
Central,area,451400,T,413397.2702485846,24910.35004008908,1097425.0216505441
Central,area,460100,T,990194.7508358961,32120.318547430477,1097425.0216505441
Central,area,460200,T,1024003.623665111,32542.92945779566,1097425.0216505441
Central,area,460300,T,1334778.0273597545,36427.6095039787,1097425.0216505441
Central,area,460400,T,866374.3748737834,30572.563847904068,1097425.0216505441
Central,area,500000,T,216199.30112931711,22445.37542609824,1097425.0216505441
Central,area,510100,T,315353.90857255977,23684.808019138774,1097425.0216505441
Central,area,510300,T,213196.00300157192,22407.834199501423,1097425.0216505441
