case,context,strategy,share,before_viable,after_viable,after_si,after_sj,after_t,total_public_usd,private_gain_usd,additional_discounted_mwh
sj_deg=0.007,cap,Matched gap,0.0,291,291,0,291,0,0.0,0.0,0.0
sj_deg=0.007,cap,General,0.1,291,307,0,307,0,12410475.0,11560361.576142896,234023.50084609914
sj_deg=0.007,cap,New technology,0.1,291,307,0,307,0,12410475.0,11560361.576142896,234023.50084609914
sj_deg=0.007,cap,Matched gap,0.1,291,307,0,307,0,272112.14504996047,16.0,234023.50084609914
sj_deg=0.007,cap,General,0.2,291,328,62,266,0,28780869.069233462,24040288.502379917,589097.6758144863
sj_deg=0.007,cap,New technology,0.2,291,328,0,328,0,26518800.0,23827132.01018933,520439.08609057637
sj_deg=0.007,cap,Matched gap,0.2,291,328,62,266,0,3538670.0917345444,99.0,589097.6758144863
sj_deg=0.007,cap,General,0.3,291,333,169,164,0,49633518.69436584,38748507.277449414,737712.9589758886
sj_deg=0.007,cap,New technology,0.3,291,333,0,333,0,40384575.0,36577913.92755817,584227.9969755871
sj_deg=0.007,cap,Matched gap,0.3,291,333,169,164,0,8947805.503043948,209.0,737712.9589758886
sj_deg=0.007,area,General,0.0,337,337,197,7,133,0.0,0.0,0.0
sj_deg=0.007,area,New technology,0.0,337,337,197,7,133,0.0,0.0,0.0
sj_deg=0.007,area,Matched gap,0.0,337,337,197,7,133,0.0,0.0,0.0
sj_deg=0.007,area,General,0.1,337,337,133,0,204,34664839.70717573,31797124.88817003,324367.98100914713
sj_deg=0.007,area,New technology,0.1,337,337,0,33,304,36702331.263071716,27972499.74381501,615888.5681738172
sj_deg=0.007,area,Matched gap,0.1,337,337,133,0,204,1277940.4745971982,78.0,324367.98100914713
sj_deg=0.007,area,General,0.2,337,337,70,0,267,73277879.64123136,65685557.187614225,572989.9304110166
sj_deg=0.007,area,New technology,0.2,337,337,0,6,331,76890204.00837892,63894887.743439876,780760.2687172233
sj_deg=0.007,area,Matched gap,0.2,337,337,70,0,267,4308192.644236423,141.0,572989.9304110166
sj_deg=0.007,area,General,0.3,337,337,32,0,305,113489000.61950026,101298336.53616112,711167.0021253956
sj_deg=0.007,area,New technology,0.3,337,337,0,0,337,116497153.17331353,100723868.28286234,812782.0941085264
sj_deg=0.007,area,Matched gap,0.3,337,337,32,0,305,7125935.2065310795,179.0,711167.0021253956
sj_deg=0.03,cap,General,0.0,235,235,235,0,0,0.0,0.0,0.0
sj_deg=0.03,cap,New technology,0.0,235,235,235,0,0,0.0,0.0,0.0
sj_deg=0.03,cap,Matched gap,0.0,235,235,235,0,0,0.0,0.0,0.0
sj_deg=0.03,cap,General,0.1,235,286,286,0,0,16778902.85323201,14676452.170373723,830410.5823413952
sj_deg=0.03,cap,New technology,0.1,235,235,235,0,0,0.0,0.0,0.0
sj_deg=0.03,cap,Matched gap,0.1,235,286,286,0,0,1368681.6243395987,51.0,830410.5823413952
sj_deg=0.03,cap,General,0.2,235,313,313,0,0,36725850.301130205,31494361.704727165,1232811.7467224083
sj_deg=0.03,cap,New technology,0.2,235,281,114,167,0,13501950.0,2966366.582190969,215420.7837245639
sj_deg=0.03,cap,Matched gap,0.2,235,313,313,0,0,3656852.411166681,78.0,1232811.7467224083
sj_deg=0.03,cap,General,0.3,235,333,333,0,0,58608825.001324385,49712124.389820516,1505662.7890802093
sj_deg=0.03,cap,New technology,0.3,235,304,0,107,197,49982121.629637115,15925356.700628325,397745.958756292
sj_deg=0.03,cap,Matched gap,0.3,235,333,333,0,0,6411197.29201284,98.0,1505662.7890802093
sj_deg=0.03,area,General,0.0,337,337,204,0,133,0.0,0.0,0.0
sj_deg=0.03,area,New technology,0.0,337,337,204,0,133,0.0,0.0,0.0
sj_deg=0.03,area,Matched gap,0.0,337,337,204,0,133,0.0,0.0,0.0
sj_deg=0.03,area,General,0.1,337,337,133,0,204,34664839.70717573,31913294.218655378,307086.9283142697
sj_deg=0.03,area,New technology,0.1,337,337,10,0,327,37680088.118371435,27031616.58112573,766004.3954359293
sj_deg=0.03,area,Matched gap,0.1,337,337,133,0,204,1155955.3275875826,71.0,307086.9283142697
sj_deg=0.03,area,General,0.2,337,337,70,0,267,73277879.64123136,65801726.51809957,555708.8777161391
sj_deg=0.03,area,New technology,0.2,337,337,0,0,337,77664768.78220902,63856814.38372435,795501.041413649
sj_deg=0.03,area,Matched gap,0.2,337,337,70,0,267,4186207.497226808,134.0,555708.8777161391
sj_deg=0.03,area,General,0.3,337,337,32,0,305,113489000.61950026,101414505.86664648,693885.9494305181
sj_deg=0.03,area,New technology,0.3,337,337,0,0,337,116497153.17331353,100840037.61334768,795501.041413649
sj_deg=0.03,area,Matched gap,0.3,337,337,32,0,305,7003950.059521465,172.0,693885.9494305181
t_deg=0.005,cap,General,0.0,258,258,123,135,0,0.0,0.0,0.0
t_deg=0.005,cap,New technology,0.0,258,258,123,135,0,0.0,0.0,0.0
t_deg=0.005,cap,Matched gap,0.0,258,258,123,135,0,0.0,0.0,0.0
t_deg=0.005,cap,General,0.1,258,294,212,82,0,15752358.408689465,13590172.695179444,674049.7290951391
t_deg=0.005,cap,New technology,0.1,258,294,0,294,0,11884950.0,9242228.968988221,256723.3444354371
t_deg=0.005,cap,Matched gap,0.1,258,294,212,82,0,1482807.2787510443,124.00000000000091,674049.7290951391
t_deg=0.005,cap,General,0.2,258,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
t_deg=0.005,cap,New technology,0.2,258,311,0,311,0,25144350.0,20871575.615580227,487290.344632922
t_deg=0.005,cap,Matched gap,0.2,258,313,313,0,0,5303902.869117841,190.00000000000182,1059572.7812735206
t_deg=0.005,cap,General,0.3,258,333,333,0,0,58608825.001324385,48143616.906057514,1332423.8236313215
t_deg=0.005,cap,New technology,0.3,258,330,0,304,26,41751600.57040896,33337009.359605134,767861.1752440577
t_deg=0.005,cap,Matched gap,0.3,258,333,333,0,0,8058247.749963999,210.00000000000182,1332423.8236313215
t_deg=0.005,area,General,0.0,337,337,8,0,329,0.0,0.0,0.0
t_deg=0.005,area,New technology,0.0,337,337,8,0,329,0.0,0.0,0.0
