spatial_case,accounting,context,strategy,support_fraction,before_viable,after_viable,new_viable,before_target,after_target,new_target,supported_projects,baseline_adopters_paid,before_npv_usd,after_npv_usd,private_gain_usd,direct_support_usd,admin_usd,public_cost_usd,extra_mwh,full_instrument_ceiling_usd,matched_set_is_global_rank_prefix,all_choices_match_uniform,objective_support_usd,other_switch_support_usd,baseline_adopter_support_usd
Alternative area estimator,Central,area,Uniform,0.75,337,337,0,133,337,204,337,133,308818315.6574989,374118327.0934189,65300011.43592,75427634.71987092,3771381.7359935464,79199016.45586447,795276.1513082914,298427.83271956845,1,1,45659458.40609398,0.0,29768176.31377696
Alternative area estimator,Central,area,Matched additions,0.75,337,337,0,133,337,204,204,0,308818315.6574989,308818519.6574989,204.00000000001455,10127827.283950929,506391.36419754644,10634218.648148475,795276.1513082914,298427.83271956845,1,1,10127827.28395093,0.0,0.0
Alternative area estimator,Central,area,Strict selections,0.75,337,337,0,133,337,204,204,0,308818315.6574989,308818519.6574989,204.00000000001455,10127827.283950929,506391.36419754644,10634218.648148475,795276.1513082914,298427.83271956845,1,1,10127827.28395093,0.0,0.0
Alternative area estimator,Central,area,Uniform,1.0,337,337,0,133,337,204,337,133,308818315.6574989,399260872.00004256,90442556.34254363,100570179.62649459,5028508.9813247295,105598688.60781932,795276.1513082914,298427.83271956845,1,1,60879277.87479198,0.0,39690901.75170261
Alternative area estimator,Central,area,Matched additions,1.0,337,337,0,133,337,204,204,0,308818315.6574989,308818519.6574989,204.00000000001455,10127827.283950929,506391.36419754644,10634218.648148475,795276.1513082914,298427.83271956845,1,1,10127827.28395093,0.0,0.0
Alternative area estimator,Central,area,Strict selections,1.0,337,337,0,133,337,204,204,0,308818315.6574989,308818519.6574989,204.00000000001455,10127827.283950929,506391.36419754644,10634218.648148475,795276.1513082914,298427.83271956845,1,1,10127827.28395093,0.0,0.0
Alternative area estimator,Half replacement cost,cap,Uniform,0.0,306,306,0,306,306,0,0,0,48063813.242816165,48063813.242816165,0.0,0.0,0.0,0.0,0.0,67431.18686870427,1,1,0.0,0.0,0.0
Alternative area estimator,Half replacement cost,cap,Matched additions,0.0,306,306,0,306,306,0,0,0,48063813.242816165,48063813.242816165,0.0,0.0,0.0,0.0,0.0,67431.18686870427,1,1,0.0,0.0,0.0
Alternative area estimator,Half replacement cost,cap,Strict selections,0.0,306,306,0,306,306,0,0,0,48063813.242816165,48063813.242816165,0.0,0.0,0.0,0.0,0.0,67431.18686870427,1,1,0.0,0.0,0.0
Alternative area estimator,Half replacement cost,cap,Uniform,0.25,306,316,10,306,316,10,316,306,48063813.242816165,53287092.63927861,5223279.3964624405,5327063.762627638,266353.18813138193,5593416.95075902,130861.32003027323,67431.18686870427,1,1,168577.96717176068,0.0,5158485.795455877
Alternative area estimator,Half replacement cost,cap,Matched additions,0.25,306,316,10,306,316,10,10,0,48063813.242816165,48063823.242816165,10.0,103794.3661651974,5189.71830825987,108984.08447345727,130861.32003027323,67431.18686870427,1,1,103794.36616519741,0.0,0.0
Alternative area estimator,Half replacement cost,cap,Strict selections,0.25,306,316,10,306,316,10,10,0,48063813.242816165,48063823.242816165,10.0,103794.3661651974,5189.71830825987,108984.08447345727,130861.32003027323,67431.18686870427,1,1,103794.36616519741,0.0,0.0
Alternative area estimator,Half replacement cost,cap,Uniform,0.5,306,324,18,306,324,18,324,306,48063813.242816165,58687615.29149521,10623802.04867904,10923852.272730092,546192.6136365046,11470044.886366596,232719.41693064937,67431.18686870427,1,1,606880.6818183386,0.0,10316971.590911753
Alternative area estimator,Half replacement cost,cap,Matched additions,0.5,306,324,18,306,324,18,18,0,48063813.242816165,48063831.242816165,18.0,300068.22405105154,15003.411202552577,315071.63525360415,232719.41693064937,67431.18686870427,1,1,300068.2240510516,0.0,0.0
Alternative area estimator,Half replacement cost,cap,Strict selections,0.5,306,324,18,306,324,18,18,0,48063813.242816165,48063831.242816165,18.0,300068.22405105154,15003.411202552577,315071.63525360415,232719.41693064937,67431.18686870427,1,1,300068.2240510516,0.0,0.0
Alternative area estimator,Half replacement cost,cap,Uniform,0.75,306,330,24,306,330,24,330,306,48063813.242816165,64221021.949335635,16157208.706519473,16689218.750004306,834460.9375002154,17523679.687504523,306993.97895544674,67431.18686870427,1,1,1213761.363636677,0.0,15475457.38636763
Alternative area estimator,Half replacement cost,cap,Matched additions,0.75,306,330,24,306,330,24,24,0,48063813.242816165,48063837.242816165,24.0,532034.043484832,26601.702174241604,558635.7456590737,306993.97895544674,67431.18686870427,1,1,532034.043484832,0.0,0.0
Alternative area estimator,Half replacement cost,cap,Strict selections,0.75,306,330,24,306,330,24,24,0,48063813.242816165,48063837.242816165,24.0,532034.043484832,26601.702174241604,558635.7456590737,306993.97895544674,67431.18686870427,1,1,532034.043484832,0.0,0.0
Alternative area estimator,Half replacement cost,cap,Uniform,1.0,306,333,27,306,333,27,333,306,48063813.242816165,69803256.13525721,21739442.89244104,22454585.227278523,1122729.261363926,23577314.48864245,342452.4504269514,67431.18686870427,1,1,1820642.0454550157,0.0,20633943.181823507
Alternative area estimator,Half replacement cost,cap,Matched additions,1.0,306,333,27,306,333,27,27,0,48063813.242816165,48063840.242816165,27.0,715169.3348374821,35758.46674187411,750927.8015793562,342452.4504269514,67431.18686870427,1,1,715169.3348374822,0.0,0.0
Alternative area estimator,Half replacement cost,cap,Strict selections,1.0,306,333,27,306,333,27,27,0,48063813.242816165,48063840.242816165,27.0,715169.3348374821,35758.46674187411,750927.8015793562,342452.4504269514,67431.18686870427,1,1,715169.3348374822,0.0,0.0
Alternative area estimator,Half replacement cost,area,Uniform,0.0,337,337,0,133,133,0,0,0,308998508.1749524,308998508.1749524,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Alternative area estimator,Half replacement cost,area,Matched additions,0.0,337,337,0,133,133,0,0,0,308998508.1749524,308998508.1749524,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Alternative area estimator,Half replacement cost,area,Strict selections,0.0,337,337,0,133,133,0,0,0,308998508.1749524,308998508.1749524,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Alternative area estimator,Half replacement cost,area,Uniform,0.25,337,337,0,133,291,158,291,133,308998508.1749524,325155427.689791,16156919.514838671,21710624.830348607,1085531.2415174304,22796156.07186604,644577.1536174647,298427.83271956845,0,1,11787899.392422955,0.0,9922725.437925652
Alternative area estimator,Half replacement cost,area,Matched additions,0.25,337,337,0,133,291,158,158,0,308998508.1749524,308998666.1749524,158.0,5553863.315509928,277693.16577549645,5831556.481285425,644577.1536174647,298427.83271956845,0,1,5553863.315509929,0.0,0.0
Alternative area estimator,Half replacement cost,area,Strict selections,0.25,337,337,0,133,291,158,158,0,308998508.1749524,308998666.1749524,158.0,5553863.315509928,277693.16577549645,5831556.481285425,644577.1536174647,298427.83271956845,0,1,5553863.315509929,0.0,0.0
Alternative area estimator,Half replacement cost,area,Uniform,0.5,337,337,0,133,333,200,333,133,308998508.1749524,349052901.5963987,40054393.42144632,49688234.14780816,2484411.707390408,52172645.85519857,802037.1942437105,298427.83271956845,0,1,29842783.271956854,0.0,19845450.875851303
Alternative area estimator,Half replacement cost,area,Matched additions,0.5,337,337,0,133,333,200,200,0,308998508.1749524,308998708.1749524,200.0,9634040.726361835,481702.0363180918,10115742.762679927,802037.1942437105,298427.83271956845,0,1,9634040.726361837,0.0,0.0
Alternative area estimator,Half replacement cost,area,Strict selections,0.5,337,337,0,133,333,200,200,0,308998508.1749524,308998708.1749524,200.0,9634040.726361835,481702.0363180918,10115742.762679927,802037.1942437105,298427.83271956845,0,1,9634040.726361837,0.0,0.0
Alternative area estimator,Half replacement cost,area,Uniform,0.75,337,337,0,133,337,204,337,133,308998508.1749524,374118327.0934189,65119818.91846652,75427634.71987092,3771381.7359935464,79199016.45586447,826620.1537201582,298427.83271956845,1,1,45659458.40609398,0.0,29768176.31377696
Alternative area estimator,Half replacement cost,area,Matched additions,0.75,337,337,0,133,337,204,204,0,308998508.1749524,308998712.1749524,204.0,10308019.801404405,515400.9900702203,10823420.791474625,826620.1537201582,298427.83271956845,1,1,10308019.801404405,0.0,0.0
Alternative area estimator,Half replacement cost,area,Strict selections,0.75,337,337,0,133,337,204,204,0,308998508.1749524,308998712.1749524,204.0,10308019.801404405,515400.9900702203,10823420.791474625,826620.1537201582,298427.83271956845,1,1,10308019.801404405,0.0,0.0
Alternative area estimator,Half replacement cost,area,Uniform,1.0,337,337,0,133,337,204,337,133,308998508.1749524,399260872.00004256,90262363.82509014,100570179.62649459,5028508.9813247295,105598688.60781932,826620.1537201582,298427.83271956845,1,1,60879277.87479198,0.0,39690901.75170261
Alternative area estimator,Half replacement cost,area,Matched additions,1.0,337,337,0,133,337,204,204,0,308998508.1749524,308998712.1749524,204.0,10308019.801404405,515400.9900702203,10823420.791474625,826620.1537201582,298427.83271956845,1,1,10308019.801404405,0.0,0.0
Alternative area estimator,Half replacement cost,area,Strict selections,1.0,337,337,0,133,337,204,204,0,308998508.1749524,308998712.1749524,204.0,10308019.801404405,515400.9900702203,10823420.791474625,826620.1537201582,298427.83271956845,1,1,10308019.801404405,0.0,0.0
Alternative area estimator,Remaining-life salvage,cap,Uniform,0.0,322,322,0,322,322,0,0,0,56757225.41656447,56757225.41656447,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Alternative area estimator,Remaining-life salvage,cap,Matched additions,0.0,322,322,0,322,322,0,0,0,56757225.41656447,56757225.41656447,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Alternative area estimator,Remaining-life salvage,cap,Strict selections,0.0,322,322,0,322,322,0,0,0,56757225.41656447,56757225.41656447,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Alternative area estimator,Remaining-life salvage,cap,Uniform,0.25,322,331,9,322,331,9,331,322,56757225.41656447,67818394.37383382,11061168.957269352,11159861.426770557,557993.0713385278,11717854.498109085,111398.72311948486,134862.37373740855,1,1,303440.34090916923,0.0,10856421.085861389
Alternative area estimator,Remaining-life salvage,cap,Matched additions,0.25,322,331,9,322,331,9,9,0,56757225.41656447,56757234.41656447,9.0,98701.46950120635,4935.073475060318,103636.54297626666,111398.72311948486,134862.37373740855,1,1,98701.46950120635,0.0,0.0
Alternative area estimator,Remaining-life salvage,cap,Strict selections,0.25,322,331,9,322,331,9,9,0,56757225.41656447,56757234.41656447,9.0,98701.46950120635,4935.073475060318,103636.54297626666,111398.72311948486,134862.37373740855,1,1,98701.46950120635,0.0,0.0
Alternative area estimator,Remaining-life salvage,cap,Uniform,0.5,322,336,14,322,336,14,336,322,56757225.41656447,79069642.43820956,22312417.021645088,22656878.787884638,1132843.939394232,23789722.72727887,168513.3989549235,134862.37373740855,1,1,944036.6161618598,0.0,21712842.171722777
Alternative area estimator,Remaining-life salvage,cap,Matched additions,0.5,322,336,14,322,336,14,14,0,56757225.41656447,56757239.41656447,14.0,344475.7662395496,17223.78831197748,361699.55455152714,168513.3989549235,134862.37373740855,1,1,344475.7662395496,0.0,0.0
Alternative area estimator,Remaining-life salvage,cap,Strict selections,0.5,322,336,14,322,336,14,14,0,56757225.41656447,56757239.41656447,14.0,344475.7662395496,17223.78831197748,361699.55455152714,168513.3989549235,134862.37373740855,1,1,344475.7662395496,0.0,0.0
Alternative area estimator,Remaining-life salvage,cap,Uniform,0.75,322,337,15,322,337,15,337,322,56757225.41656447,90419306.54341762,33662081.12685314,34086464.96213001,1704323.2481065006,35790788.21023651,179167.12887977,134862.37373740855,1,1,1517201.7045458457,0.0,32569263.257584162
Alternative area estimator,Remaining-life salvage,cap,Matched additions,0.75,322,337,15,322,337,15,15,0,56757225.41656447,56757240.41656447,15.0,424398.8352768671,21219.941763843355,445618.77704071044,179167.12887977,134862.37373740855,1,1,424398.83527686703,0.0,0.0
Alternative area estimator,Remaining-life salvage,cap,Strict selections,0.75,322,337,15,322,337,15,15,0,56757225.41656447,56757240.41656447,15.0,424398.8352768671,21219.941763843355,445618.77704071044,179167.12887977,134862.37373740855,1,1,424398.83527686703,0.0,0.0
Alternative area estimator,Remaining-life salvage,cap,Uniform,1.0,322,337,15,322,337,15,337,322,56757225.41656447,101781461.5307943,45024236.11422981,45448619.949506685,2272430.9974753344,47721050.94698202,179167.12887977,134862.37373740855,1,1,2022935.6060611282,0.0,43425684.343445554
Alternative area estimator,Remaining-life salvage,cap,Matched additions,1.0,322,337,15,322,337,15,15,0,56757225.41656447,56757240.41656447,15.0,424398.8352768671,21219.941763843355,445618.77704071044,179167.12887977,134862.37373740855,1,1,424398.83527686703,0.0,0.0
Alternative area estimator,Remaining-life salvage,cap,Strict selections,1.0,322,337,15,322,337,15,15,0,56757225.41656447,56757240.41656447,15.0,424398.8352768671,21219.941763843355,445618.77704071044,179167.12887977,134862.37373740855,1,1,424398.83527686703,0.0,0.0
Alternative area estimator,Remaining-life salvage,area,Uniform,0.0,337,337,0,133,133,0,0,0,309830417.7011484,309830417.7011484,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Alternative area estimator,Remaining-life salvage,area,Matched additions,0.0,337,337,0,133,133,0,0,0,309830417.7011484,309830417.7011484,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Alternative area estimator,Remaining-life salvage,area,Strict selections,0.0,337,337,0,133,133,0,0,0,309830417.7011484,309830417.7011484,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Alternative area estimator,Remaining-life salvage,area,Uniform,0.25,337,337,0,133,291,158,291,133,309830417.7011484,325987337.2159871,16156919.514838671,21710624.830348607,1085531.2415174304,22796156.07186604,644577.1536174647,298427.83271956845,0,1,11787899.392422955,0.0,9922725.437925652
Alternative area estimator,Remaining-life salvage,area,Matched additions,0.25,337,337,0,133,291,158,158,0,309830417.7011484,309830575.7011484,158.0,5553863.315509928,277693.16577549645,5831556.481285425,644577.1536174647,298427.83271956845,0,1,5553863.315509929,0.0,0.0
Alternative area estimator,Remaining-life salvage,area,Strict selections,0.25,337,337,0,133,291,158,158,0,309830417.7011484,309830575.7011484,158.0,5553863.315509928,277693.16577549645,5831556.481285425,644577.1536174647,298427.83271956845,0,1,5553863.315509929,0.0,0.0
Alternative area estimator,Remaining-life salvage,area,Uniform,0.5,337,337,0,133,328,195,328,133,309830417.7011484,349254448.71738446,39424031.01623607,48942164.56600924,2447108.228300462,51389272.794309705,883092.0546310979,298427.83271956845,0,1,29096713.690157928,0.0,19845450.875851303
Alternative area estimator,Remaining-life salvage,area,Matched additions,0.5,337,337,0,133,328,195,195,0,309830417.7011484,309830612.7011484,195.0,9518328.549773164,475916.4274886582,9994244.977261823,883092.0546310979,298427.83271956845,0,1,9518328.549773166,0.0,0.0
Alternative area estimator,Remaining-life salvage,area,Strict selections,0.5,337,337,0,133,328,195,195,0,309830417.7011484,309830612.7011484,195.0,9518328.549773164,475916.4274886582,9994244.977261823,883092.0546310979,298427.83271956845,0,1,9518328.549773166,0.0,0.0
Alternative area estimator,Remaining-life salvage,area,Uniform,0.75,337,337,0,133,337,204,337,133,309830417.7011484,374118327.0934189,64287909.392270505,75427634.71987092,3771381.7359935464,79199016.45586447,941003.7399619452,298427.83271956845,1,1,45659458.40609398,0.0,29768176.31377696
Alternative area estimator,Remaining-life salvage,area,Matched additions,0.75,337,337,0,133,337,204,204,0,309830417.7011484,309830621.7011484,204.0000000000291,11139929.327600427,556996.4663800214,11696925.79398045,941003.7399619452,298427.83271956845,1,1,11139929.327600427,0.0,0.0
Alternative area estimator,Remaining-life salvage,area,Strict selections,0.75,337,337,0,133,337,204,204,0,309830417.7011484,309830621.7011484,204.0000000000291,11139929.327600427,556996.4663800214,11696925.79398045,941003.7399619452,298427.83271956845,1,1,11139929.327600427,0.0,0.0
Alternative area estimator,Remaining-life salvage,area,Uniform,1.0,337,337,0,133,337,204,337,133,309830417.7011484,399260872.00004256,89430454.29889412,100570179.62649459,5028508.9813247295,105598688.60781932,941003.7399619452,298427.83271956845,1,1,60879277.87479198,0.0,39690901.75170261
Alternative area estimator,Remaining-life salvage,area,Matched additions,1.0,337,337,0,133,337,204,204,0,309830417.7011484,309830621.7011484,204.0000000000291,11139929.327600427,556996.4663800214,11696925.79398045,941003.7399619452,298427.83271956845,1,1,11139929.327600427,0.0,0.0
Alternative area estimator,Remaining-life salvage,area,Strict selections,1.0,337,337,0,133,337,204,204,0,309830417.7011484,309830621.7011484,204.0000000000291,11139929.327600427,556996.4663800214,11696925.79398045,941003.7399619452,298427.83271956845,1,1,11139929.327600427,0.0,0.0
Alternative ratios with primary c-Si,Central,cap,Uniform,0.0,258,258,0,128,128,0,0,0,30559367.87128733,30559367.87128733,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Alternative ratios with primary c-Si,Central,cap,Matched additions,0.0,258,258,0,128,128,0,0,0,30559367.87128733,30559367.87128733,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Alternative ratios with primary c-Si,Central,cap,Strict selections,0.0,258,258,0,128,128,0,0,0,30559367.87128733,30559367.87128733,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Alternative ratios with primary c-Si,Central,cap,Uniform,0.25,258,290,32,128,285,157,285,128,30559367.87128733,38034930.84691335,7475562.975626025,9608944.12879036,480447.206439518,10089391.33522988,191402.32796351257,134862.37373740855,1,1,1078898.9898992684,4214449.179294016,4315595.9595970735
Alternative ratios with primary c-Si,Central,cap,Matched additions,0.25,258,290,32,128,160,32,32,0,30559367.87128733,30559399.87128733,32.0,468205.9060389332,23410.295301946662,491616.2013408799,469299.5752340802,134862.37373740855,1,0,468205.9060389332,0.0,0.0
Alternative ratios with primary c-Si,Central,cap,Strict selections,0.25,258,290,32,128,285,157,157,0,30559367.87128733,30559524.87128733,157.0,2133538.1531643337,106676.90765821669,2240215.0608225507,191402.32796351257,134862.37373740855,1,1,468205.9060389332,1665332.2471254,0.0
Alternative ratios with primary c-Si,Central,cap,Uniform,0.5,258,306,48,128,306,178,306,128,30559367.87128733,48060731.654806815,17501363.783519488,20633943.181823507,1031697.1590911754,21665640.34091468,397473.65063384984,134862.37373740855,1,1,3236696.969697805,8766054.292931555,8631191.919194147
Alternative ratios with primary c-Si,Central,cap,Matched additions,0.5,258,306,48,128,176,48,48,0,30559367.87128733,30559415.87128733,48.0,1276051.7204241408,63802.58602120704,1339854.3064453478,689605.7913169768,134862.37373740855,1,0,1276051.7204241406,0.0,0.0
Alternative ratios with primary c-Si,Central,cap,Strict selections,0.5,258,306,48,128,306,178,178,0,30559367.87128733,30559545.87128733,178.0,3132757.3983040215,156637.86991520107,3289395.268219223,397473.65063384984,134862.37373740855,1,1,1276051.7204241406,1856705.677879881,0.0
Alternative ratios with primary c-Si,Central,cap,Uniform,0.75,258,324,66,128,324,196,324,128,30559367.87128733,58684388.229009226,28125020.357721888,32771556.818190273,1638577.8409095136,34410134.65909979,630189.4307025833,134862.37373740855,1,1,6675687.500001723,13149081.439397333,12946787.878791217
Alternative ratios with primary c-Si,Central,cap,Matched additions,0.75,258,324,66,128,194,66,66,0,30559367.87128733,30559433.87128733,66.0,2790026.7825885075,139501.33912942538,2929528.121717933,922321.5713857103,134862.37373740855,1,0,2790026.782588507,0.0,0.0
Alternative ratios with primary c-Si,Central,cap,Strict selections,0.75,258,324,66,128,324,196,196,0,30559367.87128733,30559563.87128733,196.0,4646732.460468389,232336.62302341947,4879069.083491809,630189.4307025833,134862.37373740855,1,1,2790026.782588507,1856705.677879881,0.0
Alternative ratios with primary c-Si,Central,cap,Uniform,1.0,258,333,75,128,333,205,333,128,30559367.87128733,69799957.48884247,39240589.61755516,44909170.45455705,2245458.522727852,47154628.9772849,739920.674600667,134862.37373740855,1,1,10114678.030305639,17532108.58586311,17262383.838388294
Alternative ratios with primary c-Si,Central,cap,Matched additions,1.0,258,333,75,128,203,75,75,0,30559367.87128733,30559442.87128733,75.0,3812080.1591220126,190604.00795610063,4002684.167078113,1032052.815283794,134862.37373740855,1,0,3812080.1591220126,0.0,0.0
Alternative ratios with primary c-Si,Central,cap,Strict selections,1.0,258,333,75,128,333,205,205,0,30559367.87128733,30559572.87128733,205.0,5668785.837001894,283439.2918500947,5952225.128851988,739920.674600667,134862.37373740855,1,1,3812080.1591220126,1856705.677879881,0.0
Alternative ratios with primary c-Si,Central,area,Uniform,0.0,337,337,0,133,133,0,0,0,308807072.6870662,308807072.6870662,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Alternative ratios with primary c-Si,Central,area,Matched additions,0.0,337,337,0,133,133,0,0,0,308807072.6870662,308807072.6870662,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Alternative ratios with primary c-Si,Central,area,Strict selections,0.0,337,337,0,133,133,0,0,0,308807072.6870662,308807072.6870662,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Alternative ratios with primary c-Si,Central,area,Uniform,0.25,337,337,0,133,291,158,291,133,308807072.6870662,324963238.4429078,16156165.755841652,21710624.830348607,1085531.2415174304,22796156.07186604,644567.7316300021,298427.83271956845,1,1,11787899.392422955,0.0,9922725.437925652
Alternative ratios with primary c-Si,Central,area,Matched additions,0.25,337,337,0,133,291,158,158,0,308807072.6870662,308807230.6870662,158.0,5554617.074506951,277730.85372534755,5832347.928232298,644567.7316300021,298427.83271956845,1,1,5554617.074506951,0.0,0.0
Alternative ratios with primary c-Si,Central,area,Strict selections,0.25,337,337,0,133,291,158,158,0,308807072.6870662,308807230.6870662,158.0,5554617.074506951,277730.85372534755,5832347.928232298,644567.7316300021,298427.83271956845,1,1,5554617.074506951,0.0,0.0
Alternative ratios with primary c-Si,Central,area,Uniform,0.5,337,337,0,133,337,204,337,133,308807072.6870662,348963597.2559904,40156524.56892421,50285089.81324729,2514254.4906623648,52799344.30390966,795264.3768036396,298427.83271956845,1,1,30439638.93739599,0.0,19845450.875851303
Alternative ratios with primary c-Si,Central,area,Matched additions,0.5,337,337,0,133,337,204,204,0,308807072.6870662,308807276.6870662,204.0,10128769.244323082,506438.46221615415,10635207.706539236,795264.3768036396,298427.83271956845,1,1,10128769.244323084,0.0,0.0
Alternative ratios with primary c-Si,Central,area,Strict selections,0.5,337,337,0,133,337,204,204,0,308807072.6870662,308807276.6870662,204.0,10128769.244323082,506438.46221615415,10635207.706539236,795264.3768036396,298427.83271956845,1,1,10128769.244323084,0.0,0.0
Alternative ratios with primary c-Si,Central,area,Uniform,0.75,337,337,0,133,337,204,337,133,308807072.6870662,374106142.162614,65299069.47554785,75427634.71987092,3771381.7359935464,79199016.45586447,795264.3768036396,298427.83271956845,1,1,45659458.40609398,0.0,29768176.31377696
Alternative ratios with primary c-Si,Central,area,Matched additions,0.75,337,337,0,133,337,204,204,0,308807072.6870662,308807276.6870662,204.0,10128769.244323082,506438.46221615415,10635207.706539236,795264.3768036396,298427.83271956845,1,1,10128769.244323084,0.0,0.0
Alternative ratios with primary c-Si,Central,area,Strict selections,0.75,337,337,0,133,337,204,204,0,308807072.6870662,308807276.6870662,204.0,10128769.244323082,506438.46221615415,10635207.706539236,795264.3768036396,298427.83271956845,1,1,10128769.244323084,0.0,0.0
Alternative ratios with primary c-Si,Central,area,Uniform,1.0,337,337,0,133,337,204,337,133,308807072.6870662,399248687.0692376,90441614.38217147,100570179.62649459,5028508.9813247295,105598688.60781932,795264.3768036396,298427.83271956845,1,1,60879277.87479198,0.0,39690901.75170261
Alternative ratios with primary c-Si,Central,area,Matched additions,1.0,337,337,0,133,337,204,204,0,308807072.6870662,308807276.6870662,204.0,10128769.244323082,506438.46221615415,10635207.706539236,795264.3768036396,298427.83271956845,1,1,10128769.244323084,0.0,0.0
Alternative ratios with primary c-Si,Central,area,Strict selections,1.0,337,337,0,133,337,204,204,0,308807072.6870662,308807276.6870662,204.0,10128769.244323082,506438.46221615415,10635207.706539236,795264.3768036396,298427.83271956845,1,1,10128769.244323084,0.0,0.0
Alternative ratios with primary c-Si,Half replacement cost,cap,Uniform,0.0,306,306,0,306,306,0,0,0,48060731.65480684,48060731.65480684,0.0,0.0,0.0,0.0,0.0,67431.18686870427,1,1,0.0,0.0,0.0
Alternative ratios with primary c-Si,Half replacement cost,cap,Matched additions,0.0,306,306,0,306,306,0,0,0,48060731.65480684,48060731.65480684,0.0,0.0,0.0,0.0,0.0,67431.18686870427,1,1,0.0,0.0,0.0
Alternative ratios with primary c-Si,Half replacement cost,cap,Strict selections,0.0,306,306,0,306,306,0,0,0,48060731.65480684,48060731.65480684,0.0,0.0,0.0,0.0,0.0,67431.18686870427,1,1,0.0,0.0,0.0
Alternative ratios with primary c-Si,Half replacement cost,cap,Uniform,0.25,306,316,10,306,316,10,316,306,48060731.65480684,53283930.450915806,5223198.7961089695,5327063.762627638,266353.18813138193,5593416.95075902,130859.30502143645,67431.18686870427,1,1,168577.96717176068,0.0,5158485.795455877
Alternative ratios with primary c-Si,Half replacement cost,cap,Matched additions,0.25,306,316,10,306,316,10,10,0,48060731.65480684,48060741.65480684,10.0,103874.96651866844,5193.748325933422,109068.71484460187,130859.30502143645,67431.18686870427,1,1,103874.96651866844,0.0,0.0
Alternative ratios with primary c-Si,Half replacement cost,cap,Strict selections,0.25,306,316,10,306,316,10,10,0,48060731.65480684,48060741.65480684,10.0,103874.96651866844,5193.748325933422,109068.71484460187,130859.30502143645,67431.18686870427,1,1,103874.96651866844,0.0,0.0
Alternative ratios with primary c-Si,Half replacement cost,cap,Uniform,0.5,306,324,18,306,324,18,324,306,48060731.65480684,58684388.22900923,10623656.574202403,10923852.272730092,546192.6136365046,11470044.886366596,232715.78006873344,67431.18686870427,1,1,606880.6818183386,0.0,10316971.590911753
Alternative ratios with primary c-Si,Half replacement cost,cap,Matched additions,0.5,306,324,18,306,324,18,18,0,48060731.65480684,48060749.65480684,18.0,300213.6985276885,15010.684926384427,315224.38345407293,232715.78006873344,67431.18686870427,1,1,300213.69852768845,0.0,0.0
Alternative ratios with primary c-Si,Half replacement cost,cap,Strict selections,0.5,306,324,18,306,324,18,18,0,48060731.65480684,48060749.65480684,18.0,300213.6985276885,15010.684926384427,315224.38345407293,232715.78006873344,67431.18686870427,1,1,300213.69852768845,0.0,0.0
Alternative ratios with primary c-Si,Half replacement cost,cap,Uniform,0.75,306,330,24,306,330,24,330,306,48060731.65480684,64217746.48899571,16157014.834188858,16689218.750004306,834460.9375002154,17523679.687504523,306989.1321471814,67431.18686870427,1,1,1213761.363636677,0.0,15475457.38636763
Alternative ratios with primary c-Si,Half replacement cost,cap,Matched additions,0.75,306,330,24,306,330,24,24,0,48060731.65480684,48060755.65480684,24.0,532227.9158154471,26611.395790772356,558839.3116062195,306989.1321471814,67431.18686870427,1,1,532227.9158154472,0.0,0.0
Alternative ratios with primary c-Si,Half replacement cost,cap,Strict selections,0.75,306,330,24,306,330,24,24,0,48060731.65480684,48060755.65480684,24.0,532227.9158154471,26611.395790772356,558839.3116062195,306989.1321471814,67431.18686870427,1,1,532227.9158154472,0.0,0.0
Alternative ratios with primary c-Si,Half replacement cost,cap,Uniform,1.0,306,333,27,306,333,27,333,306,48060731.65480684,69799957.4888425,21739225.83403567,22454585.227278523,1122729.261363926,23577314.48864245,342447.0239668171,67431.18686870427,1,1,1820642.0454550157,0.0,20633943.181823507
