adcode,city,province,gamma,gap,raw_capacity_pct,matched_capacity_pct,raw_area_pct,raw_yield_kwh_kwp
361100,上饶,江西,-0.4,1.75,1.486208443264836,-1.504149963486645,30.60297121328157,1270.9199327434794
370100,济南,山东,-0.4,1.75,1.3314646299326993,-1.266245019609391,30.403830836396285,1586.0060766633042
370200,青岛,山东,-0.4,1.75,1.6821178376276835,-1.2037826905342608,30.85508772630201,1634.8216089319253
370300,淄博,山东,-0.4,1.75,1.3475545406036238,-1.238323813406117,30.424537001031005,1557.1290299088723
370400,枣庄,山东,-0.4,1.75,1.5101218687861406,-1.314034960269128,30.633745487666996,1504.0811049605502
370500,东营,山东,-0.4,1.75,1.4014534467594375,-1.2117682392279616,30.49389969963876,1654.5695302337042
370600,烟台,山东,-0.4,1.75,1.7173623770732949,-1.175431923377912,30.90044405245953,1614.0188609444522
370700,潍坊,山东,-0.4,1.75,1.478602944735674,-1.2185527516404338,30.593183669528546,1575.6719475278585
370800,济宁,山东,-0.4,1.75,1.4199647893829104,-1.3067174181696006,30.517722013870994,1535.6626891360715
370900,泰安,山东,-0.4,1.75,1.329998932767773,-1.293001341582778,30.401944625377332,1580.8333096657873
371000,威海,山东,-0.4,1.75,1.8613085086127468,-1.1585769631750842,31.085688853325433,1635.8351077848456
371100,日照,山东,-0.4,1.75,1.6886725425301563,-1.242247571702504,30.86352299991033,1567.9591301165092
371300,临沂,山东,-0.4,1.75,1.5663085829347834,-1.2714847173602162,30.706052374711913,1503.2223241972422
371400,德州,山东,-0.4,1.75,1.2542899393075402,-1.2623208291363874,30.30451444599487,1631.4974329865283
371500,聊城,山东,-0.4,1.75,1.2664824007926123,-1.3087130007742864,30.320204969079523,1617.6735376911347
371600,滨州,山东,-0.4,1.75,1.3032565370830973,-1.2188560910885493,30.367529738986796,1619.0322151704097
371700,菏泽,山东,-0.4,1.75,1.4313527740270615,-1.3085980781374462,30.53237725277953,1487.4309091168477
410100,郑州,河南,-0.4,1.75,1.3071939151377387,-1.3644398487004383,30.3725967651435,1511.4844791318922
410200,开封,河南,-0.4,1.75,1.378779532805674,-1.3579549586819062,30.46472055720335,1544.8078088632865
410300,洛阳,河南,-0.4,1.75,1.2861872693567644,-1.3899391252857218,30.345563236191108,1475.8217541121767
410400,平顶山,河南,-0.4,1.75,1.3513955267280275,-1.4212619758790734,30.429479980061647,1440.5781337176031
410500,安阳,河南,-0.4,1.75,1.2521285578070307,-1.350868283731077,30.301732956271078,1574.5575047362688
410600,鹤壁,河南,-0.4,1.75,1.280868404387303,-1.3418427977468506,30.338718369492955,1563.3391799815229
410700,新乡,河南,-0.4,1.75,1.3263022234631272,-1.3323576343895027,30.397187316711396,1545.1594148984072
410800,焦作,河南,-0.4,1.75,1.2971176195751832,-1.3445725409418796,30.35962954369067,1515.6340324682644
410900,濮阳,河南,-0.4,1.75,1.2660312245359462,-1.3516047336317285,30.319624348711827,1568.8671091978224
411000,许昌,河南,-0.4,1.75,1.2815381349397637,-1.418002471102875,30.339580248179775,1525.2877765154462
