gamma,spectral_scale,spatial,left_out_province,coverage,n,threshold_density_increase_pct
-0.25,0.7,City anchor,None,0.9,337,12.477397168970473
-0.25,0.7,City anchor,None,0.95,337,12.771799727921728
-0.25,0.7,City anchor,None,0.99,337,13.083810094745353
-0.25,0.7,City anchor,None,1.0,337,13.288441010467222
-0.25,0.7,City anchor,110000,0.5,336,11.141071924164535
-0.25,0.7,City anchor,110000,0.9,336,12.477397168970473
-0.25,0.7,City anchor,110000,0.95,336,12.771799727921728
-0.25,0.7,City anchor,110000,0.99,336,13.083810094745353
-0.25,0.7,City anchor,110000,1.0,336,13.288441010467222
-0.25,0.7,City anchor,120000,0.5,336,11.141071924164535
-0.25,0.7,City anchor,120000,0.9,336,12.477397168970473
-0.25,0.7,City anchor,120000,0.95,336,12.771799727921728
-0.25,0.7,City anchor,120000,0.99,336,13.083810094745353
-0.25,0.7,City anchor,120000,1.0,336,13.288441010467222
-0.25,0.7,City anchor,130000,0.5,326,11.113214708256747
-0.25,0.7,City anchor,130000,0.9,326,12.485824568075522
-0.25,0.7,City anchor,130000,0.95,326,12.771799727921728
-0.25,0.7,City anchor,130000,0.99,326,13.083810094745353
-0.25,0.7,City anchor,130000,1.0,326,13.288441010467222
-0.25,0.7,City anchor,140000,0.5,326,11.113214708256747
-0.25,0.7,City anchor,140000,0.9,326,12.485824568075522
-0.25,0.7,City anchor,140000,0.95,326,12.771799727921728
-0.25,0.7,City anchor,140000,0.99,326,13.083810094745353
-0.25,0.7,City anchor,140000,1.0,326,13.288441010467222
-0.25,0.7,City anchor,150000,0.5,325,11.113214708256747
-0.25,0.7,City anchor,150000,0.9,325,12.393623327124415
-0.25,0.7,City anchor,150000,0.95,325,12.766889278743365
-0.25,0.7,City anchor,150000,0.99,325,12.997337202157745
-0.25,0.7,City anchor,150000,1.0,325,13.288441010467222
-0.25,0.7,City anchor,210000,0.5,323,11.104159070141018
-0.25,0.7,City anchor,210000,0.9,323,12.485824568075522
-0.25,0.7,City anchor,210000,0.95,323,12.771799727921728
-0.25,0.7,City anchor,210000,0.99,323,13.083810094745353
-0.25,0.7,City anchor,210000,1.0,323,13.288441010467222
-0.25,0.7,City anchor,220000,0.5,328,11.120973332346384
-0.25,0.7,City anchor,220000,0.9,328,12.393623327124415
-0.25,0.7,City anchor,220000,0.95,328,12.766933937355374
